TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.045228	0.107038	0.035526	0.045838	0.096162	0.070448	0.112463	0.054728	0.064496	0.062514	0.048215	0.043740	0.213603
None	0.004172	0.047286	0.011693	0.013746	0.033134	0.018688	0.011136	0.019898	0.018400	0.022604	0.020941	0.012353	0.765948
of	0.005510	0.023570	0.016774	0.016766	0.026630	0.014205	0.010848	0.013168	0.015177	0.018128	0.020357	0.015051	0.803814
the	0.021443	0.037959	0.024360	0.033157	0.061209	0.040193	0.030798	0.032333	0.022612	0.053934	0.028895	0.031405	0.581703
kids	0.013056	0.019795	0.013237	0.021057	0.069050	0.023541	0.011224	0.016307	0.015722	0.020944	0.017727	0.018948	0.739393
will	0.018086	0.029602	0.019713	0.027577	0.036146	0.028338	0.029199	0.028455	0.019543	0.021879	0.019752	0.011771	0.709939
be	0.004834	0.009287	0.006978	0.010348	0.020685	0.015807	0.019075	0.032705	0.036204	0.035349	0.011791	0.009092	0.787844
going	0.003351	0.012060	0.004802	0.011137	0.005740	0.011450	0.008568	0.024885	0.025585	0.020535	0.007155	0.011446	0.853286
to	0.003791	0.012947	0.008192	0.016549	0.007570	0.013572	0.011828	0.029902	0.075291	0.047318	0.013519	0.013608	0.745914
college	0.009385	0.014369	0.006245	0.015969	0.025602	0.019072	0.010600	0.028749	0.017096	0.111783	0.009354	0.017536	0.714240
yet	0.007923	0.016188	0.012082	0.012013	0.027286	0.012338	0.015488	0.016378	0.010072	0.029581	0.040818	0.009755	0.790076
.	0.024404	0.037400	0.024701	0.026251	0.027963	0.030002	0.024200	0.030770	0.018676	0.042464	0.034828	0.034849	0.643494
[SEP]	0.068541	0.074239	0.075554	0.069701	0.091299	0.063062	0.075571	0.092758	0.091894	0.089939	0.086242	0.066070	0.055130
