TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.007227	0.004893	0.026405	0.016923	0.003455	0.003994	0.009244	0.002804	0.042121	0.006090	0.009609	0.324677	0.542558
None	0.199567	0.027395	0.006635	0.028781	0.003809	0.005823	0.001820	0.001432	0.002296	0.001641	0.001110	0.142761	0.576929
of	0.055803	0.018785	0.129658	0.054137	0.006558	0.005012	0.001767	0.000926	0.009574	0.004707	0.002767	0.203035	0.507268
the	0.102267	0.016647	0.032510	0.144835	0.003891	0.011438	0.002951	0.000922	0.005123	0.002097	0.006365	0.165586	0.505370
kids	0.021182	0.010354	0.004658	0.027098	0.010442	0.021265	0.007634	0.002943	0.006113	0.003449	0.005015	0.166080	0.713767
will	0.104110	0.002453	0.002161	0.005462	0.006469	0.121834	0.049479	0.007721	0.019098	0.002399	0.006829	0.134338	0.537649
be	0.168945	0.001484	0.001118	0.004403	0.004834	0.022917	0.031122	0.004379	0.028117	0.002620	0.001924	0.090438	0.637700
going	0.128084	0.002092	0.001515	0.003601	0.008938	0.046717	0.090782	0.018641	0.043837	0.008712	0.013765	0.098321	0.534995
to	0.086653	0.000863	0.002174	0.004600	0.000922	0.007726	0.013612	0.002303	0.098844	0.002274	0.009977	0.091487	0.678565
college	0.023518	0.002703	0.005931	0.005110	0.003953	0.005620	0.014731	0.014181	0.090610	0.012823	0.017557	0.166748	0.636512
yet	0.054863	0.007389	0.004864	0.004284	0.004851	0.015703	0.017242	0.007492	0.019895	0.008681	0.021638	0.285649	0.547448
.	0.095058	0.006199	0.004690	0.010919	0.004763	0.007152	0.004411	0.003826	0.010840	0.011749	0.006658	0.374407	0.459327
[SEP]	0.112512	0.020631	0.008725	0.019537	0.013792	0.008726	0.008096	0.004128	0.007879	0.012594	0.006362	0.042580	0.734436
