TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.014434	0.010053	0.016367	0.006409	0.011762	0.006915	0.003211	0.006380	0.006521	0.007419	0.004606	0.063780	0.842143
None	0.100769	0.135185	0.022029	0.009017	0.013149	0.002029	0.001136	0.000781	0.000201	0.000560	0.002581	0.072477	0.640087
of	0.058041	0.045466	0.042040	0.028335	0.017151	0.005988	0.000794	0.000292	0.000179	0.001149	0.008336	0.026771	0.765459
the	0.123485	0.223582	0.109782	0.043774	0.042464	0.015289	0.003386	0.002327	0.000760	0.003458	0.006851	0.032649	0.392193
kids	0.026714	0.167673	0.121768	0.126028	0.015087	0.005233	0.004747	0.003820	0.001097	0.000407	0.001222	0.012676	0.513527
will	0.058357	0.516982	0.074671	0.070514	0.082755	0.016939	0.007112	0.003285	0.002048	0.003590	0.007327	0.023406	0.133014
be	0.008945	0.323717	0.024144	0.026571	0.322839	0.115623	0.028634	0.005961	0.000838	0.005348	0.004781	0.002584	0.130015
going	0.004338	0.138509	0.004704	0.010238	0.159130	0.121398	0.360601	0.035785	0.005344	0.016821	0.015572	0.003373	0.124185
to	0.002830	0.043408	0.006895	0.013714	0.089989	0.068224	0.173965	0.102959	0.008954	0.020229	0.033266	0.009407	0.426161
college	0.003600	0.057338	0.000622	0.007602	0.022503	0.033270	0.153781	0.428200	0.093544	0.013584	0.031847	0.006214	0.147894
yet	0.006503	0.301299	0.001395	0.008796	0.031188	0.094529	0.115173	0.136127	0.067566	0.079928	0.027944	0.011917	0.117636
.	0.012462	0.017415	0.002913	0.002956	0.023986	0.094779	0.078297	0.093217	0.062098	0.300700	0.092406	0.041938	0.176833
[SEP]	0.023247	0.017588	0.014672	0.024320	0.007441	0.006764	0.005118	0.005561	0.008034	0.003141	0.003234	0.053005	0.827875
