TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.016364	0.034988	0.005392	0.039739	0.056528	0.023897	0.028906	0.019543	0.006060	0.073487	0.012337	0.188108	0.494652
None	0.048511	0.006892	0.002338	0.015366	0.006337	0.016136	0.011230	0.008991	0.008934	0.005668	0.013340	0.105419	0.750840
of	0.032144	0.010425	0.001779	0.006768	0.010008	0.012329	0.022485	0.010575	0.031928	0.008392	0.047638	0.071099	0.734432
the	0.070958	0.067148	0.005980	0.043963	0.021773	0.022139	0.019743	0.029343	0.021014	0.082927	0.038876	0.132444	0.443692
kids	0.227463	0.008663	0.005145	0.020470	0.021935	0.004268	0.006704	0.006792	0.020765	0.028096	0.007878	0.069227	0.572596
will	0.045645	0.050970	0.007024	0.047532	0.007995	0.008410	0.013525	0.004795	0.012412	0.005719	0.046727	0.271158	0.478089
be	0.034458	0.049525	0.015021	0.042366	0.012624	0.007678	0.011185	0.012661	0.023042	0.018402	0.029342	0.078167	0.665528
going	0.072984	0.083238	0.007960	0.025869	0.007718	0.002764	0.018621	0.008587	0.055190	0.028053	0.065874	0.042748	0.580394
to	0.044904	0.045988	0.013980	0.015941	0.022192	0.008213	0.012072	0.028173	0.017404	0.087202	0.020482	0.037002	0.646448
college	0.142301	0.015891	0.010814	0.041690	0.061128	0.008590	0.018573	0.018920	0.032199	0.019129	0.028336	0.047126	0.555303
yet	0.013450	0.026016	0.009015	0.026244	0.004493	0.009258	0.013502	0.010754	0.008017	0.009713	0.000957	0.060736	0.807844
.	0.025296	0.055958	0.003200	0.013258	0.018641	0.030196	0.008853	0.007943	0.005312	0.016021	0.016809	0.381701	0.416813
[SEP]	0.010987	0.003397	0.001569	0.000941	0.001195	0.000689	0.001139	0.000707	0.002789	0.001351	0.001739	0.022070	0.951428
