TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.126099	0.008777	0.005312	0.012658	0.014594	0.019848	0.007446	0.008628	0.007302	0.011616	0.004983	0.025494	0.747244
None	0.048584	0.004741	0.013403	0.019343	0.020204	0.032193	0.041491	0.009751	0.007881	0.009781	0.009936	0.094778	0.687914
of	0.063208	0.002374	0.002466	0.003512	0.001620	0.011141	0.006675	0.003337	0.001724	0.001535	0.002741	0.019283	0.880385
the	0.154022	0.031733	0.024790	0.019357	0.018498	0.088830	0.024882	0.024823	0.011835	0.011047	0.019678	0.042555	0.527952
kids	0.112773	0.038081	0.027612	0.065885	0.034214	0.067730	0.022803	0.046600	0.024593	0.023403	0.038359	0.044984	0.452964
will	0.031353	0.256711	0.152509	0.208528	0.039881	0.035383	0.034533	0.043297	0.042543	0.005710	0.029984	0.054024	0.065544
be	0.022634	0.118031	0.073232	0.194827	0.102299	0.042122	0.010586	0.024296	0.025974	0.020504	0.018151	0.040727	0.306619
going	0.045439	0.061670	0.033299	0.073941	0.246603	0.129159	0.069093	0.021380	0.035000	0.021199	0.055682	0.060258	0.147276
to	0.029951	0.031413	0.013759	0.056518	0.134514	0.229893	0.114619	0.053319	0.033311	0.042024	0.084445	0.041341	0.134892
college	0.037925	0.023705	0.012608	0.025090	0.180989	0.156905	0.069468	0.104197	0.164231	0.035047	0.079165	0.022551	0.088118
yet	0.024360	0.039345	0.027703	0.037204	0.019781	0.269849	0.262178	0.067776	0.050176	0.007226	0.008367	0.049462	0.136574
.	0.125979	0.021912	0.012952	0.035630	0.018727	0.049280	0.041019	0.030658	0.046960	0.021207	0.013686	0.081740	0.500250
[SEP]	0.041894	0.001010	0.000727	0.001366	0.000927	0.000874	0.000612	0.000611	0.002712	0.000895	0.000405	0.008726	0.939241
