TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.486686	0.097765	0.036720	0.035673	0.032531	0.044855	0.033300	0.034738	0.033916	0.034214	0.062134	0.035791	0.031677
None	0.078228	0.208061	0.272592	0.162094	0.046783	0.038969	0.041381	0.035047	0.038357	0.014731	0.034958	0.018261	0.010537
of	0.005299	0.420696	0.098099	0.247218	0.055703	0.061811	0.020704	0.020165	0.024372	0.008555	0.018690	0.009026	0.009662
the	0.005614	0.544845	0.130636	0.073238	0.058611	0.095082	0.038310	0.016654	0.011656	0.002688	0.015252	0.004973	0.002441
kids	0.017447	0.334834	0.139098	0.167550	0.062783	0.113391	0.061306	0.035227	0.010569	0.023882	0.025274	0.006459	0.002180
will	0.003738	0.248490	0.165733	0.197450	0.161633	0.055261	0.048785	0.045816	0.044787	0.009330	0.004367	0.012055	0.002555
be	0.007133	0.197546	0.051728	0.189933	0.193905	0.124729	0.041777	0.063447	0.074683	0.017367	0.008597	0.022610	0.006545
going	0.009399	0.217258	0.094988	0.100292	0.068330	0.196522	0.104754	0.041271	0.072541	0.038641	0.040313	0.011628	0.004062
to	0.002492	0.162802	0.055323	0.063098	0.038071	0.135723	0.157740	0.154938	0.057684	0.037751	0.082166	0.043908	0.008303
college	0.003609	0.094030	0.025811	0.103266	0.069384	0.146323	0.061612	0.229199	0.090778	0.042964	0.085189	0.035615	0.012220
yet	0.023090	0.121157	0.048358	0.028272	0.024135	0.081425	0.056684	0.057489	0.377953	0.013843	0.045894	0.085970	0.035729
.	0.002369	0.093165	0.043684	0.021161	0.014030	0.072608	0.055212	0.073731	0.123152	0.122111	0.218594	0.112601	0.047583
[SEP]	0.020841	0.120470	0.092496	0.030576	0.010925	0.034101	0.043707	0.069038	0.084902	0.045314	0.236738	0.180679	0.030211
