TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.054044	0.022788	0.003719	0.017716	0.018315	0.023792	0.012344	0.008651	0.003628	0.009554	0.039923	0.068653	0.716873
None	0.007952	0.039372	0.015325	0.034225	0.020394	0.209788	0.142736	0.107081	0.008569	0.010225	0.107960	0.016295	0.280079
of	0.019544	0.629883	0.008128	0.027785	0.034628	0.017658	0.065913	0.006287	0.006516	0.004332	0.030776	0.020706	0.127844
the	0.016926	0.164324	0.021179	0.023108	0.080545	0.038212	0.059109	0.068439	0.025820	0.073090	0.129921	0.021227	0.278100
kids	0.010587	0.030379	0.007918	0.068754	0.034236	0.006418	0.027402	0.024472	0.048666	0.400129	0.016305	0.023793	0.300941
will	0.020148	0.020210	0.033934	0.014057	0.011390	0.006920	0.103842	0.011785	0.009011	0.050389	0.240326	0.034531	0.443456
be	0.015121	0.028877	0.016740	0.018545	0.021337	0.022216	0.050961	0.032888	0.017427	0.070857	0.374389	0.023555	0.307087
going	0.002509	0.004441	0.002397	0.003689	0.017092	0.002379	0.007634	0.008161	0.030376	0.802142	0.050891	0.005007	0.063281
to	0.011750	0.009820	0.003090	0.010686	0.029676	0.008229	0.018681	0.303932	0.019542	0.372900	0.049866	0.018630	0.143198
college	0.016597	0.009643	0.002785	0.007109	0.112235	0.011726	0.011166	0.246459	0.071763	0.143643	0.016653	0.008297	0.341923
yet	0.037930	0.027605	0.027723	0.038162	0.034127	0.067159	0.111062	0.041299	0.036641	0.015780	0.012787	0.035674	0.514051
.	0.020416	0.018287	0.010319	0.009774	0.008923	0.032366	0.016456	0.005750	0.002850	0.004054	0.041789	0.028904	0.800113
[SEP]	0.002212	0.001780	0.000636	0.000844	0.001935	0.000758	0.002051	0.000466	0.000729	0.003337	0.002778	0.004021	0.978454
