TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.016584	0.009958	0.002452	0.010075	0.006224	0.013254	0.004264	0.003955	0.002240	0.019438	0.014843	0.010785	0.885927
None	0.003075	0.012458	0.012919	0.030226	0.022956	0.034416	0.025484	0.008824	0.007112	0.041739	0.477692	0.003452	0.319648
of	0.009258	0.071451	0.012083	0.088177	0.167736	0.070900	0.064945	0.055188	0.038692	0.064569	0.177003	0.009465	0.170532
the	0.008175	0.204965	0.037568	0.086945	0.201691	0.012378	0.019803	0.016749	0.010817	0.063127	0.054362	0.008880	0.274540
kids	0.002317	0.033738	0.009061	0.008694	0.024854	0.003751	0.005705	0.011323	0.017380	0.048094	0.014371	0.004570	0.816143
will	0.003025	0.075723	0.008482	0.020258	0.017436	0.020388	0.094075	0.010684	0.004354	0.024094	0.563715	0.003684	0.154080
be	0.001310	0.014219	0.000689	0.003533	0.009648	0.010916	0.019167	0.008444	0.005452	0.060015	0.779144	0.001308	0.086154
going	0.002635	0.019508	0.005315	0.005230	0.014434	0.008397	0.020472	0.018248	0.038196	0.161169	0.111700	0.005405	0.589291
to	0.002061	0.010466	0.000485	0.001314	0.016140	0.002880	0.005961	0.071521	0.045142	0.623439	0.034059	0.006112	0.180419
college	0.001021	0.009520	0.002110	0.001766	0.004939	0.003066	0.002298	0.010542	0.007521	0.012815	0.005833	0.003293	0.935276
yet	0.003420	0.015219	0.003303	0.005965	0.003094	0.044931	0.023625	0.004517	0.002883	0.007328	0.035243	0.009639	0.840833
.	0.005243	0.013601	0.003928	0.008396	0.005529	0.010827	0.004673	0.002929	0.001300	0.008653	0.010346	0.010350	0.914227
[SEP]	0.004078	0.002848	0.001922	0.003071	0.004147	0.003916	0.002329	0.001922	0.001692	0.002182	0.000733	0.005770	0.965392
