TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.009830	0.385985	0.044728	0.059395	0.039238	0.042462	0.010088	0.003687	0.003274	0.013890	0.042603	0.098403	0.246418
None	0.033305	0.009483	0.005077	0.020487	0.031788	0.012465	0.001258	0.001196	0.000578	0.001892	0.000935	0.003423	0.878112
of	0.001642	0.756178	0.026669	0.009503	0.042905	0.010941	0.000455	0.000299	0.000016	0.000292	0.000975	0.000682	0.149443
the	0.014144	0.245049	0.060370	0.018332	0.044036	0.063811	0.007190	0.004769	0.001025	0.002394	0.003701	0.009510	0.525668
kids	0.003709	0.062216	0.009116	0.059085	0.028408	0.004016	0.000576	0.001138	0.001349	0.001394	0.000504	0.003733	0.824757
will	0.008852	0.046416	0.009129	0.036425	0.318864	0.036457	0.002086	0.002375	0.001756	0.018743	0.003215	0.002691	0.512991
be	0.004124	0.043631	0.008822	0.033517	0.357659	0.239730	0.028263	0.019917	0.008115	0.035149	0.011437	0.003092	0.206544
going	0.003432	0.023140	0.011399	0.023450	0.263694	0.083099	0.236242	0.031786	0.008594	0.022777	0.005934	0.005848	0.280604
to	0.002912	0.019782	0.004058	0.009568	0.241517	0.026207	0.037256	0.276465	0.023392	0.108133	0.022231	0.003783	0.224696
college	0.009583	0.016391	0.003218	0.015335	0.125514	0.013847	0.045680	0.142138	0.143539	0.102575	0.010935	0.011347	0.359897
yet	0.000556	0.000730	0.001657	0.003908	0.014197	0.009053	0.005155	0.015968	0.006741	0.157615	0.019637	0.012350	0.752434
.	0.018851	0.047606	0.007996	0.014001	0.020512	0.030234	0.009585	0.010906	0.009735	0.094875	0.054488	0.156169	0.525042
[SEP]	0.002371	0.005394	0.003162	0.006303	0.004374	0.007608	0.006540	0.006267	0.007950	0.006225	0.002331	0.015853	0.925622
