TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.556512	0.022972	0.011122	0.018327	0.008414	0.006258	0.010167	0.008488	0.027621	0.006612	0.006759	0.029935	0.286813
None	0.067582	0.043763	0.027447	0.008575	0.097238	0.079580	0.055310	0.175119	0.052437	0.086274	0.104891	0.033436	0.168349
of	0.072379	0.053916	0.051005	0.020694	0.049019	0.156309	0.069805	0.117184	0.153212	0.020252	0.113229	0.047478	0.075517
the	0.044864	0.100621	0.049743	0.030549	0.069919	0.089265	0.053000	0.053690	0.191176	0.024158	0.145660	0.070954	0.076401
kids	0.029644	0.080530	0.058505	0.023122	0.024894	0.144028	0.064260	0.079149	0.043939	0.075336	0.077470	0.048718	0.250405
will	0.074798	0.063015	0.042527	0.051988	0.090177	0.180709	0.039261	0.097761	0.090147	0.040624	0.046553	0.142566	0.039874
be	0.083832	0.071076	0.022290	0.032682	0.074443	0.171552	0.044765	0.207563	0.055597	0.027663	0.072288	0.058198	0.078051
going	0.080056	0.038871	0.063696	0.017025	0.033405	0.079396	0.103440	0.103734	0.070101	0.033331	0.109127	0.068598	0.199219
to	0.052194	0.057737	0.039012	0.029883	0.047887	0.067089	0.055119	0.117322	0.191986	0.021359	0.151781	0.061912	0.106720
college	0.028334	0.125296	0.067671	0.011367	0.105885	0.061880	0.039987	0.042385	0.062734	0.171855	0.084726	0.024522	0.173359
yet	0.156300	0.131930	0.045213	0.022580	0.063483	0.072206	0.058934	0.141953	0.056765	0.048164	0.070903	0.049699	0.081869
.	0.075579	0.060256	0.043026	0.027066	0.025498	0.069241	0.052894	0.045395	0.184599	0.021766	0.183790	0.032905	0.177983
[SEP]	0.196730	0.012628	0.004044	0.009125	0.003949	0.007939	0.008581	0.001921	0.005144	0.002222	0.002247	0.001244	0.744227
