TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.195972	0.087340	0.050060	0.036162	0.093271	0.209861	0.033433	0.061054	0.003621	0.016098	0.016588	0.178606	0.017934
None	0.183007	0.062730	0.105684	0.056403	0.010131	0.261312	0.093571	0.032663	0.016802	0.013348	0.026010	0.062025	0.076315
of	0.446946	0.060641	0.073565	0.037274	0.012474	0.024513	0.008964	0.006254	0.007421	0.004502	0.022682	0.117540	0.177224
the	0.156251	0.154012	0.033729	0.163065	0.097038	0.070115	0.017255	0.062847	0.008945	0.019263	0.050338	0.110655	0.056487
kids	0.052039	0.536071	0.071299	0.142677	0.004440	0.037978	0.051584	0.015574	0.009745	0.006353	0.018379	0.034308	0.019555
will	0.194060	0.125132	0.026009	0.083562	0.057622	0.061195	0.011558	0.107920	0.020041	0.044568	0.059353	0.177916	0.031064
be	0.216327	0.044429	0.037914	0.035429	0.050075	0.141333	0.084532	0.101329	0.016911	0.028886	0.026079	0.064762	0.151992
going	0.125909	0.073915	0.024214	0.028186	0.032419	0.059879	0.197163	0.023211	0.083097	0.192816	0.037491	0.027617	0.094082
to	0.252417	0.036003	0.026270	0.052116	0.049182	0.036099	0.051450	0.046367	0.089261	0.091732	0.024728	0.074523	0.169852
college	0.270280	0.132561	0.030684	0.019327	0.093509	0.018477	0.034214	0.017213	0.111708	0.014331	0.009676	0.058018	0.190002
yet	0.111297	0.007694	0.039952	0.036988	0.025723	0.169491	0.194972	0.079179	0.041620	0.104221	0.009353	0.079750	0.099760
.	0.152587	0.122186	0.034928	0.025809	0.082787	0.145743	0.051888	0.115526	0.009738	0.019930	0.040524	0.155350	0.043004
[SEP]	0.210019	0.002190	0.005854	0.009983	0.009802	0.002627	0.003015	0.000765	0.002717	0.003353	0.001960	0.015299	0.732414
