TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.311496	0.049146	0.004941	0.018914	0.032042	0.109338	0.020204	0.027139	0.019341	0.057492	0.015674	0.086299	0.247974
None	0.314157	0.018615	0.006347	0.016419	0.005314	0.163965	0.058451	0.008594	0.000912	0.003872	0.024716	0.111192	0.267446
of	0.184025	0.070504	0.011242	0.017537	0.003504	0.136559	0.032974	0.006190	0.001917	0.008708	0.024993	0.098909	0.402938
the	0.167876	0.162271	0.018166	0.050320	0.009369	0.140804	0.010822	0.008192	0.009476	0.010238	0.012331	0.163072	0.237062
kids	0.109141	0.032952	0.017632	0.099896	0.008353	0.286717	0.053811	0.025636	0.005075	0.016273	0.033984	0.142875	0.167656
will	0.324430	0.127802	0.012937	0.013432	0.028012	0.056520	0.039277	0.009799	0.004488	0.005323	0.015736	0.288050	0.074194
be	0.187022	0.215502	0.003601	0.013513	0.008818	0.061935	0.021221	0.003429	0.010303	0.004872	0.031606	0.139520	0.298659
going	0.089732	0.189188	0.037384	0.055509	0.048190	0.034478	0.091789	0.011543	0.021089	0.024623	0.069533	0.081063	0.245877
to	0.095214	0.043980	0.006701	0.019092	0.017429	0.033548	0.057764	0.026853	0.068372	0.083528	0.144268	0.124115	0.279135
college	0.032754	0.111856	0.010885	0.032007	0.035851	0.053034	0.156118	0.056474	0.093929	0.015475	0.159796	0.078111	0.163710
yet	0.151012	0.040394	0.024640	0.018866	0.020477	0.063391	0.040098	0.061810	0.027219	0.009653	0.033220	0.183916	0.325304
.	0.205282	0.033807	0.003699	0.009667	0.017500	0.033262	0.013447	0.007732	0.018194	0.034340	0.025639	0.185086	0.412346
[SEP]	0.018643	0.006800	0.002130	0.004679	0.008805	0.003501	0.002302	0.006701	0.008840	0.008489	0.005732	0.016035	0.907343
