TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.074572	0.015170	0.003725	0.038273	0.009491	0.051466	0.007792	0.004598	0.003027	0.004325	0.023258	0.025945	0.738358
None	0.015729	0.064786	0.020021	0.050181	0.026759	0.020865	0.028252	0.013076	0.013274	0.008500	0.072154	0.047190	0.619213
of	0.014032	0.012768	0.012064	0.032996	0.043237	0.005656	0.004043	0.001556	0.001127	0.002228	0.006953	0.016995	0.846345
the	0.024831	0.007113	0.017663	0.042343	0.067990	0.015223	0.006483	0.005790	0.003789	0.014619	0.010749	0.028885	0.754521
kids	0.006297	0.002198	0.002169	0.006553	0.013317	0.003175	0.002510	0.002560	0.002038	0.009397	0.005380	0.011220	0.933185
will	0.017131	0.004627	0.008513	0.048005	0.025737	0.181367	0.052562	0.033616	0.008723	0.015334	0.024883	0.035721	0.543781
be	0.018839	0.003123	0.013979	0.052432	0.073429	0.082126	0.049154	0.034768	0.010307	0.011317	0.020405	0.028411	0.601711
going	0.011042	0.003563	0.010559	0.043982	0.127740	0.017907	0.017783	0.041167	0.027396	0.053474	0.005875	0.011861	0.627651
to	0.015088	0.008463	0.020363	0.070021	0.135107	0.009438	0.007157	0.022272	0.026643	0.025947	0.006695	0.008919	0.643885
college	0.006021	0.002225	0.003814	0.025103	0.011333	0.002136	0.002519	0.003493	0.003325	0.007524	0.004260	0.004187	0.924059
yet	0.029778	0.087177	0.020809	0.092158	0.041579	0.046798	0.094110	0.032405	0.010199	0.009046	0.018602	0.043405	0.473931
.	0.045167	0.222917	0.036297	0.151891	0.027930	0.136232	0.016402	0.014690	0.004649	0.010874	0.054408	0.051113	0.227429
[SEP]	0.003587	0.000630	0.000359	0.001705	0.000354	0.001324	0.000306	0.000256	0.000226	0.000196	0.000447	0.002247	0.988363
