TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.029037	0.019480	0.006286	0.028683	0.063380	0.013049	0.002259	0.002866	0.001037	0.006528	0.011317	0.008686	0.807392
None	0.018263	0.091835	0.013228	0.043032	0.149969	0.052100	0.011875	0.015921	0.007687	0.021195	0.010005	0.012794	0.552097
of	0.007754	0.109681	0.004972	0.029821	0.092685	0.052635	0.014023	0.021492	0.007012	0.014742	0.004948	0.003165	0.637069
the	0.007818	0.105904	0.006696	0.035274	0.068747	0.063421	0.014246	0.011179	0.001656	0.004867	0.003841	0.003591	0.672760
kids	0.006341	0.177385	0.018349	0.048283	0.018283	0.049512	0.025381	0.022275	0.005424	0.004260	0.009005	0.007164	0.608340
will	0.003298	0.058072	0.022167	0.067705	0.180184	0.008320	0.003225	0.003599	0.000680	0.008840	0.000645	0.001251	0.642014
be	0.002394	0.056176	0.008584	0.051822	0.142628	0.005981	0.002754	0.003006	0.000757	0.004921	0.000610	0.000975	0.719392
going	0.002466	0.032031	0.008161	0.025583	0.070344	0.004854	0.002690	0.003016	0.002004	0.007160	0.000883	0.002559	0.838249
to	0.000704	0.006674	0.000795	0.003616	0.007585	0.000616	0.000365	0.000512	0.000567	0.008897	0.000324	0.000917	0.968428
college	0.006158	0.006924	0.001739	0.007793	0.005992	0.003051	0.001060	0.001482	0.001345	0.012727	0.003593	0.004583	0.943552
yet	0.003833	0.009322	0.001338	0.022047	0.017922	0.002795	0.001066	0.000745	0.000794	0.010161	0.000587	0.002617	0.926771
.	0.009472	0.007640	0.001846	0.009424	0.019669	0.009535	0.002421	0.002012	0.001822	0.012879	0.003490	0.006906	0.912885
[SEP]	0.058918	0.014525	0.007595	0.030877	0.011224	0.022042	0.011542	0.011340	0.008882	0.015503	0.011054	0.042190	0.754307
