TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.291056	0.021035	0.027861	0.042885	0.031738	0.042430	0.037590	0.037198	0.052025	0.066217	0.055777	0.135171	0.159017
None	0.195175	0.124555	0.044500	0.125180	0.032834	0.054732	0.047837	0.031109	0.047352	0.012295	0.062319	0.089419	0.132694
of	0.160479	0.052083	0.102944	0.105988	0.049262	0.054866	0.107776	0.044030	0.058103	0.041010	0.045146	0.097034	0.081280
the	0.118192	0.045636	0.033863	0.153800	0.065638	0.074232	0.111221	0.035007	0.043221	0.055664	0.053955	0.116394	0.093179
kids	0.134908	0.016017	0.029451	0.085262	0.262224	0.035599	0.025154	0.014298	0.040511	0.034057	0.017723	0.144758	0.160038
will	0.087439	0.013355	0.014668	0.029995	0.019300	0.400247	0.102404	0.056150	0.031468	0.016431	0.041849	0.079412	0.107283
be	0.079905	0.032096	0.034126	0.035515	0.017107	0.144246	0.323474	0.046070	0.031936	0.033115	0.048984	0.063403	0.110022
going	0.123661	0.012215	0.029288	0.039145	0.010499	0.183502	0.041458	0.183044	0.063134	0.016939	0.044549	0.089170	0.163394
to	0.151239	0.013594	0.044045	0.047143	0.016591	0.056827	0.051873	0.049325	0.188579	0.103827	0.046186	0.098563	0.132208
college	0.220991	0.005630	0.026203	0.029745	0.014461	0.004549	0.006272	0.003074	0.035458	0.275030	0.010123	0.124082	0.244382
yet	0.089463	0.075680	0.052123	0.042665	0.006275	0.148840	0.049389	0.059109	0.043374	0.015274	0.204594	0.071377	0.141836
.	0.191737	0.051751	0.029770	0.055743	0.024888	0.060031	0.050396	0.030966	0.042008	0.031459	0.061939	0.165494	0.203818
[SEP]	0.396175	0.010699	0.024329	0.033497	0.028125	0.017014	0.016453	0.021119	0.023293	0.029158	0.014000	0.065178	0.320962
