TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.005784	0.000613	0.000165	0.001152	0.000400	0.017585	0.000778	0.000232	0.000188	0.000511	0.000663	0.001350	0.970581
None	0.001931	0.009694	0.001647	0.003123	0.002300	0.192676	0.068217	0.008784	0.007079	0.005059	0.160353	0.012306	0.526831
of	0.002559	0.019828	0.001578	0.008009	0.003990	0.303938	0.138789	0.005125	0.006071	0.014140	0.121324	0.011294	0.363356
the	0.005274	0.011050	0.002029	0.004157	0.002563	0.489156	0.049508	0.003287	0.001952	0.010051	0.056073	0.010029	0.354870
kids	0.021871	0.015158	0.007836	0.015990	0.016362	0.027725	0.012069	0.017460	0.004782	0.022038	0.052426	0.012984	0.773298
will	0.003415	0.014076	0.001935	0.003202	0.004958	0.026773	0.032405	0.002765	0.000920	0.002475	0.077344	0.025743	0.803987
be	0.004068	0.009776	0.000470	0.001168	0.002515	0.117011	0.042143	0.002137	0.001090	0.003115	0.197544	0.026781	0.592183
going	0.003709	0.012930	0.000480	0.001313	0.005504	0.033943	0.036471	0.016054	0.003283	0.010925	0.244258	0.009725	0.621403
to	0.003569	0.014177	0.002060	0.003259	0.004992	0.045614	0.035618	0.210863	0.011449	0.014102	0.250734	0.012602	0.390960
college	0.010327	0.012279	0.005698	0.011248	0.017168	0.021517	0.021516	0.053454	0.033348	0.013833	0.047236	0.013846	0.738530
yet	0.002179	0.022057	0.005301	0.004356	0.000766	0.124305	0.157216	0.007513	0.004444	0.001095	0.107192	0.035764	0.527812
.	0.003586	0.004191	0.000784	0.003673	0.002181	0.098450	0.005936	0.001558	0.000510	0.003555	0.007357	0.007974	0.860245
[SEP]	0.155532	0.007434	0.007240	0.011490	0.009901	0.005897	0.002652	0.004020	0.002226	0.006463	0.004921	0.106007	0.676218
