TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.023247	0.050853	0.013138	0.027834	0.008236	0.034298	0.011833	0.008035	0.007900	0.018373	0.033995	0.624643	0.137615
None	0.084675	0.069371	0.006535	0.009809	0.007289	0.069699	0.011139	0.008219	0.003075	0.008399	0.054015	0.167354	0.500421
of	0.058331	0.043858	0.011175	0.010375	0.005125	0.045038	0.010100	0.007910	0.001771	0.004632	0.132758	0.121877	0.547052
the	0.068909	0.023482	0.009631	0.013347	0.006675	0.034022	0.008467	0.005115	0.002170	0.007599	0.078904	0.080331	0.661348
kids	0.058880	0.006462	0.011248	0.019199	0.011249	0.012663	0.006173	0.004159	0.003670	0.004683	0.026206	0.022224	0.813185
will	0.198427	0.018952	0.008204	0.006889	0.005336	0.009560	0.001264	0.000632	0.000428	0.003591	0.035569	0.288937	0.422212
be	0.055580	0.031717	0.008805	0.004454	0.010097	0.062752	0.018760	0.005250	0.001816	0.007734	0.491682	0.145051	0.156303
going	0.074843	0.045015	0.029981	0.010406	0.016647	0.052907	0.065371	0.019536	0.012445	0.014426	0.214390	0.061087	0.382945
to	0.012658	0.061443	0.026290	0.011678	0.024443	0.056418	0.122140	0.064412	0.032355	0.035899	0.278005	0.018969	0.255291
college	0.052069	0.059815	0.030352	0.016961	0.018133	0.045101	0.046304	0.013129	0.028659	0.018541	0.090391	0.038015	0.542532
yet	0.086550	0.070825	0.028380	0.014792	0.014603	0.028593	0.008889	0.004926	0.005287	0.007536	0.045249	0.355354	0.329017
.	0.217039	0.049004	0.008315	0.018318	0.007951	0.046071	0.007479	0.001590	0.001116	0.003606	0.028401	0.131156	0.479955
[SEP]	0.031368	0.006293	0.003506	0.005241	0.008424	0.002116	0.001256	0.001841	0.003088	0.006048	0.002095	0.003837	0.924886
