TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.484630	0.037651	0.045244	0.043112	0.058332	0.027278	0.022591	0.028021	0.033778	0.047290	0.032547	0.062898	0.076630
None	0.625725	0.004841	0.012531	0.032235	0.008238	0.067968	0.040140	0.055947	0.034448	0.008688	0.007014	0.046365	0.055860
of	0.759873	0.007260	0.011414	0.031314	0.033775	0.007562	0.009689	0.019769	0.013842	0.016898	0.007302	0.019145	0.062157
the	0.720513	0.018049	0.019694	0.036076	0.026126	0.006105	0.012849	0.014392	0.015437	0.030268	0.009686	0.025691	0.065115
kids	0.478517	0.014426	0.064654	0.092620	0.000822	0.017664	0.019532	0.003169	0.012237	0.005255	0.084266	0.050253	0.156586
will	0.499555	0.168018	0.018193	0.017086	0.037037	0.010025	0.006155	0.035105	0.023798	0.010847	0.014785	0.037768	0.121629
be	0.567008	0.099396	0.011252	0.052426	0.021636	0.010338	0.004961	0.028697	0.045599	0.007493	0.018187	0.033438	0.099568
going	0.398739	0.119777	0.034735	0.047381	0.006908	0.052098	0.014776	0.002153	0.040908	0.007612	0.018487	0.038489	0.217939
to	0.650267	0.031037	0.019148	0.044680	0.026537	0.010997	0.013299	0.016659	0.017562	0.017002	0.022684	0.031252	0.098876
college	0.471758	0.013203	0.068321	0.092452	0.007326	0.019302	0.004562	0.002595	0.015761	0.001527	0.023737	0.075850	0.203603
yet	0.420919	0.043300	0.017752	0.050205	0.138434	0.007380	0.022913	0.063943	0.042070	0.030796	0.002021	0.028556	0.131712
.	0.558089	0.040516	0.019921	0.043647	0.060620	0.019010	0.018256	0.023830	0.022849	0.035167	0.037780	0.033313	0.087004
[SEP]	0.412618	0.022221	0.066103	0.074816	0.061178	0.018360	0.038947	0.022134	0.032856	0.064744	0.032942	0.056305	0.096776
