TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.016056	0.010882	0.001579	0.000862	0.003404	0.001673	0.001591	0.002469	0.007390	0.003658	0.002020	0.003106	0.000751	0.000323	0.001817	0.003269	0.011961	0.007518	0.014445	0.000288	0.004711	0.005115	0.005393	0.003412	0.008596	0.004812	0.002520	0.005588	0.007340	0.003627	0.001800	0.000618	0.002947	0.004207	0.006827	0.007488	0.022100	0.003156	0.001201	0.002557	0.009093	0.002725	0.001633	0.012634	0.005581	0.004196	0.003655	0.002509	0.016613	0.006881	0.003597	0.009299	0.022413	0.700090
Although	0.053091	0.023893	0.003299	0.002333	0.001641	0.000372	0.000134	0.000339	0.000768	0.006206	0.003259	0.000959	0.004183	0.002850	0.001803	0.002566	0.000495	0.001680	0.002464	0.000026	0.000059	0.000042	0.000126	0.000364	0.000094	0.000166	0.000078	0.000350	0.000067	0.000769	0.000148	0.000432	0.000155	0.000050	0.000303	0.004796	0.001051	0.000639	0.000311	0.000064	0.000536	0.000275	0.000291	0.000415	0.000353	0.000598	0.000365	0.000051	0.000128	0.000181	0.000040	0.000046	0.003164	0.871134
other	0.019158	0.023950	0.010785	0.004173	0.007328	0.000879	0.000096	0.000772	0.000675	0.000945	0.000550	0.000379	0.000550	0.000807	0.000561	0.000363	0.000253	0.001015	0.001372	0.000073	0.000104	0.000029	0.000019	0.000047	0.000021	0.000007	0.000013	0.000059	0.000031	0.000043	0.000058	0.000019	0.000094	0.000054	0.000110	0.001454	0.000942	0.000096	0.000261	0.000020	0.000029	0.000029	0.000070	0.000030	0.000075	0.000068	0.000300	0.000034	0.000124	0.000089	0.000012	0.000013	0.000616	0.920347
types	0.014132	0.003729	0.102600	0.039955	0.008198	0.005388	0.000086	0.002480	0.000247	0.000390	0.000181	0.000059	0.001084	0.000136	0.000943	0.001148	0.000424	0.001183	0.000685	0.000124	0.000206	0.000019	0.000055	0.000027	0.000007	0.000015	0.000038	0.000139	0.000025	0.000003	0.000066	0.000659	0.000280	0.000022	0.000060	0.000266	0.000105	0.000284	0.000161	0.000234	0.000043	0.000040	0.000021	0.000014	0.000007	0.000184	0.000048	0.000019	0.000340	0.000256	0.000012	0.000048	0.000460	0.812664
of	0.005290	0.000986	0.035834	0.812479	0.002445	0.006881	0.002065	0.001986	0.001998	0.000192	0.000057	0.000259	0.000042	0.000102	0.000133	0.000362	0.002887	0.001833	0.000239	0.000861	0.000412	0.000184	0.000012	0.000005	0.000026	0.000004	0.000010	0.000035	0.000067	0.000000	0.000010	0.000034	0.000158	0.000076	0.000075	0.000294	0.000093	0.000025	0.000070	0.000030	0.000205	0.000002	0.000016	0.000121	0.000010	0.000026	0.000069	0.000007	0.000577	0.001204	0.000292	0.000080	0.000496	0.118345
for	0.018793	0.001266	0.000753	0.004462	0.007519	0.025099	0.004862	0.004113	0.001287	0.002558	0.001107	0.000695	0.000056	0.000070	0.000140	0.000161	0.001290	0.000841	0.000293	0.005673	0.007066	0.000552	0.000067	0.000064	0.000059	0.000011	0.000003	0.000007	0.000017	0.000002	0.000010	0.000022	0.000030	0.000101	0.000031	0.000513	0.000188	0.000053	0.000059	0.000015	0.000022	0.000016	0.000004	0.000094	0.000005	0.000025	0.000014	0.000022	0.000209	0.000773	0.000042	0.000076	0.001919	0.906868
##feit	0.009044	0.000205	0.002650	0.000777	0.011915	0.010781	0.003026	0.004014	0.001479	0.000414	0.000056	0.000035	0.000061	0.000006	0.000203	0.000028	0.000222	0.000024	0.000055	0.000111	0.002827	0.000019	0.000011	0.000008	0.000017	0.000021	0.000003	0.000004	0.000005	0.000000	0.000002	0.000043	0.000029	0.000002	0.000003	0.000028	0.000069	0.000004	0.000006	0.000008	0.000006	0.000035	0.000001	0.000005	0.000001	0.000002	0.000002	0.000001	0.000019	0.000123	0.000001	0.000017	0.000279	0.951290
##ed	0.008139	0.001153	0.016710	0.010274	0.096476	0.094842	0.040080	0.006946	0.003574	0.000857	0.000344	0.000057	0.000023	0.000017	0.001238	0.000026	0.000480	0.000229	0.000382	0.002426	0.076703	0.000042	0.000457	0.000143	0.000079	0.000053	0.000048	0.000010	0.000013	0.000002	0.000001	0.000006	0.000038	0.000003	0.000022	0.000164	0.000075	0.000065	0.000054	0.000016	0.000041	0.000015	0.000007	0.000012	0.000004	0.000012	0.000050	0.000037	0.000206	0.001194	0.000013	0.000025	0.002066	0.634048
property	0.006260	0.002277	0.015712	0.042495	0.037928	0.007531	0.026428	0.044235	0.006337	0.002745	0.001311	0.001522	0.001675	0.000215	0.000185	0.000234	0.000715	0.003038	0.000287	0.003348	0.013483	0.001164	0.000299	0.000191	0.000308	0.000199	0.000529	0.000135	0.000088	0.000002	0.000039	0.000239	0.000050	0.000080	0.000045	0.001701	0.000873	0.000727	0.002884	0.000480	0.000733	0.001221	0.000425	0.000042	0.000016	0.000070	0.000052	0.000041	0.000390	0.000682	0.000094	0.000085	0.001373	0.766784
must	0.020729	0.043586	0.011398	0.000349	0.010949	0.000825	0.000882	0.001876	0.001536	0.039596	0.011048	0.000705	0.000350	0.000153	0.000296	0.000162	0.000026	0.000456	0.000577	0.000031	0.000188	0.000044	0.000155	0.002839	0.000104	0.000995	0.000038	0.000007	0.000002	0.000003	0.000001	0.000002	0.000001	0.000001	0.000022	0.001166	0.000561	0.000658	0.000258	0.000035	0.000118	0.000083	0.000134	0.000029	0.000013	0.000042	0.000002	0.000001	0.000022	0.000031	0.000001	0.000010	0.001414	0.845487
