TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.703672	0.006837	0.005339	0.003658	0.009074	0.012119	0.004273	0.005770	0.004494	0.006174	0.004228	0.004269	0.003555	0.005637	0.006922	0.003330	0.002492	0.009271	0.006469	0.003505	0.001971	0.005600	0.005621	0.004687	0.002690	0.006086	0.003268	0.005595	0.002547	0.004121	0.003079	0.003101	0.004005	0.003231	0.004011	0.008715	0.005876	0.006466	0.006888	0.003877	0.005736	0.003972	0.005291	0.005915	0.006531	0.006893	0.004893	0.004571	0.006467	0.004839	0.002369	0.007734	0.016714	0.015553
Although	0.996454	0.001159	0.000575	0.000146	0.000558	0.000176	0.000146	0.000067	0.000036	0.000038	0.000023	0.000031	0.000009	0.000059	0.000091	0.000007	0.000001	0.000024	0.000014	0.000001	0.000001	0.000002	0.000004	0.000001	0.000001	0.000009	0.000009	0.000038	0.000011	0.000013	0.000022	0.000004	0.000008	0.000002	0.000014	0.000014	0.000001	0.000003	0.000006	0.000002	0.000001	0.000001	0.000011	0.000005	0.000015	0.000015	0.000010	0.000030	0.000011	0.000020	0.000001	0.000011	0.000033	0.000058
other	0.882675	0.074829	0.015419	0.008352	0.006584	0.003152	0.000334	0.000355	0.000666	0.000520	0.000108	0.000117	0.000091	0.000419	0.000219	0.000111	0.000040	0.000193	0.000042	0.000032	0.000030	0.000012	0.000004	0.000023	0.000015	0.000028	0.000049	0.000210	0.000114	0.000430	0.000288	0.000268	0.000339	0.000089	0.000163	0.000338	0.000243	0.000045	0.000032	0.000015	0.000025	0.000008	0.000019	0.000225	0.000208	0.000194	0.000137	0.000510	0.000852	0.000334	0.000008	0.000144	0.000160	0.000183
types	0.635362	0.063648	0.265441	0.012795	0.011531	0.007312	0.000712	0.000228	0.000172	0.000229	0.000080	0.000165	0.000032	0.000267	0.000088	0.000052	0.000015	0.000067	0.000019	0.000007	0.000002	0.000021	0.000001	0.000001	0.000002	0.000009	0.000010	0.000018	0.000017	0.000050	0.000069	0.000087	0.000302	0.000140	0.000059	0.000057	0.000095	0.000056	0.000010	0.000003	0.000006	0.000007	0.000006	0.000025	0.000045	0.000070	0.000054	0.000038	0.000201	0.000172	0.000003	0.000014	0.000069	0.000063
of	0.342756	0.151527	0.334167	0.075369	0.036718	0.035300	0.005489	0.001689	0.000475	0.001159	0.000850	0.000324	0.000121	0.000665	0.000456	0.000229	0.000102	0.000488	0.000663	0.000077	0.000045	0.000106	0.000025	0.000007	0.000010	0.000016	0.000044	0.000312	0.000122	0.000275	0.000491	0.000260	0.001380	0.001106	0.001918	0.000864	0.000668	0.000697	0.000354	0.000021	0.000040	0.000036	0.000078	0.000088	0.000047	0.000233	0.000372	0.000174	0.000112	0.000515	0.000264	0.000142	0.000150	0.000407
for	0.427793	0.080331	0.160069	0.174835	0.066902	0.052551	0.008292	0.006906	0.002141	0.000867	0.000689	0.001193	0.000073	0.000403	0.000301	0.000180	0.000094	0.000375	0.000400	0.000215	0.000155	0.000240	0.000075	0.000019	0.000023	0.000020	0.000016	0.000184	0.000065	0.000045	0.000244	0.000223	0.000634	0.000937	0.003202	0.003607	0.001855	0.001242	0.000516	0.000135	0.000051	0.000023	0.000046	0.000092	0.000044	0.000033	0.000117	0.000135	0.000043	0.000116	0.000099	0.000338	0.000264	0.000551
##feit	0.719621	0.019908	0.012608	0.021524	0.120083	0.068083	0.003310	0.008376	0.004828	0.003096	0.000133	0.000582	0.000048	0.000234	0.000153	0.000089	0.000165	0.000294	0.000228	0.000282	0.000103	0.000209	0.000030	0.000071	0.000026	0.000044	0.000005	0.000097	0.000053	0.000029	0.000048	0.000038	0.000345	0.000167	0.000444	0.004390	0.002005	0.001178	0.000745	0.000445	0.000456	0.000020	0.000077	0.000196	0.000073	0.000071	0.000048	0.000121	0.000617	0.000171	0.000059	0.001001	0.002435	0.000539
##ed	0.218324	0.063420	0.047858	0.059027	0.164864	0.349652	0.018584	0.012736	0.007837	0.021686	0.006940	0.000283	0.000174	0.000492	0.000145	0.000034	0.000046	0.000496	0.000174	0.000168	0.000150	0.000215	0.000076	0.000059	0.000034	0.000045	0.000033	0.000069	0.000021	0.000028	0.000025	0.000028	0.000339	0.000162	0.000560	0.001446	0.006901	0.007018	0.002239	0.000605	0.000614	0.000185	0.000132	0.000061	0.000098	0.000091	0.000021	0.000038	0.000221	0.000278	0.000030	0.000354	0.001372	0.003511
property	0.366172	0.024846	0.050068	0.027351	0.076969	0.242801	0.053603	0.035754	0.006887	0.033482	0.040126	0.005313	0.000260	0.001354	0.000443	0.000184	0.000048	0.000484	0.000404	0.000241	0.000058	0.001464	0.000089	0.000215	0.000126	0.000205	0.000103	0.000073	0.000022	0.000036	0.000090	0.000034	0.000112	0.000350	0.000263	0.001391	0.002875	0.011788	0.004417	0.002066	0.000631	0.000653	0.000546	0.000200	0.000204	0.000211	0.000072	0.000058	0.000028	0.000197	0.000028	0.000212	0.000849	0.003546
must	0.217232	0.030654	0.036338	0.055453	0.173579	0.152329	0.059506	0.159941	0.015966	0.028802	0.040715	0.009106	0.002146	0.000644	0.000732	0.000235	0.000013	0.000165	0.000135	0.000071	0.000050	0.000315	0.000271	0.001781	0.000063	0.000107	0.000035	0.000092	0.000033	0.000007	0.000016	0.000013	0.000013	0.000025	0.000063	0.000786	0.001188	0.002643	0.002581	0.001347	0.000585	0.000960	0.000689	0.000337	0.000358	0.000105	0.000029	0.000039	0.000006	0.000023	0.000008	0.000201	0.000638	0.000830
be	0.050050	0.075525	0.006449	0.021465	0.127283	0.048516	0.040538	0.116512	0.029610	0.385597	0.042116	0.025165	0.013961	0.008956	0.000532	0.000226	0.000015	0.000068	0.000040	0.000017	0.000063	0.000077	0.000061	0.000425	0.000185	0.000118	0.000033	0.000046	0.000013	0.000005	0.000002	0.000006	0.000007	0.000002	0.000003	0.000106	0.000121	0.000291	0.000293	0.001223	0.000940	0.001113	0.000517	0.000184	0.000898	0.000020	0.000006	0.000019	0.000002	0.000006	0.000001	0.000064	0.000193	0.000316
sold	0.216100	0.048101	0.008855	0.008589	0.029006	0.047981	0.048411	0.045526	0.041211	0.365553	0.100661	0.016502	0.002271	0.011844	0.001096	0.000217	0.000074	0.000188	0.000059	0.000017	0.000039	0.000138	0.000023	0.000171	0.000060	0.000149	0.000119	0.000133	0.000114	0.000042	0.000024	0.000002	0.000011	0.000007	0.000005	0.000059	0.000172	0.000427	0.000463	0.000974	0.000707	0.000305	0.001045	0.000495	0.000924	0.000316	0.000015	0.000027	0.000014	0.000075	0.000003	0.000036	0.000213	0.000433
in	0.052132	0.011821	0.002450	0.002723	0.001178	0.004912	0.012135	0.017857	0.011145	0.111547	0.648290	0.072404	0.026193	0.015890	0.004082	0.001160	0.000092	0.000246	0.000160	0.000013	0.000006	0.000087	0.000096	0.000051	0.000045	0.000077	0.000091	0.000111	0.000017	0.000039	0.000011	0.000002	0.000003	0.000002	0.000003	0.000004	0.000009	0.000035	0.000046	0.000107	0.000228	0.000531	0.000642	0.000636	0.000276	0.000179	0.000083	0.000011	0.000005	0.000010	0.000002	0.000007	0.000012	0.000101
