TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.074909	0.032130	0.014297	0.019953	0.021642	0.020748	0.039109	0.021876	0.041163	0.019506	0.026075	0.044927	0.028313	0.023083	0.020441	0.018867	0.018451	0.020766	0.026178	0.019723	0.031716	0.033136	0.019151	0.024119	0.019275	0.011915	0.023717	0.010085	0.010783	0.015009	0.012568	0.009436	0.013123	0.008829	0.010536	0.009690	0.012307	0.005540	0.011625	0.015083	0.010354	0.008985	0.012408	0.007331	0.011304	0.004181	0.012651	0.011207	0.009886	0.012956	0.013105	0.006000	0.010695	0.009136
Although	0.003225	0.008071	0.003371	0.008495	0.003375	0.004816	0.016523	0.017888	0.021518	0.038042	0.012960	0.024352	0.006016	0.009969	0.005326	0.022123	0.020803	0.037760	0.038676	0.011387	0.036934	0.029842	0.041999	0.016605	0.099562	0.005247	0.015295	0.033365	0.027822	0.033716	0.038076	0.004271	0.017442	0.013908	0.007887	0.028122	0.007854	0.024770	0.009048	0.012677	0.033301	0.003880	0.005569	0.009070	0.008602	0.015971	0.012498	0.009672	0.007051	0.011529	0.016874	0.009112	0.034747	0.002985
other	0.007579	0.021275	0.027715	0.013133	0.015781	0.025242	0.017995	0.010297	0.030152	0.028531	0.021302	0.013154	0.018350	0.019879	0.019062	0.016585	0.011876	0.018940	0.016171	0.019865	0.045518	0.015864	0.027908	0.030415	0.022191	0.015292	0.039713	0.032153	0.016897	0.007133	0.010079	0.013371	0.014839	0.004489	0.013420	0.012823	0.034255	0.009446	0.023636	0.044712	0.022074	0.010114	0.021562	0.007431	0.028465	0.004354	0.007632	0.007977	0.017123	0.008275	0.012427	0.008937	0.030033	0.006557
types	0.010633	0.034779	0.027600	0.033520	0.009813	0.013509	0.027885	0.012292	0.055941	0.027415	0.019213	0.055196	0.011380	0.028312	0.007359	0.021853	0.029364	0.004909	0.010947	0.018260	0.046285	0.044588	0.017884	0.014285	0.043659	0.004789	0.010175	0.047888	0.044787	0.005076	0.013588	0.014299	0.025549	0.009201	0.004931	0.003888	0.014133	0.013985	0.009305	0.015724	0.012967	0.006339	0.006165	0.013983	0.010890	0.008016	0.013675	0.003632	0.016706	0.011832	0.012543	0.004364	0.008880	0.005809
of	0.002479	0.016612	0.011365	0.014241	0.009868	0.017641	0.024574	0.012987	0.036973	0.021983	0.011484	0.024860	0.019118	0.012966	0.018041	0.020499	0.023917	0.017460	0.024550	0.024353	0.047070	0.038146	0.049432	0.033863	0.029512	0.016236	0.021803	0.032794	0.028458	0.012960	0.012001	0.017573	0.019461	0.015027	0.011344	0.012486	0.020884	0.010082	0.018711	0.020112	0.009400	0.013421	0.010755	0.010057	0.017563	0.005080	0.013499	0.009501	0.013818	0.016741	0.013317	0.009564	0.018462	0.004892
for	0.004610	0.020225	0.013413	0.011065	0.008640	0.015701	0.017410	0.012587	0.034039	0.020284	0.016638	0.023363	0.019886	0.012298	0.018825	0.020866	0.020243	0.023342	0.031784	0.019372	0.030432	0.030806	0.043180	0.026228	0.036966	0.015600	0.025667	0.028249	0.028328	0.018853	0.013732	0.015900	0.019384	0.011537	0.009173	0.015749	0.020484	0.013609	0.018912	0.020511	0.013484	0.013780	0.012900	0.011489	0.016272	0.009510	0.015469	0.010311	0.017744	0.017310	0.014520	0.009769	0.021721	0.007828
##feit	0.036782	0.047757	0.028612	0.023576	0.040062	0.029467	0.053401	0.032202	0.031448	0.032321	0.029085	0.009197	0.029904	0.024110	0.027943	0.017627	0.024133	0.028454	0.023873	0.017692	0.026654	0.005745	0.019949	0.021229	0.008060	0.013058	0.016319	0.023562	0.012664	0.011414	0.005866	0.013787	0.006184	0.005912	0.034049	0.013304	0.010533	0.005509	0.006690	0.012681	0.007782	0.009747	0.007792	0.006886	0.012173	0.004254	0.004688	0.016470	0.012118	0.016156	0.006363	0.015359	0.014466	0.004930
##ed	0.005291	0.031674	0.015085	0.047008	0.011415	0.011932	0.037454	0.024983	0.074667	0.031104	0.024218	0.015277	0.010151	0.023723	0.013032	0.035955	0.009788	0.006762	0.009154	0.030268	0.117211	0.013229	0.014122	0.016522	0.047721	0.009665	0.010387	0.038876	0.037379	0.005535	0.009265	0.011125	0.018340	0.012439	0.008733	0.004053	0.007812	0.008042	0.005724	0.012529	0.014309	0.004455	0.004023	0.017892	0.008381	0.005158	0.010887	0.008039	0.006832	0.016964	0.010224	0.006499	0.003819	0.004868
property	0.003574	0.024948	0.019260	0.022972	0.030860	0.016956	0.014199	0.023694	0.041185	0.045512	0.024394	0.038122	0.035595	0.019691	0.024737	0.046442	0.041600	0.021298	0.022777	0.019873	0.038588	0.028808	0.030663	0.011617	0.016673	0.013389	0.010454	0.045644	0.045082	0.011164	0.008586	0.018024	0.013585	0.006309	0.011659	0.009339	0.008211	0.006589	0.008807	0.007489	0.004811	0.010766	0.008528	0.003706	0.007436	0.004824	0.008160	0.011964	0.008713	0.006037	0.011549	0.007348	0.011365	0.006424
must	0.013746	0.019376	0.013924	0.015614	0.014613	0.025717	0.038421	0.016179	0.041929	0.050938	0.014387	0.033987	0.024558	0.016293	0.025055	0.024739	0.042715	0.012779	0.023527	0.013793	0.025599	0.032332	0.034182	0.019436	0.045547	0.016623	0.014023	0.050168	0.026939	0.013985	0.012139	0.015406	0.008589	0.010314	0.008804	0.007704	0.008553	0.014783	0.005920	0.014508	0.011586	0.011927	0.005150	0.008163	0.008733	0.011011	0.008035	0.006586	0.007925	0.013898	0.014987	0.007278	0.014059	0.002820
