TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.010134	0.001460	0.000366	0.009717	0.004066	0.008109	0.048883	0.012961	0.040370	0.031244	0.008822	0.012651	0.000996	0.002587	0.006007	0.018191	0.016785	0.002980	0.001837	0.001780	0.002486	0.009285	0.004777	0.002631	0.006638	0.001767	0.001518	0.043164	0.020757	0.002413	0.003532	0.002891	0.014128	0.011869	0.002587	0.002705	0.010469	0.009782	0.002493	0.002237	0.004378	0.000358	0.007809	0.063481	0.002576	0.011788	0.013464	0.002913	0.003413	0.000480	0.003266	0.006127	0.211722	0.270151
Although	0.024555	0.004958	0.003807	0.008528	0.001440	0.006053	0.043538	0.007239	0.015825	0.056019	0.005644	0.013347	0.001884	0.001690	0.001563	0.006601	0.014039	0.003478	0.002723	0.002364	0.004217	0.010618	0.012552	0.009851	0.007613	0.000508	0.005025	0.044008	0.009778	0.002024	0.006049	0.000877	0.013431	0.003169	0.009090	0.010163	0.017125	0.017997	0.007506	0.025309	0.020572	0.012029	0.014192	0.016141	0.021477	0.009826	0.028016	0.008687	0.016865	0.002721	0.004999	0.010946	0.175640	0.215683
other	0.007232	0.003177	0.002422	0.003046	0.001114	0.008594	0.022118	0.006709	0.013959	0.015066	0.001102	0.005080	0.001350	0.000919	0.000977	0.005306	0.019694	0.005127	0.000986	0.002580	0.000709	0.001766	0.011999	0.001657	0.001640	0.000517	0.011886	0.100410	0.008167	0.001519	0.003086	0.000280	0.010506	0.001046	0.004458	0.004261	0.004818	0.004116	0.003606	0.015212	0.005002	0.001480	0.004461	0.005569	0.003242	0.001827	0.006111	0.003789	0.007004	0.000711	0.003422	0.005996	0.266745	0.366420
types	0.012951	0.001374	0.001079	0.002093	0.002126	0.010018	0.032264	0.019064	0.030748	0.011211	0.001454	0.008898	0.000982	0.000470	0.001366	0.010180	0.038879	0.005496	0.000612	0.003956	0.001010	0.004671	0.003649	0.001006	0.002747	0.000678	0.004675	0.053828	0.017387	0.000602	0.002229	0.000468	0.005024	0.003487	0.002637	0.002791	0.001781	0.003673	0.001206	0.004274	0.002494	0.000438	0.003869	0.009589	0.001970	0.004686	0.005718	0.004648	0.007250	0.000788	0.004403	0.010336	0.263229	0.367540
of	0.024085	0.003992	0.002959	0.003606	0.001465	0.009352	0.037827	0.011381	0.073734	0.030334	0.003635	0.013398	0.003524	0.000957	0.001371	0.008991	0.025942	0.022473	0.004200	0.002159	0.001470	0.009478	0.020046	0.014289	0.004208	0.001328	0.013585	0.121616	0.022196	0.003914	0.006978	0.003239	0.007588	0.011728	0.011532	0.008029	0.002809	0.008983	0.002570	0.004332	0.001315	0.000961	0.008682	0.002826	0.007187	0.009453	0.012868	0.007061	0.005728	0.001861	0.001089	0.006985	0.157230	0.211451
for	0.014338	0.001898	0.003708	0.003773	0.000863	0.009296	0.046388	0.006021	0.057081	0.017691	0.001429	0.006331	0.000718	0.000340	0.001394	0.011181	0.020504	0.003973	0.000585	0.001994	0.001093	0.004101	0.002642	0.002945	0.001649	0.000335	0.006403	0.071653	0.011655	0.001139	0.002061	0.000614	0.011968	0.009381	0.004886	0.003655	0.002423	0.003468	0.001692	0.002541	0.001188	0.000254	0.006526	0.003731	0.002840	0.004365	0.008486	0.005575	0.004977	0.001142	0.003813	0.007932	0.238205	0.355156
##feit	0.014873	0.001279	0.001115	0.006159	0.001662	0.006589	0.018007	0.007485	0.096755	0.007199	0.001461	0.008824	0.000507	0.000462	0.001343	0.009702	0.032902	0.002123	0.000434	0.001038	0.000720	0.003924	0.002438	0.001736	0.006215	0.001357	0.005393	0.092570	0.030301	0.001240	0.001728	0.001210	0.007030	0.010188	0.001501	0.001694	0.001937	0.002135	0.000799	0.000900	0.001049	0.000219	0.003876	0.012505	0.001854	0.004417	0.006872	0.002619	0.003595	0.000369	0.002169	0.009553	0.233024	0.322948
##ed	0.016136	0.002571	0.002354	0.005347	0.001562	0.008347	0.048113	0.006610	0.089751	0.024827	0.002684	0.010478	0.000640	0.000259	0.001241	0.006691	0.020175	0.002750	0.000637	0.001336	0.000743	0.007390	0.009334	0.002772	0.003941	0.000590	0.005242	0.111519	0.035564	0.001254	0.003580	0.001640	0.007717	0.019630	0.004853	0.001590	0.001495	0.005602	0.001489	0.002416	0.001084	0.000329	0.009132	0.006602	0.009300	0.014096	0.017477	0.007373	0.006372	0.000365	0.002737	0.011756	0.184092	0.248415
property	0.016574	0.001700	0.001541	0.003958	0.000526	0.002953	0.016285	0.005335	0.014507	0.037811	0.003853	0.003736	0.002534	0.000971	0.001946	0.003779	0.014406	0.007003	0.000405	0.001958	0.001767	0.002803	0.004264	0.002449	0.001162	0.000435	0.006526	0.058789	0.024188	0.001513	0.002423	0.000489	0.008256	0.002979	0.005325	0.009116	0.003635	0.003239	0.001275	0.002599	0.003313	0.000453	0.007814	0.009011	0.002928	0.005566	0.010067	0.005222	0.002893	0.000226	0.004427	0.007283	0.286717	0.369066
must	0.012278	0.002210	0.001356	0.005123	0.002799	0.004376	0.039212	0.010233	0.049445	0.019299	0.002435	0.012540	0.001031	0.000565	0.000849	0.006765	0.014771	0.004354	0.000501	0.000781	0.000561	0.006076	0.004860	0.000965	0.002096	0.000606	0.002051	0.049118	0.014770	0.000163	0.001453	0.000544	0.002136	0.004184	0.001920	0.002995	0.006708	0.009361	0.007777	0.003731	0.001516	0.000666	0.010674	0.008973	0.021795	0.012972	0.012666	0.011231	0.004679	0.000395	0.001988	0.005082	0.254902	0.339462
