TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.021350	0.001908	0.001247	0.001190	0.000835	0.000648	0.001186	0.000555	0.005078	0.001008	0.000578	0.001164	0.000012	0.000036	0.000047	0.000564	0.000204	0.000011	0.000110	0.000037	0.000165	0.000804	0.000014	0.000725	0.000255	0.000522	0.000235	0.000129	0.000049	0.000011	0.000173	0.000301	0.000190	0.000162	0.000022	0.000093	0.000294	0.000196	0.000030	0.000011	0.000057	0.000029	0.000075	0.000181	0.000048	0.000343	0.000299	0.000084	0.000524	0.000055	0.000190	0.000828	0.003090	0.952046
Although	0.000089	0.025973	0.088625	0.023808	0.011291	0.007113	0.022013	0.003514	0.028200	0.018564	0.017527	0.008902	0.000591	0.000989	0.002033	0.003546	0.003911	0.000343	0.001500	0.001542	0.001016	0.007096	0.000384	0.000886	0.001530	0.001574	0.000152	0.000208	0.000236	0.000079	0.001103	0.000377	0.000471	0.000540	0.000872	0.007026	0.004238	0.008494	0.005401	0.000180	0.000531	0.000808	0.000713	0.000423	0.000239	0.001831	0.000274	0.000305	0.000820	0.000169	0.000127	0.000607	0.001361	0.679860
other	0.000196	0.026777	0.043819	0.077878	0.065856	0.039321	0.084333	0.016285	0.089836	0.027804	0.017058	0.011037	0.000555	0.000486	0.000402	0.002604	0.006794	0.000688	0.001992	0.000994	0.001455	0.003521	0.000467	0.001640	0.000469	0.000606	0.000099	0.000473	0.000433	0.000042	0.000128	0.000139	0.000210	0.000378	0.000252	0.001074	0.000507	0.000875	0.000301	0.000217	0.000901	0.000714	0.000185	0.000247	0.000058	0.000303	0.000139	0.000097	0.000136	0.000384	0.000035	0.000059	0.000399	0.468341
types	0.000304	0.001354	0.006998	0.009358	0.056640	0.047394	0.043329	0.009926	0.067534	0.006676	0.002262	0.003681	0.000198	0.000031	0.000086	0.000119	0.002319	0.000066	0.000305	0.000433	0.000715	0.001063	0.000107	0.000117	0.000139	0.000131	0.000100	0.000131	0.000181	0.000011	0.000027	0.000026	0.000083	0.000034	0.000112	0.000223	0.000057	0.000243	0.000047	0.000085	0.000240	0.001483	0.000255	0.000483	0.000082	0.000089	0.000032	0.000020	0.000034	0.000167	0.000012	0.000051	0.000368	0.734038
of	0.000104	0.001745	0.003913	0.006062	0.001297	0.129431	0.400409	0.150774	0.223007	0.005784	0.000718	0.005839	0.000226	0.000029	0.000023	0.000241	0.001931	0.000033	0.000044	0.000823	0.003292	0.008953	0.000275	0.000250	0.000084	0.000107	0.000645	0.000297	0.000529	0.000001	0.000042	0.000013	0.000156	0.000128	0.000028	0.000030	0.000013	0.000002	0.000005	0.000019	0.000035	0.000011	0.000081	0.000105	0.000006	0.000010	0.000007	0.000019	0.000188	0.000306	0.000010	0.000064	0.000149	0.051706
for	0.000086	0.004844	0.004040	0.004793	0.002879	0.057687	0.446828	0.033552	0.056972	0.005259	0.003013	0.001697	0.000322	0.000079	0.000077	0.000268	0.001925	0.000077	0.000058	0.000123	0.000454	0.000240	0.000457	0.000224	0.000027	0.000341	0.000395	0.000351	0.000052	0.000002	0.000002	0.000006	0.000068	0.000096	0.000042	0.000063	0.000027	0.000022	0.000004	0.000016	0.000032	0.000090	0.000047	0.000038	0.000033	0.000026	0.000022	0.000008	0.000020	0.000295	0.000007	0.000012	0.000090	0.371812
##feit	0.001003	0.002347	0.007542	0.009776	0.005114	0.015620	0.006302	0.013340	0.186905	0.004283	0.000803	0.000136	0.002241	0.000041	0.000050	0.000064	0.001016	0.000526	0.000088	0.000021	0.000139	0.000073	0.001629	0.000107	0.000005	0.000564	0.001305	0.001186	0.000722	0.000020	0.000000	0.000005	0.000022	0.000060	0.000387	0.000189	0.000030	0.000014	0.000003	0.000010	0.000026	0.000766	0.000140	0.000090	0.000214	0.000029	0.000007	0.000007	0.000003	0.000220	0.000004	0.000009	0.000847	0.733948
##ed	0.000440	0.003391	0.002469	0.010424	0.001894	0.014426	0.031311	0.007537	0.530360	0.004993	0.001201	0.005355	0.001903	0.000192	0.000063	0.000075	0.004137	0.000038	0.000032	0.000023	0.000166	0.000594	0.000994	0.000270	0.000036	0.000552	0.000664	0.000779	0.000757	0.000005	0.000004	0.000017	0.000227	0.000286	0.000246	0.000162	0.000063	0.000007	0.000002	0.000014	0.000088	0.000133	0.000129	0.000342	0.000025	0.000026	0.000030	0.000004	0.000015	0.000099	0.000007	0.000015	0.000481	0.372496
property	0.008939	0.003482	0.002884	0.001361	0.002781	0.003527	0.002938	0.004047	0.007049	0.013489	0.007817	0.001769	0.002918	0.000634	0.000325	0.000214	0.000095	0.000749	0.003256	0.000060	0.000117	0.000450	0.000671	0.000266	0.000196	0.000741	0.000895	0.000729	0.000276	0.001102	0.000064	0.000040	0.000017	0.000030	0.000484	0.001463	0.000151	0.000156	0.000036	0.000062	0.000012	0.001199	0.000092	0.000120	0.000314	0.000213	0.000018	0.000009	0.000034	0.000104	0.000019	0.000073	0.001231	0.920284
must	0.002315	0.004520	0.012538	0.001477	0.000969	0.006032	0.009560	0.003037	0.009739	0.054546	0.095608	0.088094	0.054750	0.007227	0.014206	0.009489	0.003966	0.001256	0.002732	0.000700	0.000912	0.003324	0.002894	0.001274	0.001765	0.018602	0.005590	0.002150	0.000528	0.001230	0.001286	0.002680	0.001237	0.000356	0.001788	0.001224	0.000517	0.000369	0.000337	0.000261	0.000112	0.001218	0.001354	0.000563	0.000665	0.001703	0.002663	0.000473	0.001255	0.000846	0.000121	0.000196	0.002764	0.554985
