TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.023655	0.002956	0.001875	0.001495	0.004283	0.004435	0.003322	0.004340	0.006188	0.001065	0.000786	0.001677	0.000735	0.000233	0.000686	0.004355	0.002754	0.002419	0.001860	0.001112	0.002040	0.005036	0.001957	0.001107	0.002855	0.000735	0.001781	0.001573	0.001066	0.000420	0.001190	0.000891	0.001346	0.000699	0.002251	0.005119	0.001844	0.001388	0.001137	0.000482	0.000547	0.000790	0.001251	0.002051	0.001067	0.001490	0.001171	0.000886	0.007225	0.003069	0.001616	0.003192	0.010209	0.860285
Although	0.022550	0.008275	0.025789	0.026932	0.002581	0.009838	0.029695	0.007619	0.079388	0.006670	0.001788	0.013898	0.000966	0.000392	0.000147	0.001927	0.005145	0.004069	0.001059	0.001650	0.001886	0.018228	0.001019	0.000588	0.003036	0.000316	0.000170	0.000212	0.000411	0.000084	0.000773	0.000688	0.000807	0.000749	0.009905	0.044101	0.001975	0.000320	0.000172	0.000086	0.000392	0.000165	0.000074	0.000282	0.000015	0.000047	0.000036	0.000021	0.000250	0.000511	0.000281	0.000275	0.003529	0.658220
other	0.022462	0.011859	0.032426	0.375757	0.025633	0.007974	0.047224	0.039308	0.195622	0.011677	0.006083	0.008770	0.000721	0.000304	0.000212	0.001108	0.002070	0.001688	0.001096	0.001634	0.003236	0.011896	0.001189	0.000389	0.000823	0.000051	0.000131	0.000039	0.000485	0.000013	0.000034	0.000034	0.000212	0.000610	0.000263	0.003182	0.001281	0.000516	0.000431	0.000036	0.000584	0.000040	0.000047	0.000095	0.000011	0.000028	0.000037	0.000044	0.000184	0.000101	0.000089	0.000073	0.000793	0.179395
types	0.024005	0.004470	0.048458	0.009914	0.120504	0.003745	0.006000	0.054196	0.277779	0.002221	0.001914	0.001263	0.000099	0.000052	0.000026	0.000991	0.001762	0.000380	0.000683	0.000840	0.003357	0.002363	0.000401	0.000064	0.000844	0.000007	0.000395	0.000090	0.000768	0.000005	0.000031	0.000019	0.000108	0.000474	0.000141	0.000251	0.000728	0.000211	0.000264	0.000044	0.001170	0.000049	0.000074	0.000235	0.000027	0.000017	0.000045	0.000018	0.000181	0.000044	0.001336	0.000331	0.000980	0.425624
of	0.002660	0.000554	0.012777	0.021968	0.003882	0.016893	0.130781	0.048028	0.701222	0.001718	0.001117	0.007674	0.000116	0.000015	0.000016	0.000073	0.000801	0.000146	0.000099	0.000232	0.001635	0.003195	0.000464	0.000078	0.001334	0.000136	0.000621	0.000059	0.000439	0.000002	0.000006	0.000005	0.000065	0.000133	0.000008	0.000044	0.000054	0.000012	0.000030	0.000012	0.000128	0.000010	0.000045	0.000106	0.000003	0.000003	0.000004	0.000001	0.000108	0.000034	0.000060	0.000048	0.000178	0.040168
for	0.015071	0.003430	0.004688	0.001885	0.020130	0.005681	0.079631	0.483958	0.122708	0.035869	0.010510	0.015596	0.000670	0.000040	0.000656	0.000657	0.000419	0.000566	0.000859	0.000520	0.017495	0.010049	0.002399	0.000419	0.001068	0.000382	0.000437	0.000329	0.000132	0.000018	0.000028	0.000074	0.000164	0.000049	0.000139	0.000735	0.000309	0.000694	0.000831	0.000070	0.000105	0.000096	0.000594	0.000119	0.000057	0.000126	0.000146	0.000135	0.000127	0.000293	0.000147	0.000089	0.001036	0.157561
##feit	0.019581	0.000523	0.000717	0.000424	0.002293	0.005755	0.011095	0.041321	0.297551	0.008151	0.012459	0.015695	0.000403	0.000059	0.000043	0.001134	0.001505	0.000106	0.000479	0.000334	0.001507	0.001224	0.000542	0.001466	0.001692	0.003723	0.000589	0.002413	0.002452	0.000028	0.000060	0.000079	0.000026	0.000016	0.000007	0.000053	0.000038	0.000057	0.000020	0.000016	0.000094	0.000135	0.000127	0.001518	0.000007	0.000053	0.000029	0.000011	0.000049	0.000039	0.000016	0.000065	0.000281	0.561940
##ed	0.015309	0.001467	0.004068	0.011182	0.008313	0.005425	0.018851	0.026578	0.425002	0.025426	0.007802	0.017604	0.001346	0.000102	0.000294	0.000606	0.001791	0.000206	0.000333	0.000148	0.002988	0.001986	0.001309	0.000504	0.000629	0.000186	0.001301	0.001520	0.003188	0.000040	0.000024	0.000040	0.000012	0.000061	0.000010	0.000058	0.000072	0.000044	0.000041	0.000011	0.000121	0.000081	0.000202	0.000404	0.000026	0.000069	0.000013	0.000022	0.000060	0.000058	0.000009	0.000056	0.000479	0.412525
property	0.036926	0.004643	0.007096	0.016366	0.008344	0.009186	0.075737	0.019219	0.026784	0.014936	0.006420	0.088502	0.008577	0.002860	0.003012	0.007844	0.003596	0.001861	0.002072	0.001553	0.000791	0.007423	0.001691	0.000889	0.004290	0.004765	0.006618	0.003436	0.000826	0.000405	0.000599	0.000377	0.001135	0.000240	0.000452	0.001772	0.000913	0.000123	0.000214	0.000096	0.000079	0.000575	0.002138	0.001946	0.002687	0.000338	0.000246	0.000102	0.002979	0.000796	0.000096	0.000299	0.003336	0.601793
must	0.033389	0.009304	0.005777	0.002219	0.000573	0.011944	0.026314	0.014996	0.017143	0.012835	0.076230	0.164456	0.018804	0.001778	0.007607	0.052978	0.008605	0.003822	0.009817	0.000886	0.000829	0.008744	0.001097	0.001591	0.005693	0.000196	0.002900	0.002992	0.001398	0.002212	0.000987	0.000069	0.000667	0.000352	0.001270	0.000973	0.000451	0.000382	0.000307	0.000038	0.000088	0.000051	0.000648	0.000823	0.000125	0.000497	0.000716	0.000081	0.002346	0.000533	0.000118	0.000291	0.001208	0.479849
