TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.103634	0.000469	0.000508	0.000643	0.001158	0.001382	0.005133	0.000325	0.004653	0.002216	0.001091	0.000809	0.000243	0.000123	0.000292	0.000312	0.000378	0.000117	0.000213	0.000083	0.000183	0.000365	0.000192	0.000188	0.000070	0.000096	0.000163	0.000096	0.000058	0.000090	0.000132	0.000591	0.000394	0.000816	0.000232	0.000861	0.000790	0.000626	0.000348	0.000386	0.000716	0.000253	0.000400	0.001367	0.000329	0.000535	0.000351	0.000158	0.002873	0.000865	0.004201	0.005904	0.001457	0.850133
Although	0.009349	0.028614	0.035561	0.005383	0.047243	0.013687	0.014854	0.012782	0.007965	0.453517	0.125456	0.030830	0.011481	0.006135	0.011741	0.019757	0.006056	0.006540	0.015692	0.004768	0.009092	0.024118	0.001249	0.000881	0.005750	0.001712	0.000390	0.000109	0.000184	0.000914	0.002811	0.008634	0.000687	0.001237	0.002079	0.006861	0.003344	0.008542	0.004566	0.000677	0.001437	0.000334	0.000911	0.000299	0.000568	0.001680	0.000771	0.000323	0.004573	0.000179	0.000079	0.000762	0.001932	0.034903
other	0.001263	0.017111	0.045918	0.746549	0.065956	0.002578	0.002595	0.001603	0.025849	0.006600	0.005264	0.005024	0.010209	0.002004	0.003144	0.003874	0.000669	0.002369	0.001811	0.001864	0.001783	0.001974	0.002265	0.000189	0.000356	0.000167	0.000084	0.000045	0.000157	0.000042	0.000252	0.000235	0.000084	0.000138	0.000128	0.001962	0.000972	0.000097	0.000078	0.000012	0.001594	0.000195	0.000071	0.000367	0.000253	0.000012	0.000023	0.000005	0.000006	0.000018	0.000007	0.000003	0.000128	0.034043
types	0.018671	0.001934	0.005326	0.003149	0.015988	0.027449	0.110259	0.008217	0.683823	0.003576	0.006749	0.016230	0.001352	0.000510	0.000653	0.000748	0.001726	0.002499	0.002841	0.000794	0.000199	0.012141	0.001809	0.000095	0.000244	0.000021	0.000067	0.000016	0.000024	0.000037	0.000041	0.000150	0.000078	0.000014	0.000006	0.001619	0.000696	0.000013	0.000012	0.000004	0.000493	0.000087	0.000099	0.001658	0.000057	0.000005	0.000001	0.000000	0.000245	0.000103	0.000072	0.000146	0.000941	0.066312
of	0.002527	0.002455	0.000647	0.005922	0.002831	0.001781	0.028611	0.002054	0.928136	0.004908	0.002156	0.002898	0.001367	0.000157	0.000126	0.000236	0.002117	0.000167	0.000263	0.000602	0.001352	0.000926	0.000313	0.000026	0.000069	0.000030	0.000043	0.000014	0.000162	0.000009	0.000046	0.000058	0.000024	0.000025	0.000008	0.000378	0.000160	0.000014	0.000011	0.000001	0.000020	0.000029	0.000030	0.000173	0.000007	0.000023	0.000004	0.000004	0.000074	0.000026	0.000009	0.000070	0.000290	0.005611
for	0.001914	0.006102	0.002848	0.003140	0.007937	0.006740	0.046819	0.080831	0.329728	0.015761	0.019996	0.044032	0.005521	0.000799	0.001492	0.001090	0.008393	0.000795	0.001730	0.000473	0.000938	0.008953	0.001675	0.000434	0.005025	0.002423	0.001299	0.000191	0.000192	0.000182	0.001395	0.000928	0.000191	0.001009	0.000186	0.000788	0.000152	0.000049	0.000122	0.000016	0.000013	0.000120	0.000268	0.000089	0.000152	0.000207	0.000085	0.000061	0.000160	0.000057	0.000056	0.000051	0.000526	0.385864
##feit	0.004506	0.009283	0.000568	0.000071	0.002312	0.001177	0.000592	0.002184	0.584949	0.004686	0.003094	0.000551	0.004728	0.001094	0.000419	0.000333	0.011922	0.002160	0.001070	0.000076	0.000269	0.000168	0.001104	0.000208	0.000212	0.000542	0.000265	0.000166	0.000166	0.000157	0.000027	0.000117	0.000095	0.000014	0.000104	0.003344	0.000209	0.000030	0.000024	0.000004	0.000004	0.000025	0.000218	0.000041	0.000036	0.000147	0.000066	0.000009	0.000037	0.000024	0.000018	0.000038	0.002585	0.353750
##ed	0.012379	0.021382	0.006810	0.005028	0.020309	0.020929	0.034467	0.007473	0.198206	0.153925	0.030380	0.008705	0.018466	0.004664	0.005219	0.003995	0.022384	0.004718	0.009347	0.001116	0.001851	0.001349	0.002753	0.000686	0.000652	0.001063	0.000996	0.000295	0.000678	0.000699	0.000093	0.000908	0.000492	0.000074	0.000448	0.002238	0.001460	0.000285	0.000034	0.000011	0.000049	0.000270	0.000306	0.000285	0.000311	0.001458	0.000123	0.000058	0.000320	0.000302	0.000103	0.000200	0.005211	0.384033
property	0.001172	0.001826	0.000684	0.000337	0.001841	0.001649	0.005353	0.005261	0.024151	0.006819	0.004658	0.035063	0.002225	0.000662	0.002043	0.000594	0.000576	0.000466	0.001415	0.000792	0.000558	0.010419	0.000435	0.000205	0.002821	0.000771	0.000495	0.000305	0.000364	0.000247	0.002193	0.000655	0.000234	0.000433	0.000160	0.000800	0.000165	0.000022	0.000034	0.000007	0.000014	0.000030	0.000127	0.000099	0.000099	0.000099	0.000055	0.000015	0.000139	0.000033	0.000049	0.000087	0.000641	0.879603
must	0.003815	0.001994	0.010013	0.000531	0.002021	0.001097	0.009140	0.002830	0.004023	0.004359	0.011370	0.424688	0.031277	0.036291	0.035585	0.027316	0.007864	0.002578	0.007831	0.014427	0.003347	0.065332	0.002310	0.001129	0.126231	0.008008	0.001780	0.000464	0.000625	0.000831	0.091375	0.007003	0.000936	0.001744	0.000119	0.004740	0.000348	0.000078	0.000822	0.000227	0.000195	0.000346	0.000936	0.000279	0.000169	0.000068	0.000333	0.000059	0.001670	0.000190	0.000531	0.000856	0.001696	0.036175
