TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.013699	0.050817	0.003737	0.005370	0.002945	0.001708	0.002986	0.003978	0.009374	0.009949	0.008034	0.002250	0.003689	0.001116	0.004814	0.003938	0.004711	0.010151	0.012429	0.002030	0.003545	0.002331	0.010937	0.004064	0.001835	0.001204	0.001562	0.004270	0.001487	0.002389	0.001182	0.000650	0.001537	0.002741	0.022778	0.013343	0.011504	0.011574	0.014273	0.001343	0.010000	0.003865	0.009488	0.011734	0.004662	0.006787	0.020251	0.004493	0.009114	0.002449	0.004007	0.009243	0.127751	0.503885
Although	0.007426	0.009663	0.009422	0.007611	0.004192	0.003379	0.002021	0.001437	0.001687	0.025779	0.005875	0.000919	0.012312	0.011181	0.009906	0.014061	0.007453	0.007619	0.026797	0.001299	0.003831	0.000501	0.007514	0.019036	0.002843	0.004849	0.002348	0.001309	0.003808	0.005470	0.003888	0.004150	0.001248	0.002323	0.023580	0.012877	0.003725	0.018541	0.004834	0.008047	0.017931	0.012393	0.010184	0.027428	0.001929	0.002173	0.001942	0.001452	0.000586	0.002738	0.002498	0.003864	0.082359	0.527761
other	0.004069	0.050240	0.006028	0.009389	0.004933	0.002128	0.005139	0.003349	0.000757	0.058417	0.012063	0.000878	0.013675	0.010888	0.009093	0.003629	0.003935	0.006675	0.019943	0.002826	0.010902	0.000953	0.008621	0.040280	0.002908	0.001262	0.002336	0.003983	0.000875	0.005880	0.004397	0.003496	0.002084	0.003017	0.019209	0.009987	0.012538	0.019146	0.007178	0.024984	0.009963	0.006488	0.006242	0.010344	0.003591	0.004775	0.005956	0.003892	0.001477	0.001159	0.000700	0.002577	0.035884	0.494860
types	0.005220	0.049486	0.006565	0.002315	0.002553	0.001016	0.011527	0.004950	0.008803	0.016163	0.006680	0.004911	0.012912	0.012689	0.013369	0.007837	0.010181	0.014021	0.006771	0.003822	0.007278	0.004340	0.030608	0.004980	0.024501	0.007038	0.006139	0.005337	0.017270	0.002987	0.008854	0.003532	0.002880	0.013266	0.013042	0.021303	0.010538	0.014705	0.015166	0.013046	0.127688	0.012293	0.016381	0.071049	0.002808	0.005086	0.011481	0.006804	0.001025	0.002147	0.003601	0.020154	0.030103	0.260781
of	0.020769	0.011767	0.015227	0.012437	0.003744	0.010613	0.007042	0.002715	0.012548	0.033724	0.011374	0.005615	0.007467	0.012183	0.012292	0.042954	0.006513	0.016269	0.039759	0.004730	0.010945	0.002920	0.021902	0.044768	0.007343	0.018051	0.029554	0.015292	0.010064	0.010839	0.008754	0.010769	0.011063	0.009291	0.022993	0.011423	0.008942	0.027242	0.005969	0.012292	0.011685	0.006261	0.012893	0.009754	0.003659	0.009527	0.016353	0.006365	0.003809	0.009823	0.007445	0.006031	0.026156	0.280081
for	0.054232	0.005110	0.010238	0.004944	0.009530	0.038182	0.011895	0.003529	0.050970	0.009739	0.004181	0.013978	0.005768	0.003493	0.006295	0.029173	0.039668	0.011343	0.008408	0.048371	0.018619	0.011316	0.001200	0.007977	0.026227	0.014337	0.008961	0.005655	0.013941	0.002780	0.003076	0.022695	0.055003	0.004756	0.003817	0.006624	0.001162	0.007909	0.001716	0.005226	0.012830	0.004490	0.002905	0.005701	0.001956	0.009247	0.039753	0.007661	0.030299	0.008514	0.006434	0.000837	0.010667	0.266662
##feit	0.098436	0.003091	0.001568	0.007205	0.017477	0.005411	0.000615	0.006035	0.008337	0.007045	0.013550	0.006244	0.006378	0.000733	0.004262	0.044208	0.046918	0.027059	0.001878	0.009346	0.002719	0.004611	0.002348	0.003684	0.008981	0.011280	0.001735	0.005106	0.016498	0.003458	0.008818	0.005986	0.008575	0.013105	0.002265	0.016019	0.001063	0.012212	0.002392	0.002158	0.021894	0.014927	0.003997	0.010605	0.000689	0.008353	0.018713	0.003285	0.001583	0.005320	0.027923	0.002224	0.024260	0.407419
##ed	0.124588	0.002473	0.004538	0.009291	0.020218	0.008659	0.004092	0.023023	0.031180	0.011720	0.008112	0.020914	0.005278	0.002361	0.008109	0.056255	0.034740	0.030535	0.009318	0.002899	0.006618	0.009143	0.008254	0.004571	0.005244	0.039984	0.007972	0.007539	0.032189	0.004434	0.004654	0.017910	0.011412	0.015605	0.013409	0.012978	0.004777	0.005540	0.001972	0.006540	0.029191	0.007231	0.009882	0.015777	0.006242	0.004922	0.004016	0.005740	0.001756	0.007255	0.014552	0.021230	0.021447	0.211709
property	0.192870	0.000958	0.001970	0.013817	0.025303	0.008430	0.003608	0.036036	0.008550	0.005184	0.004282	0.011756	0.001981	0.001033	0.005975	0.020324	0.113580	0.034308	0.002160	0.003358	0.003260	0.008423	0.005762	0.002891	0.002564	0.009359	0.002931	0.021567	0.042290	0.001214	0.006978	0.003987	0.009625	0.014425	0.004409	0.009450	0.000658	0.000883	0.002774	0.001934	0.033053	0.002938	0.008141	0.044908	0.002683	0.001826	0.002376	0.001705	0.000642	0.002462	0.035776	0.007085	0.035301	0.170239
must	0.011761	0.041319	0.023875	0.014010	0.015700	0.001854	0.001624	0.011284	0.003923	0.007917	0.021683	0.010751	0.068847	0.010894	0.018771	0.009451	0.009703	0.014278	0.014756	0.008451	0.006282	0.012510	0.019100	0.008360	0.013364	0.006540	0.007012	0.001633	0.004713	0.004116	0.016434	0.015326	0.005914	0.005900	0.016459	0.019241	0.040339	0.081187	0.011733	0.005162	0.027994	0.053224	0.022079	0.029338	0.004040	0.012813	0.007035	0.006434	0.000825	0.010688	0.013161	0.007041	0.034738	0.148408
be	0.022194	0.011379	0.023260	0.021945	0.016967	0.004673	0.004587	0.012058	0.004730	0.019229	0.007402	0.008667	0.023423	0.012915	0.021560	0.026897	0.018545	0.012044	0.011835	0.011351	0.025240	0.008575	0.009328	0.013917	0.014946	0.017822	0.017842	0.003319	0.010133	0.004285	0.016932	0.038506	0.011313	0.008237	0.010392	0.011483	0.015534	0.025021	0.005256	0.022841	0.036463	0.037949	0.009992	0.009363	0.005386	0.017656	0.006302	0.015009	0.002278	0.024017	0.013615	0.007317	0.024234	0.203836
sold	0.107750	0.000384	0.001061	0.002760	0.019387	0.012065	0.008897	0.022974	0.041186	0.005901	0.003020	0.002912	0.002942	0.000913	0.007577	0.087449	0.145999	0.020582	0.001944	0.004416	0.008725	0.001932	0.002926	0.002698	0.038815	0.030898	0.005548	0.018962	0.111747	0.002745	0.012461	0.014460	0.013256	0.010090	0.001408	0.004390	0.000283	0.001027	0.000585	0.001905	0.016927	0.004629	0.003805	0.017512	0.001154	0.003067	0.002967	0.001709	0.002164	0.004271	0.005175	0.004220	0.008407	0.139017
in	0.004697	0.015618	0.016373	0.018451	0.005269	0.002292	0.008084	0.002912	0.002833	0.025075	0.014711	0.002271	0.005181	0.010270	0.011225	0.017426	0.006100	0.009883	0.030252	0.005608	0.009771	0.001558	0.008843	0.025188	0.008572	0.009736	0.006008	0.003832	0.005597	0.007337	0.006934	0.007979	0.004953	0.004904	0.035501	0.014998	0.006196	0.036724	0.009357	0.011819	0.015961	0.005788	0.009842	0.014681	0.002661	0.006254	0.006487	0.006835	0.002419	0.004256	0.004586	0.008121	0.039637	0.432139
order	0.005730	0.054034	0.009651	0.038516	0.005442	0.001063	0.003777	0.004860	0.003872	0.020730	0.019970	0.004672	0.008698	0.000831	0.005031	0.012163	0.009631	0.009533	0.024241	0.007623	0.002401	0.003460	0.013460	0.012857	0.002105	0.001689	0.001483	0.003143	0.001446	0.010505	0.003276	0.001304	0.002248	0.006332	0.023852	0.010560	0.003611	0.039572	0.011278	0.002894	0.007465	0.007595	0.004918	0.004042	0.001147	0.005375	0.033420	0.003043	0.002549	0.001223	0.001530	0.003661	0.030776	0.485711
to	0.008330	0.018543	0.014524	0.019463	0.010004	0.004587	0.008949	0.005884	0.004715	0.020049	0.009858	0.006823	0.017175	0.007999	0.007152	0.038148	0.008057	0.010666	0.022990	0.006444	0.013486	0.005883	0.015192	0.033388	0.018724	0.008196	0.012645	0.007061	0.004572	0.013074	0.015781	0.022797	0.010548	0.008971	0.018773	0.012085	0.005925	0.031490	0.007492	0.015516	0.002599	0.015806	0.008353	0.007787	0.002858	0.012772	0.014380	0.008613	0.006506	0.007702	0.002376	0.004326	0.037470	0.336488
recognize	0.033930	0.003515	0.001757	0.003455	0.016397	0.006270	0.015354	0.023561	0.015070	0.009529	0.016033	0.050737	0.008900	0.003322	0.017263	0.008024	0.045814	0.009943	0.002965	0.026852	0.010160	0.045630	0.003361	0.001376	0.081622	0.017308	0.004558	0.006975	0.018169	0.002109	0.068957	0.019091	0.028195	0.014531	0.009313	0.008887	0.004796	0.010497	0.002434	0.003281	0.012349	0.011222	0.008497	0.010543	0.001295	0.010411	0.007169	0.006694	0.006267	0.005086	0.009094	0.011223	0.021240	0.198970
revenue	0.118319	0.001727	0.000459	0.001748	0.010293	0.011191	0.023688	0.012953	0.122847	0.011655	0.009274	0.103441	0.003162	0.001048	0.003026	0.034761	0.007734	0.013439	0.001831	0.005632	0.001696	0.062470	0.005229	0.002729	0.013537	0.011027	0.003386	0.013731	0.007477	0.002034	0.007417	0.007822	0.009519	0.009632	0.003362	0.010417	0.000747	0.001689	0.002158	0.001347	0.001685	0.002493	0.006544	0.014150	0.001701	0.003385	0.025164	0.002004	0.005680	0.005631	0.003305	0.003074	0.021818	0.227709
,	0.008172	0.033468	0.007563	0.004020	0.004163	0.004154	0.013460	0.012762	0.010340	0.019114	0.007555	0.008039	0.014519	0.007862	0.011170	0.017730	0.008548	0.012476	0.018089	0.002200	0.011321	0.004698	0.045283	0.010024	0.009809	0.011858	0.009013	0.005454	0.004184	0.011019	0.007294	0.010456	0.003268	0.009170	0.040393	0.012757	0.013664	0.016377	0.004815	0.022211	0.011154	0.008355	0.011539	0.022526	0.007845	0.006181	0.005862	0.009069	0.003549	0.005492	0.002357	0.013856	0.041564	0.362182
or	0.009720	0.056811	0.019772	0.002959	0.009241	0.005934	0.005484	0.004968	0.004823	0.027004	0.013515	0.005325	0.031652	0.015115	0.017402	0.015157	0.003996	0.008957	0.007216	0.006072	0.011829	0.005992	0.050696	0.019079	0.012821	0.006703	0.021198	0.006137	0.002966	0.006167	0.014721	0.011899	0.002321	0.004560	0.015540	0.015537	0.034404	0.036865	0.007428	0.028988	0.012726	0.023335	0.021934	0.015023	0.011751	0.010806	0.006403	0.006851	0.002958	0.014769	0.004588	0.006393	0.054468	0.221022
construct	0.024068	0.007589	0.004458	0.012547	0.004736	0.012419	0.048829	0.003982	0.016796	0.015915	0.009566	0.025095	0.004392	0.008530	0.004194	0.062770	0.028590	0.010293	0.008147	0.001744	0.001779	0.016133	0.003419	0.019843	0.056233	0.010505	0.003846	0.009462	0.005244	0.006368	0.004778	0.005918	0.023048	0.013816	0.004667	0.011792	0.001744	0.011467	0.003058	0.009375	0.012899	0.003125	0.004341	0.037278	0.000637	0.007542	0.013468	0.002041	0.018710	0.005833	0.007513	0.001920	0.025089	0.322449
##ively	0.029675	0.005473	0.002705	0.017852	0.007799	0.001919	0.002423	0.005207	0.002807	0.038887	0.017765	0.007296	0.006042	0.003503	0.003653	0.016856	0.007347	0.005090	0.007507	0.001625	0.000402	0.004662	0.008641	0.009387	0.002443	0.002868	0.001305	0.006040	0.003475	0.005144	0.008666	0.005415	0.010567	0.006741	0.006297	0.009647	0.003501	0.017676	0.003468	0.006200	0.007132	0.005326	0.006412	0.008298	0.001886	0.006631	0.010391	0.003444	0.002105	0.004460	0.002337	0.003438	0.029859	0.594308
sold	0.134101	0.000544	0.001383	0.006100	0.016843	0.010955	0.008392	0.018127	0.041405	0.010217	0.004047	0.002896	0.002382	0.001116	0.005657	0.082723	0.104514	0.021745	0.002956	0.004299	0.008163	0.001676	0.003338	0.005558	0.016779	0.022898	0.005199	0.036686	0.089406	0.003528	0.008793	0.008520	0.014418	0.007817	0.001420	0.005205	0.000387	0.001530	0.000950	0.002039	0.011340	0.004408	0.004793	0.014990	0.001590	0.003988	0.004443	0.001810	0.003615	0.004733	0.008240	0.004377	0.014905	0.192056
