TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.007316	0.000936	0.002937	0.020958	0.011165	0.013116	0.010910	0.011911	0.031100	0.010873	0.012639	0.056611	0.000492	0.000647	0.000740	0.007386	0.015932	0.001793	0.001233	0.000714	0.000956	0.018088	0.002738	0.002544	0.026438	0.001045	0.013781	0.012652	0.012080	0.001120	0.000739	0.000381	0.001721	0.008551	0.001180	0.000381	0.005021	0.007232	0.015457	0.038962	0.044735	0.003444	0.003244	0.055591	0.000200	0.002816	0.003180	0.001775	0.003654	0.000878	0.002897	0.004921	0.228272	0.253920
Although	0.000478	0.000944	0.000170	0.000455	0.000125	0.000309	0.000294	0.000090	0.000739	0.000456	0.000194	0.000531	0.000109	0.000106	0.000101	0.000541	0.000794	0.000367	0.000448	0.000254	0.000130	0.000316	0.000104	0.000282	0.000189	0.000049	0.000206	0.000742	0.000498	0.000175	0.000057	0.000058	0.000151	0.000175	0.000181	0.000042	0.000284	0.000168	0.000454	0.000775	0.001317	0.000323	0.000185	0.000635	0.000033	0.000079	0.000136	0.000039	0.000139	0.000267	0.000298	0.000140	0.451463	0.532407
other	0.000921	0.000211	0.000354	0.003508	0.004207	0.006576	0.036949	0.004896	0.018985	0.001754	0.000510	0.005374	0.000028	0.000052	0.000152	0.007350	0.021852	0.000272	0.000261	0.001508	0.000675	0.003873	0.000148	0.000215	0.003630	0.000122	0.000603	0.009383	0.004531	0.000200	0.000482	0.000147	0.001349	0.001593	0.000083	0.000068	0.000268	0.000117	0.000148	0.000274	0.000240	0.000036	0.000144	0.002229	0.000019	0.000136	0.000156	0.000068	0.000220	0.000105	0.000321	0.000443	0.389062	0.463189
types	0.002593	0.000203	0.000198	0.008126	0.003716	0.008469	0.066464	0.005586	0.042121	0.001315	0.000402	0.012263	0.000010	0.000017	0.000036	0.006089	0.057054	0.000278	0.000248	0.001958	0.000406	0.007668	0.000172	0.000197	0.009739	0.000128	0.000609	0.011116	0.005697	0.000204	0.000662	0.000108	0.000976	0.002321	0.000047	0.000053	0.000357	0.000097	0.000155	0.000808	0.001006	0.000054	0.000093	0.003424	0.000015	0.000168	0.000181	0.000055	0.000217	0.000117	0.000472	0.000392	0.338779	0.396361
of	0.001024	0.000169	0.000047	0.000297	0.000368	0.000985	0.004168	0.000245	0.005362	0.000097	0.000039	0.000849	0.000003	0.000007	0.000007	0.001158	0.010540	0.000570	0.000066	0.000372	0.000074	0.000681	0.000143	0.000169	0.000503	0.000026	0.000090	0.006814	0.000513	0.000050	0.000045	0.000033	0.000491	0.000577	0.000087	0.000029	0.000027	0.000010	0.000006	0.000036	0.000011	0.000004	0.000014	0.000075	0.000002	0.000023	0.000044	0.000009	0.000038	0.000129	0.000170	0.000053	0.439759	0.522896
for	0.000428	0.000091	0.000008	0.000231	0.000186	0.001345	0.005514	0.000405	0.004405	0.000030	0.000013	0.001093	0.000001	0.000001	0.000002	0.002322	0.008784	0.000123	0.000023	0.000096	0.000020	0.001120	0.000036	0.000056	0.000519	0.000007	0.000021	0.002125	0.000393	0.000016	0.000028	0.000004	0.000096	0.000447	0.000012	0.000004	0.000011	0.000005	0.000004	0.000023	0.000019	0.000006	0.000009	0.000159	0.000002	0.000012	0.000029	0.000005	0.000040	0.000125	0.000503	0.000110	0.437185	0.531750
##feit	0.002203	0.000150	0.000128	0.003450	0.003877	0.007269	0.039328	0.005482	0.038366	0.000242	0.000288	0.014527	0.000011	0.000015	0.000040	0.005502	0.032277	0.000673	0.000100	0.000839	0.000332	0.013218	0.000125	0.000128	0.005402	0.000081	0.000226	0.011631	0.002752	0.000083	0.000764	0.000073	0.000786	0.004437	0.000067	0.000032	0.000118	0.000039	0.000054	0.000086	0.000178	0.000055	0.000188	0.002241	0.000014	0.000095	0.000186	0.000052	0.000212	0.000565	0.001341	0.000845	0.364628	0.434199
##ed	0.001943	0.000092	0.000011	0.000181	0.000294	0.001357	0.006356	0.000262	0.003877	0.000039	0.000019	0.000826	0.000001	0.000002	0.000003	0.001600	0.010182	0.000805	0.000032	0.000165	0.000033	0.000712	0.000062	0.000024	0.000246	0.000010	0.000023	0.005624	0.000463	0.000015	0.000024	0.000009	0.000262	0.000566	0.000030	0.000017	0.000014	0.000005	0.000004	0.000024	0.000011	0.000004	0.000016	0.000082	0.000002	0.000026	0.000049	0.000012	0.000054	0.000256	0.000384	0.000116	0.439011	0.523762
property	0.008480	0.000711	0.000249	0.002348	0.003543	0.003936	0.018348	0.002616	0.029664	0.000724	0.000269	0.005276	0.000055	0.000064	0.000098	0.001978	0.014760	0.002164	0.000311	0.000891	0.000356	0.005017	0.000508	0.000265	0.001578	0.000248	0.000213	0.010784	0.002487	0.000170	0.000250	0.000228	0.001223	0.003729	0.000445	0.000178	0.000203	0.000098	0.000081	0.000185	0.000307	0.000174	0.000468	0.001600	0.000086	0.000244	0.000360	0.000199	0.000434	0.000770	0.001422	0.000464	0.405078	0.463663
must	0.007816	0.000923	0.000213	0.003419	0.001873	0.003133	0.013209	0.001436	0.008113	0.005410	0.001378	0.009080	0.000090	0.000121	0.000189	0.003908	0.005823	0.000946	0.000633	0.001031	0.000422	0.002860	0.000328	0.000491	0.001502	0.000190	0.000490	0.018368	0.005147	0.000378	0.000488	0.000147	0.000482	0.001398	0.000144	0.000255	0.001847	0.000574	0.001111	0.000767	0.001804	0.000230	0.000409	0.004033	0.000062	0.000601	0.000631	0.000292	0.000855	0.000908	0.001078	0.000881	0.408283	0.473799
