TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.056921	0.000640	0.000663	0.003855	0.005099	0.001148	0.073973	0.004783	0.020291	0.013702	0.001214	0.004421	0.000429	0.002072	0.002870	0.013052	0.049049	0.001325	0.001670	0.000949	0.010733	0.001722	0.000288	0.003034	0.003017	0.003352	0.002904	0.018617	0.011966	0.000481	0.004515	0.000812	0.009145	0.006647	0.000165	0.002356	0.000930	0.001907	0.000825	0.000702	0.001508	0.000288	0.002107	0.009917	0.000756	0.003268	0.003764	0.000974	0.000615	0.002203	0.015354	0.003746	0.007707	0.605550
Although	0.077260	0.000752	0.001124	0.001758	0.002156	0.001691	0.002760	0.000839	0.010403	0.006230	0.001447	0.002784	0.000932	0.000776	0.004617	0.003374	0.007688	0.003497	0.002224	0.001362	0.000685	0.001162	0.000544	0.001096	0.002415	0.003596	0.001443	0.002011	0.000916	0.000743	0.001083	0.001000	0.001970	0.001625	0.001168	0.007743	0.001476	0.002333	0.002749	0.000940	0.001537	0.000519	0.002712	0.001308	0.000880	0.001724	0.004050	0.000070	0.000090	0.000221	0.000370	0.000834	0.031068	0.784245
other	0.032128	0.000896	0.000518	0.001666	0.004524	0.001236	0.000960	0.000477	0.003007	0.002590	0.001723	0.001230	0.000398	0.000214	0.002244	0.002573	0.001419	0.001924	0.001995	0.000515	0.001533	0.000477	0.000462	0.000258	0.000286	0.001062	0.001268	0.001108	0.000372	0.000508	0.000388	0.000357	0.000545	0.003351	0.000429	0.004803	0.000650	0.001687	0.002759	0.000317	0.000646	0.000228	0.002904	0.000949	0.000565	0.001641	0.001958	0.000130	0.000381	0.000041	0.000478	0.000794	0.034378	0.870049
types	0.050506	0.000415	0.001058	0.001729	0.007485	0.001903	0.008921	0.001062	0.010229	0.004851	0.002350	0.007802	0.001204	0.001286	0.005382	0.028630	0.010013	0.003086	0.002281	0.001227	0.002040	0.003911	0.000703	0.000580	0.006713	0.003050	0.002512	0.003474	0.003009	0.000647	0.001345	0.000506	0.001206	0.008224	0.000327	0.007278	0.001429	0.001546	0.002908	0.001382	0.001835	0.000697	0.003082	0.008357	0.002204	0.001836	0.002004	0.000147	0.001681	0.000349	0.007244	0.003049	0.033146	0.730161
of	0.032156	0.000441	0.000914	0.003643	0.004096	0.002329	0.005626	0.002024	0.013429	0.003758	0.001131	0.004496	0.000813	0.000965	0.003389	0.002265	0.006696	0.003333	0.001101	0.001418	0.003448	0.002164	0.000509	0.000502	0.001430	0.003884	0.002915	0.001989	0.001421	0.000539	0.001540	0.000873	0.003594	0.012034	0.000575	0.008661	0.000848	0.001354	0.002567	0.001367	0.000686	0.000505	0.002735	0.009306	0.000892	0.001715	0.004674	0.000383	0.000481	0.000594	0.000758	0.001070	0.032116	0.797849
for	0.024364	0.000286	0.000480	0.000725	0.003938	0.000748	0.016816	0.001419	0.011964	0.001140	0.000502	0.002792	0.000446	0.000350	0.003329	0.003598	0.020048	0.003689	0.000629	0.001338	0.006867	0.001950	0.000523	0.000227	0.001217	0.004217	0.003352	0.001544	0.001999	0.000401	0.001853	0.000914	0.002284	0.005683	0.000304	0.008746	0.000293	0.000532	0.001357	0.000227	0.000274	0.000279	0.002209	0.001738	0.000956	0.000817	0.001458	0.000233	0.000530	0.000368	0.002724	0.000742	0.026694	0.817889
##feit	0.008550	0.000416	0.000629	0.000448	0.003507	0.002984	0.042170	0.007627	0.400522	0.000550	0.000791	0.032596	0.000620	0.001277	0.000837	0.060004	0.074309	0.003013	0.001298	0.007776	0.007159	0.015003	0.000486	0.000243	0.008876	0.003947	0.006264	0.008275	0.013595	0.000926	0.002381	0.002477	0.022846	0.013091	0.000380	0.003440	0.001310	0.000276	0.000652	0.000183	0.000174	0.000889	0.002191	0.006212	0.000930	0.000582	0.002385	0.000170	0.001185	0.002959	0.006501	0.001855	0.009392	0.202840
##ed	0.033978	0.000485	0.000728	0.001278	0.005428	0.002511	0.159887	0.006983	0.079687	0.001150	0.000244	0.065873	0.000557	0.001441	0.001599	0.030095	0.135659	0.001987	0.000446	0.002298	0.009731	0.033397	0.000505	0.000569	0.007194	0.005499	0.004524	0.012932	0.019989	0.000288	0.003053	0.001324	0.007085	0.025950	0.000186	0.005454	0.000449	0.000234	0.001568	0.000336	0.000654	0.000520	0.001231	0.017543	0.002287	0.000488	0.007719	0.000248	0.002384	0.004271	0.028502	0.001018	0.012522	0.248028
property	0.011371	0.001563	0.001292	0.000825	0.008589	0.003470	0.068449	0.006113	0.107239	0.004370	0.000620	0.052838	0.000821	0.003524	0.002757	0.059354	0.147553	0.003842	0.002361	0.003568	0.019434	0.019968	0.000838	0.002467	0.027351	0.009618	0.006763	0.055738	0.057674	0.001005	0.002320	0.002195	0.011528	0.047573	0.000189	0.009451	0.000561	0.001153	0.002711	0.000321	0.000678	0.000606	0.002920	0.016864	0.001540	0.002003	0.009768	0.000494	0.001705	0.002878	0.033873	0.003814	0.020830	0.132652
must	0.111749	0.001631	0.003108	0.002399	0.012054	0.009601	0.021837	0.004413	0.013165	0.003258	0.003713	0.010058	0.002112	0.002194	0.016293	0.014313	0.007443	0.016824	0.004054	0.001700	0.006198	0.003333	0.002611	0.000916	0.006048	0.015662	0.019262	0.003125	0.002162	0.001257	0.003227	0.001308	0.002692	0.007324	0.001426	0.017777	0.002624	0.001712	0.006726	0.000756	0.000716	0.000759	0.004251	0.004375	0.004401	0.002203	0.008342	0.000471	0.001283	0.001892	0.003833	0.002724	0.066392	0.530293
