TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.080246	0.004507	0.013996	0.003794	0.025281	0.054862	0.002878	0.013475	0.010995	0.009231	0.010459	0.004282	0.061080	0.010928	0.088692	0.006216	0.005719	0.030678	0.006203	0.011614	0.005581	0.003589	0.006573	0.007470	0.003020	0.077934	0.019190	0.004187	0.006918	0.004434	0.004260	0.038377	0.007133	0.005540	0.005118	0.027721	0.017120	0.002969	0.080040	0.004408	0.003281	0.043554	0.062462	0.002841	0.036568	0.002644	0.004510	0.012693	0.002666	0.004344	0.005324	0.009152	0.013347	0.009897
Although	0.002440	0.040209	0.059994	0.065765	0.029649	0.037560	0.013729	0.011227	0.012861	0.045959	0.057582	0.014249	0.008236	0.012601	0.012212	0.082598	0.013244	0.005302	0.053726	0.011545	0.069225	0.011562	0.013836	0.013176	0.025482	0.007683	0.007251	0.022524	0.020383	0.031952	0.030490	0.007987	0.009314	0.005792	0.008568	0.002318	0.005908	0.019192	0.003762	0.014786	0.006762	0.002198	0.001876	0.007633	0.002783	0.010795	0.009106	0.006466	0.011770	0.001861	0.003007	0.006250	0.003109	0.004509
other	0.000486	0.073751	0.050521	0.089719	0.018432	0.018294	0.093701	0.013993	0.026610	0.032859	0.020902	0.020135	0.006418	0.008454	0.007258	0.086017	0.028475	0.004072	0.113020	0.010908	0.021524	0.009565	0.009922	0.011103	0.018293	0.002993	0.008647	0.017624	0.004363	0.058038	0.007057	0.002834	0.008754	0.009090	0.009506	0.001509	0.003881	0.003787	0.002579	0.006988	0.004485	0.001168	0.001546	0.007218	0.001741	0.002451	0.006419	0.002251	0.010334	0.001644	0.009644	0.003777	0.001590	0.003653
types	0.000779	0.017033	0.012810	0.008706	0.006355	0.006763	0.182968	0.008735	0.123225	0.010575	0.005651	0.023849	0.002887	0.014477	0.002790	0.095506	0.214318	0.002018	0.021679	0.018944	0.027393	0.013214	0.005854	0.001408	0.013079	0.000855	0.003580	0.019653	0.050394	0.008731	0.002883	0.001298	0.010716	0.005482	0.003677	0.000687	0.001453	0.001685	0.001344	0.001551	0.004649	0.000378	0.000762	0.005778	0.000373	0.001327	0.009221	0.001471	0.003696	0.004494	0.008537	0.002917	0.000696	0.000695
of	0.000684	0.032604	0.091968	0.060561	0.074382	0.055979	0.088789	0.021200	0.026808	0.035074	0.018610	0.011273	0.033650	0.012661	0.033296	0.041772	0.023548	0.012584	0.026634	0.016782	0.034680	0.006182	0.014032	0.008618	0.013468	0.015606	0.019249	0.006636	0.002552	0.011376	0.006899	0.011782	0.006919	0.007144	0.013283	0.004225	0.009690	0.001922	0.008082	0.006254	0.005796	0.005905	0.005787	0.005747	0.005439	0.000968	0.004474	0.002217	0.012754	0.002039	0.008578	0.005955	0.002163	0.004720
for	0.000996	0.058698	0.054412	0.063187	0.017423	0.007426	0.211580	0.014191	0.065819	0.031805	0.017687	0.050322	0.005705	0.009756	0.006473	0.023517	0.078065	0.003491	0.016719	0.015633	0.035305	0.026503	0.008868	0.008737	0.017153	0.002535	0.009217	0.015373	0.007810	0.007107	0.005725	0.002617	0.010272	0.010057	0.006182	0.001572	0.003380	0.002230	0.002115	0.006132	0.006788	0.001211	0.001895	0.010244	0.001358	0.001302	0.006647	0.002001	0.009648	0.002106	0.008480	0.002447	0.000764	0.003315
##feit	0.045501	0.031373	0.029729	0.041450	0.007997	0.014806	0.040959	0.022717	0.069578	0.016079	0.083835	0.056611	0.023929	0.008282	0.009946	0.029540	0.075545	0.012709	0.010194	0.028685	0.026763	0.029293	0.006076	0.008570	0.029843	0.004425	0.007499	0.017764	0.019568	0.004661	0.010740	0.003404	0.015092	0.014705	0.002484	0.005621	0.009601	0.013728	0.009106	0.004991	0.015560	0.006895	0.005814	0.014029	0.002222	0.009353	0.012644	0.009831	0.002551	0.006898	0.003964	0.002174	0.002615	0.002053
##ed	0.006804	0.018997	0.023401	0.029262	0.014809	0.026082	0.257400	0.012710	0.044885	0.072951	0.011553	0.049992	0.019732	0.021712	0.014681	0.056181	0.041100	0.004253	0.003792	0.020079	0.034061	0.018101	0.003804	0.003955	0.013906	0.006799	0.009282	0.012523	0.008099	0.001864	0.005346	0.008601	0.013711	0.007057	0.003613	0.001325	0.005045	0.001603	0.005399	0.007012	0.008654	0.004546	0.003534	0.011445	0.002823	0.001170	0.005144	0.005846	0.004046	0.005601	0.016549	0.004766	0.001607	0.002786
property	0.001615	0.013582	0.029869	0.043039	0.020353	0.011986	0.091218	0.029335	0.054183	0.133022	0.046620	0.058301	0.012302	0.020836	0.018497	0.014831	0.054805	0.006412	0.012953	0.061798	0.014126	0.026762	0.012328	0.004104	0.027024	0.005750	0.005879	0.050375	0.006225	0.004979	0.004992	0.003060	0.004960	0.002516	0.007459	0.001576	0.001642	0.003455	0.001911	0.003444	0.009685	0.001578	0.002430	0.011044	0.001117	0.003124	0.008777	0.002437	0.002307	0.004847	0.011775	0.009884	0.002180	0.000693
must	0.002753	0.076576	0.018715	0.030229	0.004430	0.006039	0.048769	0.009365	0.049984	0.009374	0.037174	0.021003	0.004247	0.011577	0.003370	0.171574	0.049789	0.004221	0.189618	0.012482	0.029741	0.009247	0.011516	0.006001	0.010024	0.001020	0.004193	0.008502	0.010034	0.059164	0.007579	0.000721	0.004056	0.005958	0.003371	0.000895	0.001110	0.002457	0.000988	0.003477	0.008443	0.000694	0.001070	0.006257	0.000460	0.002132	0.012420	0.001778	0.014672	0.002441	0.003534	0.002335	0.000787	0.001634
be	0.001219	0.040693	0.023250	0.019487	0.006749	0.007185	0.038730	0.009420	0.010560	0.094897	0.007347	0.033790	0.004547	0.009917	0.007722	0.132718	0.025454	0.004998	0.243076	0.012929	0.027582	0.017142	0.016361	0.012842	0.012905	0.002363	0.007815	0.010308	0.004313	0.067016	0.004253	0.000898	0.004109	0.003816	0.004996	0.001118	0.001189	0.002560	0.001444	0.008660	0.001770	0.000638	0.001516	0.002464	0.001013	0.002504	0.018588	0.003775	0.005002	0.001252	0.006918	0.004319	0.001301	0.002564
sold	0.000891	0.014507	0.024020	0.055863	0.004554	0.006425	0.046779	0.005797	0.275805	0.024645	0.041515	0.021693	0.004378	0.031036	0.005557	0.023839	0.069302	0.004575	0.018619	0.027143	0.016803	0.010051	0.014126	0.005536	0.028417	0.002070	0.002874	0.051282	0.051506	0.007564	0.007615	0.000923	0.005190	0.002559	0.005077	0.000875	0.001771	0.006077	0.000696	0.003139	0.019973	0.000570	0.000672	0.014257	0.001129	0.005950	0.005893	0.001286	0.004921	0.003195	0.006860	0.001555	0.001402	0.001242
in	0.000585	0.021424	0.040207	0.034778	0.011522	0.010497	0.051375	0.006761	0.033457	0.034127	0.023316	0.042336	0.011296	0.028262	0.023331	0.090530	0.080319	0.014292	0.042321	0.044965	0.032590	0.028134	0.022157	0.016446	0.035523	0.008975	0.013924	0.032346	0.013877	0.016215	0.015705	0.003649	0.008836	0.006707	0.009457	0.002342	0.003704	0.003355	0.002567	0.004858	0.007269	0.001508	0.002448	0.008338	0.003896	0.003831	0.013186	0.002991	0.006296	0.003185	0.009934	0.003918	0.001364	0.004767
order	0.000461	0.022575	0.016437	0.031655	0.002975	0.004169	0.140839	0.006315	0.076317	0.033778	0.021516	0.074679	0.004839	0.015514	0.006068	0.069658	0.103644	0.005527	0.021991	0.023925	0.014839	0.048745	0.014731	0.004677	0.044197	0.001616	0.002514	0.027487	0.031651	0.006345	0.004701	0.001265	0.007593	0.009119	0.007188	0.000808	0.001762	0.003410	0.001026	0.004682	0.005728	0.000474	0.000526	0.020549	0.000619	0.004545	0.008918	0.001616	0.006137	0.003424	0.019281	0.003949	0.001158	0.001836
to	0.000645	0.042871	0.030546	0.020003	0.010485	0.009809	0.027532	0.005985	0.027787	0.013546	0.022358	0.019890	0.013231	0.020440	0.017398	0.136827	0.066651	0.020968	0.087552	0.052418	0.045244	0.021880	0.037429	0.016959	0.023158	0.008061	0.013563	0.020615	0.012322	0.022372	0.011511	0.004961	0.006722	0.007639	0.007921	0.002499	0.004298	0.003318	0.002439	0.009220	0.006169	0.001911	0.002762	0.008157	0.004110	0.003116	0.006358	0.002707	0.014694	0.003825	0.006137	0.003375	0.002009	0.005595
recognize	0.004529	0.012838	0.018259	0.054611	0.003996	0.004314	0.071161	0.013089	0.031706	0.073235	0.019723	0.024643	0.006252	0.033570	0.014932	0.053529	0.069481	0.007730	0.036306	0.055265	0.052612	0.023971	0.010631	0.010501	0.034652	0.005252	0.006388	0.045798	0.016490	0.011954	0.015754	0.002987	0.011852	0.013172	0.006131	0.001451	0.002084	0.001855	0.001613	0.004370	0.006291	0.000840	0.000833	0.013463	0.001404	0.002386	0.018490	0.004654	0.003249	0.005281	0.048283	0.004206	0.000795	0.001139
revenue	0.003197	0.007126	0.005799	0.010416	0.003862	0.003505	0.074034	0.016325	0.063551	0.017986	0.013355	0.108459	0.008994	0.036741	0.014558	0.007773	0.067033	0.024939	0.005721	0.037082	0.013207	0.142333	0.021926	0.012316	0.052066	0.007517	0.006036	0.059913	0.024163	0.002055	0.013563	0.004655	0.019124	0.003409	0.012495	0.004413	0.001886	0.003170	0.001151	0.002480	0.003892	0.001517	0.001483	0.008025	0.001582	0.003463	0.008624	0.003516	0.002021	0.007559	0.012295	0.003208	0.003583	0.000900
