TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.026848	0.003941	0.007396	0.017250	0.010627	0.005927	0.009485	0.006414	0.061826	0.006922	0.012539	0.014066	0.001579	0.002989	0.001474	0.006337	0.010811	0.000887	0.000480	0.000526	0.001713	0.003215	0.000419	0.001295	0.001944	0.001073	0.002877	0.004635	0.005100	0.000306	0.000999	0.000733	0.001156	0.002577	0.000354	0.000779	0.000745	0.000978	0.000540	0.000498	0.000826	0.000424	0.000634	0.004154	0.000096	0.000540	0.000804	0.000148	0.000275	0.000422	0.000341	0.000519	0.001685	0.748871
Although	0.012622	0.026621	0.092686	0.015606	0.017860	0.010954	0.037501	0.013443	0.045395	0.043655	0.068147	0.023956	0.020160	0.015191	0.004152	0.048946	0.011930	0.010547	0.018281	0.013838	0.019796	0.006838	0.059741	0.018225	0.009342	0.002858	0.025504	0.003943	0.004094	0.002620	0.003935	0.002086	0.002081	0.002586	0.012416	0.131945	0.063330	0.008708	0.003979	0.002319	0.002522	0.001925	0.005131	0.003705	0.000982	0.000747	0.001430	0.000609	0.002322	0.000605	0.000772	0.000680	0.010981	0.029752
other	0.017754	0.010089	0.093217	0.038041	0.098102	0.018619	0.139673	0.053637	0.053110	0.038802	0.050546	0.035014	0.012742	0.022404	0.008636	0.032038	0.011401	0.010104	0.003587	0.006641	0.008825	0.004243	0.006669	0.006859	0.003801	0.000797	0.013345	0.005422	0.001584	0.000193	0.002484	0.000365	0.001564	0.001011	0.001741	0.007907	0.001712	0.000432	0.000576	0.000146	0.000572	0.000692	0.004440	0.000515	0.001000	0.000371	0.000741	0.000152	0.000485	0.000115	0.000300	0.000235	0.003018	0.163532
types	0.050599	0.007318	0.008715	0.007099	0.038871	0.040621	0.046600	0.047764	0.033030	0.023228	0.015436	0.012255	0.006047	0.008503	0.002687	0.007372	0.004493	0.007181	0.002767	0.003154	0.016603	0.005010	0.006480	0.002629	0.002062	0.000362	0.003599	0.001229	0.000917	0.000182	0.001402	0.000373	0.001158	0.000961	0.000839	0.003702	0.000717	0.000297	0.000800	0.000122	0.000277	0.000308	0.002094	0.000263	0.001044	0.000257	0.000243	0.000146	0.000194	0.000424	0.000611	0.000523	0.002913	0.567519
of	0.028570	0.009002	0.021367	0.026340	0.056064	0.032035	0.086371	0.190193	0.088228	0.022162	0.025610	0.050151	0.006535	0.004734	0.002169	0.007569	0.003560	0.002193	0.003892	0.002329	0.006624	0.005830	0.002385	0.002702	0.002110	0.002157	0.004586	0.002665	0.000934	0.000257	0.000960	0.000491	0.000767	0.000292	0.000181	0.000571	0.000189	0.000211	0.000222	0.000048	0.000124	0.000180	0.001134	0.000279	0.000334	0.000232	0.000312	0.000059	0.000229	0.000292	0.000229	0.000203	0.000975	0.292161
for	0.005690	0.000778	0.001250	0.009314	0.003140	0.003120	0.026833	0.012751	0.104384	0.002115	0.004184	0.028493	0.006751	0.000997	0.001023	0.006695	0.033387	0.000567	0.000275	0.000813	0.000760	0.002881	0.000580	0.002139	0.001735	0.001052	0.004810	0.003366	0.004993	0.000243	0.000785	0.000673	0.001745	0.001853	0.000263	0.000581	0.000250	0.000104	0.000025	0.000016	0.000176	0.000146	0.000347	0.001811	0.000112	0.000237	0.000394	0.000020	0.000419	0.000107	0.000279	0.000144	0.000454	0.713944
##feit	0.048385	0.001929	0.001205	0.002269	0.001041	0.004808	0.006764	0.004270	0.014071	0.003020	0.005910	0.009545	0.003895	0.010459	0.000645	0.005578	0.012012	0.002643	0.002231	0.001085	0.000779	0.002162	0.001582	0.003962	0.003255	0.004463	0.003471	0.002970	0.003987	0.002203	0.000623	0.000847	0.001057	0.000420	0.000719	0.001561	0.000211	0.000101	0.000051	0.000100	0.000180	0.000062	0.000164	0.001937	0.000247	0.000231	0.000373	0.000042	0.000903	0.000675	0.000221	0.000199	0.002827	0.815654
##ed	0.021918	0.002567	0.000783	0.003793	0.002160	0.007845	0.021749	0.012881	0.021966	0.006975	0.008102	0.024078	0.006083	0.005179	0.001549	0.006068	0.005964	0.002051	0.001616	0.000464	0.001594	0.003045	0.000589	0.001806	0.001433	0.000782	0.002742	0.002738	0.001906	0.000763	0.001082	0.000745	0.000692	0.000382	0.000289	0.001376	0.000213	0.000106	0.000040	0.000037	0.000073	0.000110	0.000350	0.001079	0.000550	0.000212	0.000241	0.000054	0.000653	0.000388	0.000306	0.000194	0.001933	0.807708
property	0.027866	0.004521	0.001276	0.006597	0.001649	0.005644	0.014390	0.007703	0.009875	0.003067	0.010073	0.072793	0.006349	0.020489	0.006169	0.024225	0.025227	0.007113	0.003567	0.001756	0.004302	0.017518	0.002235	0.008091	0.005737	0.003089	0.008362	0.006043	0.003419	0.000761	0.008344	0.001446	0.002341	0.005363	0.001283	0.003107	0.000572	0.000170	0.000338	0.000176	0.000274	0.000154	0.000838	0.001315	0.001437	0.000914	0.001740	0.000473	0.006746	0.000864	0.001029	0.000855	0.004178	0.636141
must	0.011906	0.011217	0.005145	0.006631	0.002657	0.004149	0.018029	0.006434	0.024158	0.011998	0.027909	0.057779	0.047643	0.101219	0.036206	0.107725	0.057371	0.024507	0.031657	0.008381	0.014046	0.016512	0.011325	0.012822	0.004819	0.003166	0.029650	0.007800	0.011553	0.005802	0.007969	0.002912	0.003644	0.003683	0.012360	0.033187	0.005843	0.000728	0.000317	0.000152	0.000262	0.000285	0.001106	0.005075	0.000812	0.000962	0.001221	0.000416	0.004088	0.001041	0.000588	0.000515	0.005433	0.187188
