TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.011236	0.005495	0.003313	0.036205	0.006490	0.017375	0.033141	0.019216	0.042811	0.005472	0.004603	0.026689	0.002123	0.006846	0.003837	0.013037	0.013590	0.008984	0.006201	0.002976	0.002088	0.039615	0.005263	0.003227	0.013648	0.003916	0.004001	0.005138	0.009607	0.003099	0.015982	0.003366	0.007931	0.026335	0.003327	0.012303	0.039052	0.024566	0.003841	0.001929	0.035699	0.003452	0.010112	0.075635	0.003378	0.016635	0.012724	0.008819	0.013849	0.010455	0.033787	0.028937	0.066490	0.182155
Although	0.078540	0.028951	0.018061	0.006633	0.013308	0.008604	0.008196	0.015250	0.005125	0.040060	0.024810	0.022291	0.007800	0.004505	0.003582	0.010652	0.002582	0.007866	0.011742	0.001806	0.002212	0.008083	0.003160	0.011436	0.002442	0.001745	0.003527	0.001242	0.000549	0.003264	0.001809	0.001045	0.000809	0.001684	0.002801	0.042744	0.027713	0.015800	0.019113	0.003641	0.006702	0.006202	0.007159	0.004526	0.009264	0.004903	0.002432	0.004828	0.002131	0.002075	0.001276	0.006900	0.027575	0.438841
other	0.074440	0.059816	0.075734	0.024665	0.019532	0.006190	0.002370	0.009120	0.009029	0.046640	0.013290	0.013761	0.008330	0.003186	0.003926	0.003240	0.001299	0.008557	0.011996	0.002703	0.001259	0.006933	0.005758	0.008775	0.001521	0.002746	0.012435	0.001314	0.001521	0.004432	0.001052	0.000432	0.000958	0.001720	0.003995	0.024457	0.032566	0.010692	0.013638	0.002658	0.006894	0.004795	0.014293	0.009598	0.005565	0.002639	0.001368	0.001326	0.001817	0.001168	0.000201	0.002613	0.019769	0.391264
types	0.072840	0.002963	0.009131	0.022456	0.016452	0.001603	0.000893	0.003106	0.005575	0.013269	0.006245	0.003296	0.001508	0.000196	0.000445	0.000394	0.001701	0.001129	0.000518	0.000398	0.000211	0.001253	0.001216	0.001232	0.000743	0.000574	0.002453	0.000731	0.000749	0.000600	0.000386	0.000237	0.000197	0.000555	0.001382	0.006832	0.004321	0.004653	0.005333	0.000614	0.003913	0.002727	0.005476	0.002746	0.002652	0.000933	0.000216	0.000382	0.000118	0.000368	0.000168	0.000745	0.016447	0.764723
of	0.109678	0.003988	0.013909	0.048178	0.103332	0.019039	0.008035	0.025717	0.029529	0.017713	0.016538	0.020422	0.002633	0.000435	0.002260	0.004452	0.006070	0.002233	0.001190	0.000553	0.000442	0.007167	0.000565	0.000941	0.001541	0.001940	0.001674	0.001289	0.000733	0.000177	0.000402	0.000954	0.000680	0.000839	0.000282	0.007194	0.008966	0.007585	0.007420	0.000524	0.009497	0.020022	0.025186	0.014775	0.006652	0.005065	0.000548	0.001318	0.000979	0.001591	0.000463	0.001773	0.011415	0.413496
for	0.054569	0.003810	0.003238	0.002404	0.018331	0.069408	0.026575	0.029309	0.004093	0.017090	0.013165	0.020015	0.001672	0.001274	0.003495	0.004415	0.001721	0.002428	0.003691	0.002010	0.000891	0.014644	0.004317	0.001997	0.002955	0.000747	0.000483	0.000339	0.000091	0.000759	0.002682	0.000942	0.000206	0.000495	0.003101	0.016803	0.004482	0.004026	0.004013	0.001202	0.005432	0.008160	0.014795	0.005253	0.001784	0.006799	0.000997	0.003210	0.003139	0.017971	0.001752	0.004349	0.021383	0.557091
##feit	0.027518	0.002454	0.002012	0.001140	0.013359	0.008955	0.009981	0.007542	0.005068	0.008848	0.015346	0.014464	0.004286	0.001923	0.006150	0.007454	0.002208	0.002832	0.002324	0.001378	0.000473	0.004474	0.001733	0.001568	0.002344	0.000976	0.000718	0.000209	0.000096	0.001008	0.002491	0.001231	0.000052	0.000735	0.001348	0.009448	0.004280	0.005108	0.003270	0.000967	0.001920	0.017145	0.008200	0.000937	0.004630	0.006197	0.000458	0.002407	0.001001	0.001306	0.002374	0.004654	0.018636	0.742361
##ed	0.082572	0.004586	0.005360	0.004972	0.023722	0.008498	0.013429	0.042149	0.013975	0.029759	0.026204	0.046945	0.003138	0.000948	0.003655	0.004059	0.002777	0.001773	0.002820	0.000422	0.000784	0.007610	0.001527	0.003956	0.007260	0.002190	0.002388	0.000298	0.000092	0.000636	0.001879	0.001287	0.000242	0.000854	0.001641	0.011052	0.004435	0.004213	0.005219	0.000592	0.004964	0.014738	0.017064	0.007422	0.003010	0.005968	0.000301	0.002382	0.000359	0.001839	0.000574	0.010281	0.037430	0.513749
property	0.107506	0.001335	0.001296	0.008328	0.017275	0.006579	0.013887	0.015330	0.064960	0.025822	0.030846	0.065511	0.005972	0.001597	0.005232	0.003245	0.007108	0.004950	0.004783	0.000581	0.000674	0.012462	0.001456	0.002650	0.002868	0.002237	0.001089	0.000590	0.001105	0.003238	0.001813	0.000814	0.000113	0.001722	0.000456	0.004978	0.003564	0.003255	0.001691	0.000106	0.003773	0.011756	0.005596	0.006980	0.003796	0.004135	0.000593	0.001007	0.000234	0.000439	0.000674	0.002094	0.020341	0.499559
must	0.061922	0.008616	0.004756	0.011099	0.036379	0.020625	0.016548	0.029854	0.007946	0.084386	0.074812	0.010595	0.010063	0.004130	0.012083	0.005756	0.002714	0.005212	0.004770	0.001029	0.002365	0.002782	0.001336	0.006718	0.001028	0.001082	0.000397	0.001017	0.001067	0.001897	0.000667	0.000524	0.000235	0.000442	0.000822	0.020627	0.016929	0.011062	0.003408	0.000870	0.005111	0.008145	0.003635	0.004399	0.007906	0.006684	0.001486	0.002731	0.000930	0.000761	0.000289	0.002653	0.013053	0.453649
be	0.054449	0.003646	0.002971	0.004099	0.020753	0.025106	0.022925	0.019904	0.008821	0.148189	0.215414	0.041196	0.004683	0.002015	0.008587	0.011877	0.002414	0.001860	0.002273	0.000947	0.000892	0.005892	0.001673	0.006050	0.001578	0.001613	0.000347	0.000538	0.000218	0.001026	0.003013	0.001188	0.000156	0.000991	0.000526	0.018966	0.012783	0.015062	0.003005	0.000304	0.002510	0.005978	0.005655	0.003770	0.004036	0.015419	0.000961	0.001479	0.000500	0.000768	0.000312	0.001429	0.013755	0.265482
sold	0.037302	0.001317	0.000938	0.002948	0.008262	0.008921	0.019364	0.010013	0.041904	0.016224	0.040979	0.070350	0.005831	0.001413	0.005339	0.005326	0.003778	0.002117	0.002713	0.000856	0.000370	0.005109	0.001235	0.001760	0.003377	0.004630	0.000798	0.000402	0.000402	0.002114	0.003309	0.002101	0.000087	0.002533	0.000572	0.003733	0.001508	0.000940	0.000762	0.000078	0.001276	0.004893	0.002344	0.004198	0.001001	0.001238	0.000115	0.000302	0.000107	0.000564	0.000376	0.001430	0.017146	0.643297
in	0.035583	0.011458	0.009237	0.005855	0.008093	0.005597	0.011097	0.004659	0.011033	0.034116	0.026588	0.039066	0.120600	0.030452	0.026426	0.021985	0.001943	0.006242	0.006654	0.002809	0.001948	0.003187	0.005580	0.008271	0.003553	0.004351	0.001028	0.000308	0.000509	0.003495	0.002254	0.003320	0.000393	0.001942	0.002486	0.027822	0.017085	0.006377	0.007452	0.003988	0.010516	0.031356	0.004585	0.014037	0.011636	0.003039	0.001534	0.001582	0.000970	0.001046	0.001669	0.003429	0.055205	0.334550
order	0.025142	0.006124	0.006107	0.004368	0.006995	0.001749	0.004522	0.001604	0.005202	0.053686	0.098766	0.025675	0.044860	0.100241	0.034223	0.009315	0.002285	0.003261	0.003982	0.003411	0.001292	0.001688	0.003451	0.011010	0.003555	0.001724	0.001271	0.000216	0.000131	0.002891	0.006332	0.001537	0.000168	0.002952	0.001000	0.011068	0.008982	0.011988	0.005208	0.001085	0.003457	0.005461	0.006701	0.005188	0.014211	0.009196	0.000771	0.001532	0.000175	0.000108	0.001139	0.003199	0.058854	0.370942
to	0.037497	0.012478	0.008841	0.010479	0.014377	0.008842	0.013989	0.009197	0.027527	0.040752	0.048262	0.054783	0.054617	0.040422	0.040592	0.016709	0.004604	0.009546	0.012741	0.004847	0.002004	0.006622	0.006034	0.009197	0.003795	0.008861	0.001702	0.000593	0.000453	0.002743	0.002097	0.001797	0.000265	0.001348	0.001854	0.021088	0.010282	0.004128	0.004179	0.001334	0.007849	0.017627	0.012228	0.015400	0.011211	0.004222	0.000581	0.001477	0.000744	0.001526	0.001011	0.003877	0.037058	0.323711
recognize	0.017314	0.003483	0.004696	0.013888	0.010710	0.011172	0.029971	0.014188	0.019475	0.038297	0.062429	0.063612	0.011400	0.026478	0.028075	0.011460	0.008258	0.004554	0.010022	0.005422	0.001519	0.008556	0.002986	0.006054	0.008519	0.006453	0.003041	0.000709	0.000183	0.002763	0.004018	0.001429	0.000234	0.001409	0.000944	0.006967	0.003278	0.002534	0.008449	0.002027	0.006737	0.007499	0.010749	0.005220	0.003451	0.004640	0.000708	0.001988	0.000742	0.000887	0.001111	0.003174	0.016532	0.469584
revenue	0.032588	0.001647	0.001611	0.004977	0.007524	0.004781	0.008696	0.006099	0.016567	0.009341	0.016188	0.050754	0.005025	0.003266	0.007217	0.009410	0.006360	0.002485	0.003342	0.001669	0.000676	0.012653	0.003917	0.003964	0.005583	0.002999	0.000960	0.000547	0.000326	0.002498	0.005885	0.001633	0.000159	0.003009	0.001047	0.006650	0.002829	0.002401	0.001357	0.000293	0.005721	0.008120	0.006713	0.013255	0.000879	0.005853	0.001029	0.001415	0.000407	0.000504	0.000565	0.004488	0.011857	0.680262
,	0.043490	0.023094	0.016048	0.004632	0.005197	0.012306	0.020296	0.010845	0.020748	0.038039	0.039458	0.103760	0.020393	0.008791	0.015217	0.019288	0.014434	0.162461	0.073692	0.005543	0.007321	0.014638	0.006976	0.013606	0.003610	0.002783	0.005144	0.001431	0.001345	0.018014	0.001194	0.000495	0.000655	0.000959	0.002211	0.025250	0.004311	0.002624	0.003209	0.001348	0.004524	0.002301	0.004358	0.002334	0.001821	0.003161	0.002097	0.003588	0.003515	0.004270	0.001708	0.007964	0.021404	0.162099
or	0.043342	0.029930	0.023837	0.005143	0.004811	0.009412	0.016082	0.010719	0.009839	0.045216	0.030842	0.078421	0.018248	0.014217	0.023432	0.022646	0.013555	0.017514	0.181408	0.008552	0.006424	0.023839	0.001676	0.021447	0.015075	0.009856	0.013078	0.002051	0.000901	0.034338	0.004454	0.001901	0.004236	0.002130	0.000801	0.005983	0.006481	0.002378	0.005339	0.002644	0.001236	0.002143	0.003913	0.003215	0.002323	0.003867	0.005333	0.005111	0.003445	0.006456	0.004018	0.005062	0.014927	0.166756
construct	0.030966	0.007527	0.005245	0.003476	0.005803	0.008843	0.015046	0.011625	0.003666	0.016054	0.009375	0.040891	0.005922	0.006557	0.010647	0.008731	0.006421	0.029647	0.023634	0.003550	0.002669	0.026548	0.006631	0.006052	0.023279	0.004844	0.001388	0.000571	0.000170	0.005354	0.003315	0.008770	0.000802	0.000470	0.002754	0.018846	0.002906	0.005055	0.010515	0.008658	0.004778	0.010597	0.017621	0.002519	0.003361	0.015408	0.002274	0.006289	0.002126	0.015687	0.005400	0.005822	0.039389	0.475507
##ively	0.030383	0.009283	0.002231	0.002029	0.008794	0.003840	0.004838	0.007804	0.004926	0.024436	0.018263	0.019641	0.004315	0.003315	0.013230	0.007694	0.001807	0.036917	0.026178	0.002625	0.001576	0.008167	0.003833	0.005484	0.002791	0.003797	0.000973	0.000627	0.000228	0.006404	0.001173	0.002358	0.000177	0.000369	0.004195	0.022737	0.001927	0.002005	0.002529	0.000977	0.001569	0.008148	0.009357	0.001351	0.001418	0.003438	0.000692	0.001882	0.000656	0.002048	0.000552	0.002754	0.022628	0.638635
sold	0.032138	0.001321	0.000759	0.002119	0.004446	0.003497	0.011765	0.005279	0.033721	0.007742	0.018571	0.038281	0.003091	0.000791	0.005975	0.007360	0.005846	0.006727	0.007652	0.001756	0.001019	0.009954	0.002436	0.003230	0.006610	0.007916	0.001715	0.000435	0.000454	0.004565	0.003142	0.003981	0.000097	0.002106	0.000905	0.005210	0.000956	0.000667	0.000618	0.000069	0.000990	0.006421	0.003008	0.002762	0.000832	0.001691	0.000096	0.000455	0.000123	0.000726	0.000406	0.002518	0.014330	0.710721
(	0.034541	0.030093	0.002461	0.001235	0.002682	0.003231	0.004646	0.004074	0.006949	0.020182	0.013451	0.021910	0.022422	0.004312	0.007504	0.008875	0.005910	0.177581	0.125332	0.004220	0.010810	0.006565	0.044042	0.011090	0.002886	0.001895	0.001536	0.001982	0.001264	0.033284	0.000892	0.000527	0.000750	0.000647	0.052310	0.056147	0.004777	0.002396	0.002774	0.002670	0.003063	0.005926	0.002948	0.001372	0.003256	0.002275	0.001859	0.002331	0.004672	0.001898	0.001268	0.005825	0.044359	0.178093
if	0.052308	0.016472	0.007908	0.003863	0.004513	0.003730	0.003670	0.004765	0.009373	0.043684	0.041995	0.022431	0.028730	0.012087	0.012299	0.008750	0.004124	0.008849	0.054123	0.006146	0.003532	0.019364	0.005979	0.037733	0.007349	0.006158	0.004090	0.000768	0.000804	0.022923	0.005045	0.002425	0.000934	0.001897	0.003334	0.032066	0.020360	0.010396	0.008579	0.002847	0.003801	0.009996	0.006524	0.004178	0.005895	0.010301	0.002200	0.002458	0.001146	0.001513	0.000271	0.001277	0.015697	0.388342
transferred	0.030943	0.002697	0.002476	0.002470	0.002663	0.001677	0.006137	0.002602	0.012786	0.013329	0.025223	0.048765	0.008197	0.003311	0.005974	0.027908	0.004774	0.010529	0.008402	0.007189	0.002444	0.014135	0.004127	0.016017	0.024201	0.056465	0.017424	0.002478	0.001649	0.007256	0.008309	0.005699	0.000232	0.003198	0.001241	0.013391	0.002112	0.002051	0.004339	0.002806	0.003749	0.028690	0.007868	0.004143	0.003810	0.004690	0.000431	0.001175	0.000592	0.000918	0.000640	0.001816	0.021322	0.502529
to	0.053765	0.001525	0.005501	0.002171	0.002953	0.001031	0.002680	0.001237	0.039877	0.004761	0.006700	0.026305	0.005940	0.001732	0.005006	0.007328	0.003827	0.005135	0.008518	0.003755	0.000976	0.012897	0.001666	0.007194	0.010362	0.156620	0.047958	0.003962	0.007701	0.004420	0.002935	0.003523	0.000557	0.002773	0.001429	0.005089	0.001073	0.000372	0.000705	0.000248	0.000698	0.006543	0.003662	0.005981	0.000655	0.000799	0.000170	0.000271	0.000209	0.000446	0.000201	0.000693	0.015584	0.501882
another	0.026723	0.004989	0.013255	0.002865	0.001932	0.000451	0.000710	0.001334	0.009457	0.009083	0.002042	0.005497	0.001828	0.001175	0.001915	0.001589	0.001073	0.009009	0.012069	0.004370	0.000926	0.003213	0.011156	0.008893	0.003294	0.023564	0.087769	0.007475	0.005643	0.015161	0.000887	0.000453	0.000675	0.000791	0.003776	0.007304	0.001080	0.000598	0.001911	0.000699	0.000738	0.002176	0.006706	0.003353	0.001636	0.000865	0.000667	0.000369	0.000440	0.000545	0.000205	0.000736	0.021970	0.662960
Federal	0.114468	0.002512	0.006643	0.002046	0.004520	0.000531	0.001165	0.002348	0.003798	0.002190	0.000564	0.002001	0.000717	0.000426	0.001040	0.000674	0.004094	0.004759	0.002089	0.000768	0.000523	0.001447	0.001095	0.002711	0.003415	0.006531	0.021023	0.046697	0.014783	0.004237	0.000588	0.000868	0.001312	0.001720	0.001029	0.003186	0.000453	0.000636	0.000405	0.000122	0.000558	0.002141	0.002905	0.003602	0.001100	0.002271	0.000435	0.001001	0.000324	0.001184	0.000523	0.002423	0.017550	0.693853
agency	0.039658	0.001193	0.001132	0.001392	0.000739	0.000142	0.000295	0.000361	0.002946	0.002099	0.000803	0.001383	0.000780	0.000179	0.000616	0.000400	0.000838	0.003808	0.002358	0.000517	0.000281	0.000617	0.002854	0.003703	0.001277	0.003804	0.015433	0.024313	0.011141	0.012039	0.000312	0.000154	0.000203	0.000498	0.003256	0.006118	0.000178	0.000279	0.000186	0.000054	0.000412	0.000756	0.001186	0.001785	0.000366	0.000490	0.000068	0.000161	0.000058	0.000459	0.000119	0.001836	0.026376	0.817588
or	0.020411	0.013004	0.005504	0.000677	0.000463	0.000564	0.003119	0.000941	0.002906	0.013000	0.004262	0.011601	0.005113	0.003013	0.006878	0.006500	0.003340	0.025762	0.126007	0.006258	0.007919	0.005179	0.006406	0.042386	0.033155	0.047380	0.042307	0.013851	0.008568	0.219062	0.006036	0.002658	0.007688	0.002563	0.002835	0.006672	0.001342	0.001024	0.002361	0.003385	0.000905	0.003147	0.001254	0.002214	0.001881	0.002870	0.001562	0.002395	0.001610	0.002292	0.000922	0.002157	0.018902	0.235789
placed	0.016905	0.001395	0.001552	0.000538	0.000859	0.000676	0.003522	0.001223	0.007361	0.014437	0.012977	0.016874	0.002748	0.002936	0.008665	0.004778	0.002648	0.018244	0.012173	0.003576	0.001143	0.007824	0.006393	0.013299	0.016589	0.030344	0.005195	0.000346	0.000298	0.017386	0.009748	0.010179	0.000354	0.002281	0.003856	0.019412	0.001250	0.001576	0.001663	0.000706	0.001088	0.009013	0.005159	0.001530	0.001237	0.004486	0.000185	0.000339	0.000092	0.000487	0.000193	0.000601	0.022524	0.669135
into	0.021003	0.001071	0.001915	0.001655	0.002205	0.000995	0.004301	0.001009	0.013992	0.007049	0.006463	0.009109	0.014871	0.004720	0.016313	0.006076	0.005596	0.006522	0.011850	0.005690	0.001974	0.004938	0.004953	0.009021	0.034017	0.046322	0.004979	0.001345	0.001639	0.016927	0.010512	0.034721	0.002171	0.005120	0.002522	0.010430	0.001828	0.002156	0.003092	0.001031	0.001694	0.027962	0.005723	0.006625	0.002090	0.004578	0.000447	0.000700	0.000251	0.001655	0.000720	0.001353	0.016879	0.587223
internal	0.045001	0.003649	0.004067	0.000282	0.001348	0.000514	0.000731	0.000620	0.001308	0.001823	0.000432	0.003273	0.002639	0.001809	0.002901	0.001435	0.001053	0.008675	0.014701	0.003621	0.001106	0.004084	0.008895	0.008426	0.005268	0.008296	0.011496	0.002819	0.001182	0.025996	0.003173	0.002158	0.001245	0.001528	0.007702	0.008088	0.001065	0.000830	0.002105	0.002310	0.000584	0.007083	0.004054	0.001158	0.001346	0.000942	0.000840	0.000713	0.000728	0.001948	0.001540	0.001867	0.018766	0.750780
use	0.017661	0.000354	0.000411	0.000357	0.001477	0.000897	0.001679	0.000776	0.013370	0.000670	0.001142	0.007604	0.003239	0.001174	0.004454	0.001746	0.002302	0.005861	0.007932	0.002725	0.000332	0.003102	0.005847	0.002005	0.005510	0.005917	0.002029	0.000862	0.000450	0.015731	0.003487	0.003585	0.000715	0.002949	0.004546	0.004381	0.000400	0.000174	0.000251	0.000078	0.000695	0.004700	0.002041	0.004818	0.000340	0.000363	0.000048	0.000100	0.000076	0.000562	0.000443	0.003057	0.019016	0.825556
