TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.029835	0.015829	0.016101	0.005392	0.002411	0.001387	0.000578	0.002144	0.002676	0.001193	0.000681	0.000879	0.000117	0.000088	0.000067	0.001130	0.000272	0.000092	0.000102	0.000040	0.000145	0.000155	0.000046	0.000289	0.000161	0.000055	0.000156	0.000102	0.000094	0.000018	0.000019	0.000037	0.000027	0.000038	0.000060	0.000542	0.000430	0.000506	0.000088	0.000063	0.000259	0.000131	0.000143	0.000319	0.000026	0.000095	0.000068	0.000014	0.000089	0.000099	0.000043	0.000231	0.001060	0.913380
Although	0.050895	0.030278	0.274086	0.095212	0.004474	0.002581	0.006132	0.001918	0.006997	0.021832	0.005503	0.007613	0.001637	0.001467	0.002593	0.013069	0.002031	0.002315	0.005001	0.001157	0.002470	0.002144	0.000645	0.000920	0.000652	0.000135	0.000208	0.000110	0.000120	0.000050	0.000353	0.000237	0.000060	0.000154	0.001185	0.005336	0.001705	0.002189	0.000593	0.000292	0.000345	0.000073	0.000098	0.000173	0.000016	0.000150	0.000063	0.000092	0.000047	0.000050	0.000083	0.000132	0.001347	0.440978
other	0.054353	0.062381	0.049003	0.068845	0.288716	0.039504	0.050375	0.033452	0.056263	0.082788	0.015272	0.009547	0.004611	0.003956	0.001078	0.013261	0.005420	0.013728	0.005808	0.003189	0.005315	0.005781	0.002022	0.001246	0.000532	0.000094	0.000043	0.000020	0.000107	0.000031	0.000195	0.000478	0.000160	0.000319	0.000531	0.011011	0.000999	0.001464	0.000351	0.000119	0.000365	0.000211	0.000034	0.000065	0.000041	0.000114	0.000021	0.000068	0.000274	0.000273	0.000152	0.000043	0.001908	0.104067
types	0.045548	0.007331	0.090721	0.024308	0.120046	0.028410	0.152851	0.062017	0.064439	0.018008	0.002526	0.002283	0.000348	0.001413	0.000221	0.003813	0.002753	0.006657	0.003419	0.002822	0.033535	0.008062	0.003753	0.000446	0.000419	0.000142	0.000237	0.000018	0.000056	0.000020	0.000012	0.000100	0.000199	0.000532	0.000610	0.006675	0.000550	0.001779	0.002153	0.000105	0.000323	0.000149	0.000249	0.000031	0.000009	0.000072	0.000015	0.000048	0.000286	0.000286	0.000141	0.000239	0.006068	0.292746
of	0.057511	0.005979	0.005495	0.008924	0.007083	0.010738	0.221079	0.468659	0.042910	0.007387	0.003715	0.001413	0.000053	0.000127	0.000018	0.001209	0.000156	0.000784	0.000655	0.000255	0.029011	0.003547	0.000811	0.001033	0.000416	0.000064	0.000151	0.000016	0.000013	0.000002	0.000006	0.000009	0.000031	0.000035	0.000058	0.001134	0.000088	0.000341	0.000231	0.000091	0.000080	0.000026	0.000023	0.000002	0.000001	0.000008	0.000001	0.000008	0.000031	0.000025	0.000013	0.000109	0.001275	0.117162
for	0.035832	0.004782	0.001123	0.006492	0.020394	0.005862	0.029526	0.503118	0.059389	0.021252	0.004198	0.000904	0.000528	0.000059	0.000048	0.000564	0.000267	0.000983	0.002437	0.000216	0.002208	0.000251	0.006399	0.001453	0.000136	0.000200	0.000154	0.000029	0.000012	0.000013	0.000004	0.000004	0.000004	0.000017	0.000165	0.001280	0.000328	0.000990	0.000109	0.000029	0.000151	0.000207	0.000072	0.000031	0.000022	0.000021	0.000004	0.000005	0.000042	0.000076	0.000028	0.000355	0.002683	0.284543
##feit	0.036961	0.001327	0.000339	0.006758	0.003255	0.003422	0.001902	0.076552	0.075118	0.064799	0.007611	0.002817	0.008045	0.000567	0.000044	0.000127	0.000177	0.001239	0.000253	0.000069	0.000162	0.000247	0.005250	0.002764	0.000222	0.001139	0.000731	0.000213	0.000160	0.000020	0.000005	0.000013	0.000002	0.000016	0.000062	0.000976	0.000102	0.000236	0.000089	0.000051	0.000349	0.000773	0.000424	0.000379	0.000098	0.000006	0.000002	0.000001	0.000003	0.000008	0.000007	0.000027	0.006399	0.687681
##ed	0.050690	0.003153	0.002193	0.002157	0.001677	0.002850	0.018864	0.015962	0.522076	0.034557	0.012649	0.008457	0.001831	0.000486	0.000035	0.000352	0.000724	0.000230	0.000331	0.000042	0.000356	0.000582	0.002246	0.001313	0.000766	0.000900	0.001304	0.000284	0.000797	0.000031	0.000006	0.000006	0.000019	0.000041	0.000042	0.000811	0.000089	0.000214	0.000149	0.000129	0.000585	0.000265	0.000244	0.000391	0.000039	0.000022	0.000010	0.000006	0.000009	0.000005	0.000008	0.000065	0.002524	0.306427
property	0.061527	0.007214	0.000874	0.004227	0.006210	0.004699	0.005781	0.027622	0.026303	0.104653	0.035406	0.031161	0.020342	0.012610	0.002066	0.001384	0.000769	0.005999	0.002800	0.000075	0.000257	0.002351	0.006777	0.006170	0.002516	0.005962	0.000655	0.000232	0.001048	0.001657	0.000163	0.000096	0.000016	0.000092	0.000383	0.002051	0.000214	0.000781	0.000266	0.000087	0.001290	0.003702	0.000675	0.001428	0.001808	0.000491	0.000105	0.000065	0.000028	0.000140	0.000077	0.000247	0.011666	0.584786
must	0.073875	0.006627	0.003088	0.003237	0.000522	0.000381	0.007146	0.006475	0.019390	0.032663	0.196600	0.090471	0.033160	0.077087	0.003301	0.014303	0.000865	0.000999	0.002703	0.000058	0.000065	0.000537	0.000694	0.002695	0.002905	0.000831	0.000723	0.000224	0.000578	0.000213	0.000418	0.000055	0.000016	0.000015	0.000080	0.001306	0.000076	0.000120	0.000038	0.000062	0.000271	0.000344	0.000099	0.000601	0.000157	0.000342	0.000142	0.000026	0.000023	0.000017	0.000007	0.000040	0.001054	0.412272
