TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.321136	0.008627	0.003165	0.017689	0.006574	0.002660	0.032545	0.009311	0.043362	0.039514	0.002388	0.013200	0.001988	0.003833	0.003628	0.036953	0.025274	0.005934	0.002645	0.002051	0.004077	0.014318	0.002940	0.005480	0.007365	0.003141	0.005755	0.027435	0.019441	0.001472	0.001745	0.002302	0.004253	0.011224	0.001454	0.005690	0.002011	0.003547	0.002150	0.002195	0.003934	0.001159	0.003719	0.017846	0.000941	0.001844	0.005038	0.001479	0.001134	0.002578	0.006919	0.002571	0.017402	0.222965
Although	0.009227	0.035309	0.015981	0.047439	0.005671	0.008295	0.014939	0.014161	0.012276	0.152553	0.018389	0.004953	0.023652	0.034430	0.013567	0.052496	0.005814	0.006590	0.043360	0.004489	0.016582	0.004810	0.023165	0.071373	0.005252	0.005813	0.013595	0.035028	0.006641	0.027728	0.006466	0.009745	0.005612	0.004894	0.009249	0.003579	0.014624	0.008741	0.002011	0.033542	0.027968	0.002638	0.004551	0.015923	0.002865	0.004003	0.006431	0.004740	0.002673	0.000642	0.002786	0.002649	0.007076	0.083012
other	0.018397	0.101296	0.013076	0.066538	0.011744	0.018142	0.008780	0.017806	0.009428	0.096554	0.024745	0.002597	0.017139	0.017317	0.013003	0.025447	0.009746	0.007754	0.018329	0.013690	0.010504	0.002535	0.021825	0.030668	0.001681	0.005243	0.010558	0.009085	0.005817	0.009936	0.007262	0.008499	0.024652	0.008664	0.005092	0.006362	0.011819	0.006847	0.003212	0.052573	0.013725	0.002541	0.004167	0.010174	0.002428	0.003081	0.011945	0.003622	0.004319	0.000364	0.003511	0.001261	0.007709	0.176790
types	0.048561	0.046938	0.011299	0.007930	0.006080	0.007210	0.074145	0.014024	0.034005	0.058195	0.015378	0.010249	0.012655	0.025869	0.011071	0.035619	0.058030	0.011934	0.018784	0.008183	0.007851	0.011122	0.022553	0.025791	0.013108	0.007614	0.019142	0.023784	0.014034	0.008148	0.009375	0.004626	0.007562	0.006048	0.005316	0.009403	0.010576	0.005946	0.004489	0.039447	0.046202	0.002945	0.009552	0.063237	0.003338	0.003814	0.005659	0.001939	0.003117	0.001236	0.006168	0.005434	0.015607	0.059657
of	0.027943	0.055223	0.019228	0.020093	0.016443	0.017414	0.046714	0.022712	0.068299	0.034142	0.014014	0.016432	0.013806	0.023982	0.012859	0.069908	0.055998	0.009004	0.021470	0.006768	0.008848	0.012275	0.011126	0.015930	0.007341	0.012604	0.013746	0.020726	0.011123	0.007392	0.007690	0.012558	0.015121	0.008037	0.004711	0.007151	0.003600	0.003303	0.002475	0.008065	0.003091	0.002110	0.004250	0.007999	0.001625	0.002442	0.005517	0.001936	0.002396	0.003653	0.002977	0.003513	0.011147	0.181072
for	0.016421	0.034355	0.008373	0.010591	0.011071	0.012996	0.054273	0.018804	0.026306	0.011190	0.006372	0.018667	0.008694	0.018848	0.008111	0.061498	0.048892	0.004712	0.011295	0.012160	0.013083	0.015552	0.005227	0.006239	0.008767	0.014691	0.010659	0.013218	0.012626	0.006209	0.009762	0.036565	0.020869	0.014128	0.007265	0.004147	0.003480	0.002367	0.001501	0.007721	0.003397	0.002506	0.001697	0.006450	0.001797	0.001977	0.006760	0.004823	0.006913	0.002668	0.009671	0.002105	0.008197	0.323331
##feit	0.050960	0.004846	0.001869	0.004781	0.021719	0.017540	0.011970	0.012498	0.078374	0.007059	0.005556	0.092537	0.004924	0.005304	0.004606	0.027470	0.106825	0.007519	0.003912	0.032534	0.010957	0.068388	0.003812	0.001958	0.014622	0.019862	0.013098	0.002770	0.015238	0.001242	0.005187	0.012506	0.015007	0.014534	0.002580	0.012229	0.001155	0.004299	0.005598	0.007163	0.001693	0.005513	0.002869	0.003185	0.001459	0.003701	0.005905	0.003864	0.005342	0.001817	0.009816	0.001985	0.014685	0.203161
##ed	0.067829	0.006162	0.002484	0.008026	0.018630	0.025886	0.081586	0.019157	0.078579	0.022682	0.005852	0.038892	0.006184	0.005487	0.010290	0.017396	0.053647	0.010843	0.009559	0.004884	0.009115	0.038503	0.005304	0.007107	0.013701	0.023496	0.017816	0.024116	0.017007	0.003777	0.006730	0.012855	0.012349	0.016406	0.003226	0.012271	0.001446	0.003729	0.004230	0.003270	0.001770	0.003111	0.004501	0.015438	0.001701	0.003252	0.003525	0.002405	0.005746	0.003609	0.009358	0.007506	0.020042	0.187521
property	0.134576	0.002965	0.001086	0.013012	0.023181	0.003147	0.036416	0.028772	0.010270	0.019150	0.002474	0.014768	0.003191	0.005518	0.006772	0.021003	0.157898	0.015300	0.020157	0.002191	0.005987	0.018572	0.005243	0.003139	0.013132	0.014423	0.014554	0.008776	0.069668	0.005493	0.007323	0.004789	0.014652	0.032947	0.000897	0.012699	0.001426	0.006239	0.005064	0.005386	0.003703	0.003210	0.006883	0.042372	0.001210	0.003878	0.004705	0.001723	0.004259	0.001624	0.034237	0.003637	0.024642	0.091659
must	0.037237	0.142322	0.024534	0.036816	0.015410	0.004737	0.055176	0.010898	0.039305	0.022509	0.022909	0.023857	0.007090	0.051063	0.008444	0.028146	0.043813	0.013024	0.017296	0.006532	0.006530	0.015873	0.035121	0.012277	0.004988	0.002977	0.006533	0.005082	0.009224	0.008198	0.007125	0.005780	0.018656	0.010500	0.004214	0.013249	0.018125	0.011908	0.004730	0.067555	0.006128	0.004227	0.012343	0.024372	0.002855	0.003235	0.012318	0.001357	0.002492	0.002911	0.003501	0.001582	0.013131	0.029785
be	0.019345	0.074731	0.019963	0.031658	0.010692	0.011027	0.019016	0.011962	0.015213	0.047145	0.015403	0.011528	0.009658	0.033512	0.009656	0.040346	0.044255	0.006372	0.017506	0.022787	0.015836	0.011710	0.019257	0.024038	0.004932	0.004978	0.014081	0.009341	0.013667	0.010021	0.013695	0.015166	0.020467	0.013395	0.005218	0.004657	0.012759	0.008922	0.002983	0.072548	0.015567	0.003493	0.005520	0.018665	0.003070	0.004948	0.020503	0.004191	0.006013	0.001653	0.005792	0.001962	0.008518	0.130660
sold	0.056118	0.006951	0.006045	0.007140	0.021965	0.019081	0.041398	0.026931	0.039295	0.011799	0.012697	0.001253	0.007719	0.003735	0.018115	0.074531	0.105484	0.010425	0.028037	0.023774	0.010643	0.001549	0.003808	0.003156	0.016724	0.035028	0.022364	0.004513	0.059127	0.007120	0.008868	0.009485	0.025644	0.056351	0.003580	0.010339	0.002686	0.002332	0.003685	0.014329	0.009730	0.002854	0.002968	0.009345	0.001153	0.002737	0.006340	0.003113	0.004561	0.001332	0.018145	0.001267	0.013063	0.099569
in	0.008484	0.059797	0.018997	0.024116	0.013381	0.018348	0.027718	0.012498	0.011794	0.038640	0.021882	0.019241	0.013295	0.039117	0.011330	0.063544	0.013950	0.005494	0.020581	0.020980	0.026248	0.016476	0.008039	0.019510	0.007301	0.008668	0.013861	0.004643	0.003914	0.008719	0.013543	0.033524	0.019497	0.010521	0.004010	0.003453	0.008914	0.005906	0.001955	0.036008	0.008962	0.003205	0.002984	0.005810	0.003024	0.004414	0.018158	0.004855	0.011595	0.001350	0.003818	0.002072	0.007916	0.203942
order	0.034148	0.033707	0.008585	0.056904	0.011176	0.008100	0.036671	0.016151	0.032404	0.108881	0.020581	0.041369	0.011677	0.003025	0.009889	0.060314	0.023706	0.006607	0.029664	0.010587	0.015932	0.043810	0.026779	0.032084	0.006378	0.006401	0.017401	0.007494	0.006002	0.013593	0.002399	0.012257	0.006440	0.022716	0.002538	0.005133	0.003160	0.007436	0.003139	0.021323	0.004238	0.002211	0.003876	0.008402	0.001681	0.003058	0.008645	0.004658	0.002622	0.001206	0.002671	0.001923	0.013567	0.114681
to	0.012851	0.064172	0.015995	0.016436	0.011611	0.012318	0.015829	0.012264	0.024879	0.022988	0.017381	0.027223	0.015512	0.032658	0.006370	0.065814	0.039008	0.005853	0.031567	0.017643	0.019983	0.027888	0.020679	0.032513	0.012404	0.007436	0.015697	0.019816	0.011644	0.016155	0.018179	0.024777	0.037083	0.010268	0.007655	0.004012	0.006584	0.010330	0.002475	0.031801	0.004625	0.003264	0.004171	0.009901	0.002805	0.007207	0.017482	0.005169	0.005861	0.001858	0.003466	0.003284	0.007296	0.117859
recognize	0.064818	0.006490	0.002522	0.005734	0.014811	0.017534	0.038193	0.018594	0.035758	0.009870	0.005983	0.145692	0.009068	0.013545	0.015082	0.002242	0.056809	0.016038	0.008111	0.016565	0.006709	0.122713	0.015214	0.010379	0.019014	0.017419	0.015971	0.006483	0.011813	0.004898	0.015311	0.007294	0.009880	0.012521	0.003046	0.014404	0.004403	0.006034	0.007953	0.026949	0.004507	0.006148	0.009235	0.008540	0.002636	0.006104	0.004667	0.002600	0.005212	0.001804	0.002519	0.003993	0.022451	0.077717
revenue	0.025166	0.002560	0.002567	0.005589	0.011148	0.009736	0.065824	0.018797	0.062410	0.010264	0.002767	0.210825	0.004871	0.004296	0.007555	0.027913	0.008636	0.008826	0.010708	0.001804	0.010952	0.233775	0.002094	0.004933	0.021572	0.013047	0.013874	0.008347	0.011235	0.003254	0.003920	0.012674	0.006878	0.040068	0.000697	0.006297	0.000615	0.001664	0.000959	0.002789	0.000873	0.001757	0.004203	0.012275	0.000905	0.001624	0.001943	0.002845	0.001927	0.003173	0.000789	0.003539	0.009682	0.052558
,	0.019007	0.037561	0.012909	0.028921	0.005251	0.003944	0.006958	0.008239	0.015664	0.098682	0.011032	0.006812	0.011022	0.026200	0.007777	0.064724	0.014133	0.008351	0.028937	0.014641	0.029575	0.014622	0.027530	0.069423	0.006645	0.006824	0.024739	0.033424	0.016633	0.012175	0.011180	0.012346	0.015815	0.009041	0.005981	0.004622	0.010231	0.010381	0.001802	0.012209	0.023714	0.001952	0.002885	0.015163	0.002416	0.005132	0.012265	0.002964	0.003065	0.001495	0.003431	0.003191	0.009666	0.146698
or	0.012917	0.112506	0.015038	0.043182	0.006639	0.005438	0.006217	0.008802	0.010597	0.027301	0.005148	0.011459	0.007219	0.032037	0.006768	0.026402	0.019101	0.007873	0.012823	0.036080	0.026453	0.029930	0.034107	0.061848	0.012920	0.008559	0.030433	0.016876	0.015422	0.006411	0.016397	0.019852	0.034104	0.008670	0.007276	0.005639	0.023542	0.014667	0.002275	0.058712	0.018740	0.003611	0.009535	0.011685	0.006736	0.006491	0.016950	0.004968	0.006247	0.001128	0.004368	0.002438	0.008580	0.050880
construct	0.012747	0.007903	0.004411	0.006939	0.003322	0.005284	0.021732	0.009561	0.016295	0.012398	0.006240	0.028485	0.004870	0.010627	0.006222	0.103103	0.038957	0.008177	0.017936	0.002500	0.011877	0.076058	0.005250	0.015493	0.076256	0.020873	0.008323	0.053669	0.048376	0.012195	0.021745	0.026242	0.022765	0.018789	0.003867	0.004353	0.004658	0.002057	0.000919	0.006294	0.003876	0.001717	0.001059	0.028003	0.001405	0.002508	0.021306	0.002937	0.003808	0.004204	0.002225	0.004534	0.007903	0.146750
##ively	0.035558	0.013301	0.004270	0.013702	0.008918	0.009343	0.016203	0.012639	0.024413	0.016114	0.005058	0.024234	0.007254	0.018053	0.009434	0.030073	0.051554	0.013698	0.022606	0.006635	0.004371	0.058022	0.020642	0.019766	0.026498	0.013401	0.016275	0.076179	0.036402	0.016938	0.028296	0.013878	0.024604	0.025519	0.006215	0.012473	0.006485	0.003636	0.004692	0.014611	0.003414	0.003005	0.005414	0.019040	0.002019	0.001494	0.011266	0.001833	0.004613	0.002964	0.002960	0.006178	0.017396	0.146440
sold	0.042687	0.004284	0.003393	0.003899	0.012943	0.010493	0.022479	0.016712	0.022187	0.005799	0.004927	0.001223	0.004829	0.002345	0.012097	0.048200	0.078146	0.013217	0.040825	0.027176	0.012918	0.003525	0.007729	0.006669	0.037935	0.065888	0.039366	0.008310	0.103920	0.015967	0.017769	0.015596	0.031413	0.061303	0.005817	0.015421	0.003275	0.003661	0.004572	0.010704	0.008593	0.003325	0.003569	0.007528	0.001384	0.003904	0.008144	0.003338	0.004006	0.001964	0.014441	0.002266	0.013929	0.073990
(	0.008232	0.025105	0.011928	0.014828	0.003176	0.002143	0.001959	0.002149	0.004275	0.061542	0.015445	0.001451	0.007929	0.024704	0.005954	0.034969	0.003861	0.011495	0.064577	0.009787	0.020454	0.006189	0.081828	0.081923	0.005621	0.009307	0.016932	0.012611	0.007031	0.061472	0.032764	0.011226	0.013029	0.011069	0.011264	0.012253	0.030384	0.030604	0.005264	0.027667	0.055007	0.004547	0.004218	0.016804	0.004028	0.009656	0.016944	0.003259	0.004140	0.001836	0.002449	0.005427	0.008499	0.058788
if	0.014946	0.049323	0.010715	0.032626	0.005314	0.002219	0.008528	0.005732	0.006722	0.021246	0.005012	0.004661	0.003494	0.019564	0.006212	0.034558	0.009118	0.003338	0.017835	0.011376	0.027934	0.017002	0.014724	0.015609	0.010806	0.009196	0.027646	0.006736	0.014727	0.020294	0.020796	0.046532	0.037639	0.051936	0.004350	0.004272	0.028826	0.012672	0.003959	0.127445	0.038037	0.005276	0.013194	0.026102	0.005339	0.004404	0.037588	0.010295	0.016856	0.001345	0.009814	0.002568	0.009944	0.043600
transferred	0.058427	0.003484	0.002096	0.003923	0.011187	0.008839	0.016061	0.015084	0.073469	0.009029	0.005019	0.035034	0.004764	0.004981	0.007725	0.016165	0.049422	0.004791	0.017631	0.017036	0.011342	0.075765	0.014173	0.011687	0.003658	0.018228	0.031104	0.012054	0.077352	0.010974	0.010816	0.036696	0.020552	0.058526	0.002485	0.011611	0.003167	0.006080	0.006213	0.012545	0.002732	0.004665	0.004923	0.008484	0.001782	0.004093	0.004083	0.003508	0.005918	0.003329	0.010365	0.003667	0.013556	0.129700
to	0.017403	0.003078	0.001869	0.002376	0.007088	0.006603	0.017471	0.015781	0.019639	0.002605	0.003306	0.030345	0.007311	0.007855	0.005072	0.019801	0.052205	0.004978	0.016117	0.007206	0.004975	0.072017	0.009383	0.007384	0.036262	0.017241	0.025695	0.019950	0.047860	0.015556	0.049031	0.077265	0.041829	0.033242	0.009377	0.008104	0.004437	0.004703	0.003878	0.015685	0.002928	0.005452	0.003080	0.016831	0.002102	0.002969	0.004033	0.001345	0.002238	0.000884	0.004123	0.002180	0.009370	0.190481
another	0.033163	0.018435	0.004065	0.016289	0.012147	0.011058	0.009221	0.022086	0.013435	0.009594	0.003367	0.013377	0.006590	0.006501	0.008361	0.017812	0.013100	0.006449	0.014202	0.007568	0.007998	0.039558	0.014515	0.013358	0.010560	0.017180	0.017690	0.049880	0.072533	0.016231	0.032535	0.041096	0.056338	0.040151	0.007025	0.008888	0.008293	0.005264	0.004599	0.024027	0.004776	0.003170	0.006901	0.008903	0.002788	0.003551	0.004599	0.005960	0.004894	0.000842	0.002394	0.003466	0.010945	0.202270
Federal	0.056697	0.010751	0.004918	0.017905	0.018770	0.008537	0.020617	0.017877	0.022852	0.006084	0.000871	0.040193	0.002414	0.003121	0.004784	0.004703	0.029481	0.015838	0.015351	0.008451	0.017080	0.081951	0.019700	0.010397	0.009061	0.020039	0.086456	0.006981	0.012819	0.014649	0.008802	0.018375	0.044594	0.056477	0.005870	0.030870	0.002139	0.015964	0.011697	0.007392	0.002005	0.005097	0.018758	0.008372	0.003008	0.007431	0.004472	0.004323	0.004388	0.002939	0.025662	0.006247	0.022339	0.093434
