TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.284793	0.057257	0.063012	0.010148	0.018687	0.033774	0.076193	0.009913	0.017363	0.021756	0.011113	0.013793	0.068440	0.313759
A	0.203814	0.087577	0.043174	0.009214	0.021039	0.004867	0.015282	0.005084	0.011303	0.004716	0.006533	0.002873	0.193980	0.390545
person	0.137281	0.247350	0.096335	0.033508	0.031575	0.037933	0.023380	0.011575	0.010748	0.039429	0.008424	0.020746	0.092397	0.209317
on	0.127616	0.083053	0.232749	0.040319	0.057838	0.009585	0.030413	0.036284	0.016396	0.004141	0.005385	0.003430	0.126996	0.225795
a	0.131245	0.141460	0.081971	0.028700	0.049208	0.009107	0.020505	0.012912	0.024956	0.010369	0.009309	0.004890	0.208812	0.266556
horse	0.045187	0.117764	0.101302	0.045628	0.070035	0.024174	0.047416	0.017304	0.034152	0.068829	0.008532	0.016826	0.160171	0.242679
jumps	0.129502	0.122137	0.045562	0.012125	0.029562	0.016348	0.055950	0.015614	0.033119	0.260580	0.005995	0.002704	0.135563	0.135242
over	0.099672	0.039031	0.118367	0.054922	0.061439	0.013127	0.122591	0.044504	0.056258	0.020444	0.012449	0.002559	0.117639	0.236998
a	0.129346	0.065936	0.044554	0.019765	0.035664	0.007913	0.028226	0.054354	0.060979	0.021190	0.025882	0.010727	0.232768	0.262698
broken	0.108147	0.041495	0.033823	0.014663	0.037131	0.010848	0.068650	0.093993	0.065820	0.009953	0.051485	0.005328	0.199519	0.259147
down	0.059288	0.023011	0.075529	0.032578	0.027229	0.062982	0.040984	0.112544	0.062498	0.125915	0.028075	0.022434	0.130166	0.196766
airplane	0.026445	0.028342	0.021160	0.040539	0.047130	0.012578	0.039855	0.139444	0.082251	0.269375	0.071389	0.012125	0.098576	0.110791
.	0.188783	0.036952	0.011851	0.003231	0.007577	0.009318	0.017707	0.010149	0.013763	0.013164	0.022233	0.024923	0.145734	0.494614
[SEP]	0.018045	0.002993	0.001993	0.005196	0.002195	0.003093	0.004681	0.006780	0.003577	0.003039	0.004272	0.005612	0.016063	0.922460
