TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.039318	0.187273	0.066764	0.015040	0.034746	0.019977	0.185576	0.011851	0.035479	0.013708	0.002803	0.006310	0.132166	0.248989
A	0.001158	0.002376	0.001480	0.000613	0.001285	0.002927	0.003725	0.000509	0.000661	0.000999	0.000352	0.001162	0.003355	0.979396
person	0.004807	0.007253	0.035937	0.011409	0.011517	0.043847	0.028174	0.009422	0.005275	0.022487	0.012296	0.021148	0.006994	0.779434
on	0.002983	0.002974	0.012142	0.002866	0.004842	0.013075	0.016244	0.003102	0.003301	0.003274	0.003313	0.063222	0.003818	0.864844
a	0.003788	0.009437	0.030226	0.006383	0.009868	0.022880	0.018916	0.002950	0.003139	0.003889	0.002108	0.015434	0.007189	0.863793
horse	0.008007	0.012698	0.036722	0.023466	0.014097	0.099502	0.039096	0.015557	0.009405	0.019323	0.022194	0.097154	0.017340	0.585440
jumps	0.006534	0.008566	0.010022	0.004833	0.009090	0.012555	0.045043	0.009314	0.008713	0.006861	0.004779	0.009413	0.008029	0.856246
over	0.003206	0.005821	0.030215	0.003722	0.008505	0.020411	0.035330	0.009748	0.014118	0.006162	0.007219	0.043562	0.006328	0.805654
a	0.002340	0.004651	0.019725	0.004494	0.007462	0.017054	0.021354	0.008027	0.005950	0.004972	0.002626	0.016983	0.003841	0.880522
broken	0.000614	0.001329	0.011749	0.002907	0.002675	0.015975	0.006528	0.012209	0.006668	0.012880	0.009617	0.036142	0.001292	0.879415
down	0.000801	0.000966	0.007417	0.001143	0.001272	0.009843	0.003656	0.005013	0.002523	0.006861	0.005326	0.027946	0.001411	0.925824
airplane	0.001063	0.001006	0.008247	0.004755	0.002270	0.036296	0.006879	0.015056	0.003806	0.061760	0.049258	0.044436	0.001608	0.763558
.	0.002262	0.002486	0.003593	0.001350	0.001680	0.006432	0.010598	0.002794	0.001419	0.003617	0.001228	0.005255	0.004225	0.953062
[SEP]	0.059454	0.092116	0.091070	0.064490	0.072405	0.079062	0.085365	0.049372	0.074880	0.054397	0.041903	0.051849	0.070335	0.113301
