TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.694979	0.040730	0.036368	0.049726	0.017681	0.023246	0.055186	0.018236	0.009683	0.020406	0.010686	0.003634	0.009891	0.009547
A	0.006019	0.000558	0.992445	0.000593	0.000003	0.000008	0.000371	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000001
person	0.025533	0.000146	0.001768	0.971363	0.000252	0.000015	0.000907	0.000015	0.000001	0.000000	0.000000	0.000000	0.000001	0.000000
on	0.001041	0.000065	0.000011	0.002170	0.996355	0.000327	0.000007	0.000005	0.000018	0.000000	0.000000	0.000000	0.000000	0.000000
a	0.003181	0.000848	0.000276	0.000068	0.001177	0.993750	0.000219	0.000005	0.000005	0.000468	0.000000	0.000000	0.000000	0.000000
horse	0.064287	0.000067	0.001359	0.000025	0.000030	0.002629	0.931538	0.000010	0.000010	0.000025	0.000006	0.000000	0.000000	0.000015
jumps	0.024448	0.000000	0.002376	0.003682	0.001695	0.000166	0.010989	0.955996	0.000495	0.000031	0.000021	0.000101	0.000000	0.000000
over	0.000215	0.000000	0.000000	0.000001	0.000261	0.000062	0.000008	0.000165	0.998991	0.000291	0.000002	0.000001	0.000004	0.000000
a	0.002881	0.000000	0.000002	0.000000	0.000001	0.001136	0.000036	0.000043	0.001222	0.994340	0.000147	0.000011	0.000016	0.000165
broken	0.003557	0.000003	0.000026	0.000000	0.000000	0.000041	0.003334	0.000157	0.000442	0.003305	0.988689	0.000223	0.000052	0.000173
down	0.002731	0.000000	0.000002	0.000002	0.000000	0.000000	0.000018	0.003304	0.001719	0.000510	0.007233	0.983175	0.000936	0.000369
airplane	0.101632	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.001816	0.000271	0.000064	0.003655	0.889181	0.003377
.	0.011044	0.000054	0.000000	0.000000	0.000000	0.000002	0.000001	0.000000	0.000003	0.000215	0.000091	0.000026	0.000286	0.988278
[SEP]	0.999933	0.000000	0.000029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000004	0.000002	0.000004	0.000028
