TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.753858	0.030955	0.011105	0.012418	0.023509	0.009634	0.010330	0.007577	0.016068	0.016891	0.004181	0.005478	0.035113	0.062883
A	0.970970	0.014124	0.004367	0.004189	0.004572	0.000196	0.000003	0.000008	0.000015	0.000039	0.000001	0.000008	0.001189	0.000320
person	0.062375	0.907293	0.009234	0.004135	0.000593	0.009183	0.001409	0.000001	0.000005	0.000243	0.000013	0.000002	0.000029	0.005485
on	0.043640	0.003108	0.945042	0.003406	0.000270	0.000233	0.004268	0.000016	0.000000	0.000003	0.000004	0.000001	0.000000	0.000010
a	0.041351	0.000181	0.010875	0.934752	0.004123	0.000492	0.004501	0.003677	0.000022	0.000001	0.000005	0.000008	0.000011	0.000002
horse	0.624658	0.000428	0.001018	0.067190	0.252126	0.036696	0.005728	0.007765	0.001947	0.000906	0.000003	0.000027	0.001360	0.000148
jumps	0.671695	0.006238	0.002038	0.000328	0.020781	0.257604	0.012136	0.002856	0.004863	0.020773	0.000122	0.000001	0.000265	0.000301
over	0.051780	0.000027	0.001156	0.000242	0.000175	0.001075	0.928287	0.007497	0.001331	0.005438	0.002918	0.000060	0.000001	0.000015
a	0.023193	0.000000	0.000064	0.000435	0.000121	0.000191	0.004331	0.958384	0.007968	0.001438	0.001722	0.001914	0.000238	0.000001
broken	0.069248	0.000042	0.000001	0.000005	0.002830	0.000797	0.000148	0.004316	0.915056	0.003235	0.000430	0.000554	0.003211	0.000128
down	0.078355	0.000046	0.000012	0.000000	0.000008	0.000277	0.000656	0.000216	0.009365	0.899664	0.006987	0.000750	0.001363	0.002301
airplane	0.168844	0.000007	0.000035	0.000009	0.000000	0.000010	0.001991	0.000478	0.000427	0.015094	0.778847	0.017977	0.006726	0.009554
.	0.546174	0.000016	0.000105	0.000009	0.000043	0.000002	0.000123	0.002420	0.004206	0.003388	0.007053	0.399900	0.030655	0.005905
[SEP]	0.978680	0.000163	0.000001	0.000002	0.000009	0.000003	0.000000	0.000003	0.000262	0.000374	0.000022	0.000101	0.017530	0.002851
