TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.149552	0.063422	0.076806	0.012242	0.038557	0.023473	0.134186	0.030575	0.057025	0.031030	0.008397	0.023964	0.116295	0.234478
A	0.003533	0.006606	0.005706	0.001699	0.001652	0.004762	0.011029	0.002307	0.002872	0.003654	0.000971	0.003038	0.007457	0.944712
person	0.014230	0.012964	0.042735	0.004623	0.006381	0.020830	0.015285	0.004479	0.005234	0.004293	0.002342	0.030895	0.008820	0.826890
on	0.002979	0.005052	0.020325	0.007123	0.002501	0.021556	0.028518	0.006216	0.003252	0.005200	0.002198	0.020860	0.004045	0.870176
a	0.001798	0.002224	0.007557	0.001796	0.001330	0.008902	0.007590	0.001685	0.001614	0.004560	0.001060	0.008167	0.002725	0.948993
horse	0.006886	0.009308	0.026396	0.006397	0.005893	0.030143	0.019855	0.013832	0.006256	0.022493	0.009721	0.059349	0.004231	0.779238
jumps	0.004228	0.003956	0.013645	0.004374	0.002506	0.017645	0.021281	0.012803	0.003947	0.006070	0.003730	0.018275	0.003301	0.884239
over	0.001185	0.001521	0.006085	0.001124	0.000370	0.003355	0.003685	0.003842	0.001362	0.002708	0.001966	0.014130	0.001243	0.957423
a	0.000389	0.000337	0.001395	0.000325	0.000154	0.001776	0.001154	0.001043	0.000719	0.002161	0.000706	0.003678	0.000793	0.985369
broken	0.001013	0.000678	0.002828	0.000516	0.000407	0.003519	0.002136	0.004451	0.002574	0.027410	0.008483	0.019468	0.001074	0.925444
down	0.000358	0.000127	0.000732	0.000095	0.000071	0.000709	0.000306	0.000621	0.000440	0.007142	0.002089	0.003385	0.000187	0.983738
airplane	0.000319	0.000180	0.001962	0.000249	0.000146	0.001606	0.001040	0.002942	0.001020	0.012889	0.003019	0.008091	0.000282	0.966255
.	0.020443	0.038639	0.019600	0.004397	0.006978	0.012595	0.041407	0.006013	0.010252	0.006051	0.001536	0.007410	0.029543	0.795138
[SEP]	0.068632	0.067536	0.073915	0.062293	0.058502	0.067146	0.075540	0.075758	0.065219	0.063713	0.053465	0.064250	0.086994	0.117036
