TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.175995	0.013436	0.021699	0.008271	0.010437	0.031372	0.023470	0.006412	0.004217	0.060942	0.027146	0.053841	0.018565	0.544195
A	0.016723	0.033747	0.106628	0.049578	0.037914	0.064652	0.022933	0.038317	0.035633	0.203620	0.019380	0.084203	0.058219	0.228453
person	0.007808	0.022071	0.032031	0.024858	0.016460	0.079396	0.021478	0.012236	0.012457	0.084336	0.036882	0.031341	0.033347	0.585298
on	0.008298	0.012238	0.018130	0.004345	0.009816	0.046068	0.013201	0.007047	0.008036	0.035538	0.020685	0.023150	0.031490	0.761958
a	0.009778	0.018466	0.075391	0.027487	0.014669	0.064335	0.017396	0.025878	0.013975	0.124416	0.020384	0.085175	0.034706	0.467945
horse	0.016632	0.029556	0.028851	0.017727	0.018162	0.061770	0.024796	0.018250	0.012463	0.072084	0.066670	0.086203	0.052958	0.493878
jumps	0.008760	0.018352	0.020309	0.014415	0.025562	0.050626	0.010242	0.020888	0.027886	0.103806	0.029073	0.038175	0.052008	0.579898
over	0.008020	0.015099	0.011704	0.006549	0.014299	0.012644	0.011186	0.007396	0.013839	0.021532	0.013726	0.011391	0.033742	0.818873
a	0.004924	0.013359	0.065423	0.020537	0.010012	0.036293	0.021724	0.022972	0.011113	0.061178	0.021605	0.060720	0.029469	0.620671
broken	0.002689	0.007693	0.026758	0.005857	0.006289	0.078012	0.044241	0.013305	0.004484	0.068910	0.033834	0.029994	0.017910	0.660022
down	0.011977	0.033980	0.051903	0.030412	0.023548	0.109174	0.039458	0.014843	0.010942	0.079545	0.087761	0.168607	0.038861	0.298991
airplane	0.008933	0.013051	0.021726	0.014750	0.008684	0.044309	0.015291	0.006625	0.005396	0.045756	0.062988	0.067979	0.024259	0.660253
.	0.009225	0.028363	0.120537	0.027973	0.023484	0.041716	0.069182	0.035822	0.019573	0.148369	0.036752	0.084442	0.050517	0.304044
[SEP]	0.006010	0.001526	0.001286	0.000814	0.001393	0.002145	0.000854	0.000822	0.001775	0.002254	0.000608	0.000890	0.014382	0.965239
