TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.019772	0.014091	0.011564	0.001713	0.006554	0.011640	0.028265	0.009261	0.007946	0.003483	0.004236	0.014832	0.062591	0.804051
A	0.010011	0.034700	0.005745	0.005551	0.000814	0.000333	0.003439	0.003099	0.000238	0.000133	0.000419	0.000552	0.046935	0.888031
person	0.030422	0.291491	0.033739	0.051999	0.010970	0.005068	0.035491	0.005576	0.000525	0.000220	0.000225	0.001446	0.051605	0.481223
on	0.014078	0.245084	0.343833	0.158906	0.031162	0.002855	0.036853	0.000540	0.000036	0.000020	0.000010	0.000111	0.012611	0.153900
a	0.069502	0.076736	0.176966	0.258569	0.056122	0.016277	0.013179	0.002698	0.000229	0.000118	0.000082	0.000601	0.027219	0.301701
horse	0.022838	0.016732	0.051358	0.559895	0.286470	0.016181	0.004175	0.001670	0.000306	0.000100	0.000079	0.000241	0.001921	0.038034
jumps	0.050000	0.038996	0.009773	0.008240	0.101285	0.050655	0.057803	0.006161	0.002766	0.000272	0.000343	0.000568	0.038532	0.634607
over	0.015056	0.004186	0.003891	0.005520	0.008834	0.010208	0.458632	0.057277	0.011142	0.002261	0.000165	0.000499	0.004628	0.417700
a	0.030397	0.002875	0.006892	0.003161	0.003864	0.013652	0.113822	0.496644	0.056979	0.021929	0.001060	0.008813	0.014145	0.225767
broken	0.032193	0.002254	0.009932	0.002350	0.001952	0.014720	0.123127	0.408995	0.111148	0.034584	0.011903	0.028081	0.019751	0.199009
down	0.035841	0.000551	0.003836	0.001121	0.000503	0.015356	0.028128	0.300152	0.214395	0.081199	0.032410	0.063412	0.021745	0.201350
airplane	0.018089	0.000507	0.001342	0.000256	0.000840	0.002378	0.010835	0.611916	0.104908	0.070056	0.037821	0.037507	0.020271	0.083273
.	0.030383	0.011657	0.004200	0.000728	0.002464	0.002588	0.021546	0.062360	0.040377	0.004801	0.030862	0.033458	0.141892	0.612684
[SEP]	0.003561	0.034136	0.001349	0.003457	0.013208	0.000389	0.004909	0.005228	0.010574	0.000492	0.001363	0.000517	0.020643	0.900174
