TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.011772	0.021712	0.012315	0.002025	0.002585	0.010291	0.027613	0.003287	0.009128	0.033706	0.011589	0.005651	0.022801	0.825525
A	0.003330	0.002350	0.000740	0.000143	0.000045	0.000087	0.006952	0.001493	0.000244	0.000155	0.000341	0.000270	0.004828	0.979021
person	0.001404	0.007260	0.003324	0.000509	0.000126	0.000108	0.005002	0.004042	0.000278	0.000156	0.000094	0.000083	0.003942	0.973672
on	0.016159	0.529453	0.223304	0.029175	0.012444	0.000520	0.016877	0.001162	0.000505	0.000046	0.000052	0.000072	0.062972	0.107259
a	0.025561	0.118047	0.055839	0.086098	0.014586	0.002416	0.026732	0.005664	0.001155	0.000154	0.000079	0.000255	0.052312	0.611101
horse	0.003220	0.000997	0.005296	0.062729	0.002659	0.005457	0.002526	0.000573	0.000033	0.000069	0.000010	0.000134	0.004732	0.911563
jumps	0.002674	0.013093	0.000465	0.000202	0.001331	0.000668	0.008054	0.001447	0.001662	0.000011	0.000046	0.000290	0.014001	0.956057
over	0.006012	0.005277	0.001029	0.001087	0.003123	0.008061	0.268405	0.045992	0.010474	0.000248	0.000259	0.000349	0.019009	0.630674
a	0.019550	0.004696	0.002522	0.001107	0.000812	0.001638	0.068918	0.117311	0.011850	0.001147	0.001530	0.003740	0.018371	0.746807
broken	0.002780	0.001906	0.001873	0.000205	0.000476	0.001173	0.002678	0.010560	0.015108	0.007045	0.006205	0.011162	0.008914	0.929914
down	0.001453	0.000584	0.001569	0.000076	0.000088	0.000781	0.006203	0.011087	0.009134	0.080145	0.004869	0.017142	0.003848	0.863022
airplane	0.003224	0.000150	0.000184	0.001327	0.000155	0.000785	0.011034	0.035862	0.003743	0.000984	0.001578	0.008458	0.006458	0.926059
.	0.002677	0.001818	0.001175	0.000251	0.000278	0.001899	0.009039	0.004820	0.001659	0.000826	0.001869	0.002412	0.003534	0.967743
[SEP]	0.003400	0.003548	0.002245	0.001116	0.000959	0.000843	0.003660	0.001981	0.002521	0.001713	0.001595	0.002593	0.002623	0.971203
