TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.579159	0.013965	0.040841	0.004845	0.007268	0.015527	0.010734	0.003725	0.008369	0.027425	0.004826	0.032987	0.015719	0.234610
A	0.256679	0.069502	0.101480	0.036446	0.030575	0.021575	0.050422	0.015021	0.032626	0.031959	0.010973	0.022757	0.090368	0.229616
person	0.157322	0.144910	0.104737	0.022578	0.036224	0.017742	0.051348	0.038957	0.035402	0.110643	0.021351	0.056413	0.089958	0.112417
on	0.274339	0.070194	0.051439	0.036737	0.045282	0.031802	0.020634	0.026190	0.050918	0.056609	0.015964	0.042637	0.047388	0.229868
a	0.265240	0.072976	0.076259	0.039460	0.033175	0.016737	0.048192	0.018454	0.039842	0.026176	0.009935	0.026026	0.081264	0.246264
horse	0.082658	0.023039	0.137991	0.032787	0.016819	0.039927	0.072110	0.037307	0.017611	0.076574	0.041233	0.350314	0.020440	0.051190
jumps	0.152374	0.142621	0.046672	0.046445	0.054355	0.007322	0.003270	0.016791	0.081779	0.015545	0.007113	0.011952	0.126696	0.287064
over	0.230610	0.075573	0.029182	0.038108	0.066452	0.006175	0.005443	0.009414	0.102510	0.022822	0.005415	0.010690	0.045034	0.352570
a	0.302062	0.053028	0.050535	0.047853	0.033393	0.011410	0.038934	0.026457	0.038613	0.017721	0.012247	0.018546	0.085480	0.263721
broken	0.317632	0.039719	0.104319	0.013355	0.029756	0.006044	0.029984	0.012067	0.046685	0.072512	0.010786	0.015421	0.061316	0.240405
down	0.341674	0.038155	0.016077	0.053085	0.045735	0.003597	0.006952	0.013754	0.094207	0.016509	0.003738	0.009234	0.044996	0.312288
airplane	0.276160	0.043749	0.142371	0.015920	0.020156	0.068085	0.061897	0.016171	0.019005	0.095579	0.017653	0.076750	0.020983	0.125520
.	0.252788	0.053302	0.021388	0.025171	0.036580	0.007280	0.005724	0.010242	0.042300	0.006304	0.008177	0.007339	0.156844	0.366560
[SEP]	0.345566	0.008870	0.002189	0.022464	0.018165	0.000992	0.000621	0.005959	0.026479	0.000331	0.002733	0.000519	0.109865	0.455248
