TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.012473	0.037169	0.029146	0.008265	0.020249	0.007621	0.025413	0.008477	0.014044	0.004273	0.018053	0.016165	0.240128	0.558524
A	0.106812	0.121094	0.082174	0.031038	0.083570	0.012853	0.051078	0.011562	0.041031	0.028840	0.008865	0.008676	0.231054	0.181352
person	0.122154	0.093176	0.010495	0.012360	0.082078	0.054444	0.020445	0.007870	0.063851	0.030559	0.007845	0.034819	0.189317	0.270587
on	0.100618	0.058221	0.027665	0.004843	0.037609	0.026367	0.034747	0.032948	0.023359	0.034710	0.024371	0.030445	0.042340	0.521757
a	0.128054	0.111646	0.071804	0.030504	0.108497	0.018757	0.028829	0.021275	0.066112	0.073426	0.012986	0.024352	0.090709	0.213050
horse	0.118496	0.023690	0.073562	0.004298	0.019589	0.003876	0.010089	0.003536	0.011544	0.063134	0.042929	0.079849	0.043476	0.501931
jumps	0.049796	0.039444	0.009705	0.004663	0.022397	0.016045	0.002107	0.010645	0.022335	0.043235	0.007634	0.024582	0.117275	0.630137
over	0.097262	0.033300	0.028976	0.018403	0.025637	0.015927	0.047846	0.008935	0.017678	0.055970	0.016748	0.034332	0.035229	0.563755
a	0.074701	0.071585	0.045637	0.015149	0.075334	0.013581	0.033769	0.027572	0.033842	0.095437	0.012046	0.021919	0.078500	0.400927
broken	0.025524	0.017480	0.014150	0.015636	0.018938	0.040983	0.179990	0.019735	0.013644	0.004260	0.046744	0.046755	0.042403	0.513757
down	0.097067	0.015216	0.007460	0.011176	0.019420	0.093294	0.016368	0.010036	0.011744	0.071162	0.001721	0.022744	0.042116	0.580474
airplane	0.061102	0.032676	0.020391	0.009446	0.036649	0.079972	0.015732	0.008898	0.022558	0.028190	0.005721	0.002609	0.113084	0.562971
.	0.016919	0.081499	0.018972	0.008091	0.022479	0.009091	0.043425	0.010262	0.012206	0.012557	0.009923	0.013445	0.360331	0.380801
[SEP]	0.009270	0.007011	0.000820	0.005351	0.002657	0.001886	0.002483	0.009358	0.001473	0.002917	0.003067	0.001309	0.018294	0.934104
