TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.015761	0.130316	0.069525	0.007940	0.032882	0.011129	0.129661	0.007168	0.054981	0.055984	0.008277	0.005665	0.221095	0.249616
A	0.001920	0.481499	0.045586	0.013045	0.068884	0.001839	0.019309	0.011517	0.074985	0.006057	0.001219	0.000926	0.034779	0.238434
person	0.002021	0.014895	0.732531	0.032478	0.006304	0.036715	0.019825	0.007667	0.005444	0.013770	0.002602	0.012159	0.004823	0.108767
on	0.000247	0.000619	0.002000	0.956480	0.001609	0.000563	0.011845	0.020182	0.000531	0.002797	0.000522	0.000319	0.000203	0.002083
a	0.005102	0.102178	0.024395	0.042400	0.537939	0.008220	0.029695	0.011394	0.127703	0.020698	0.005182	0.002815	0.018357	0.063923
horse	0.001441	0.000903	0.016178	0.006078	0.003172	0.643190	0.010766	0.010381	0.002007	0.018638	0.004790	0.138585	0.000841	0.143029
jumps	0.008010	0.008154	0.023367	0.058470	0.006372	0.008624	0.697780	0.027077	0.008636	0.038666	0.002474	0.005548	0.014223	0.092600
over	0.001014	0.000974	0.002578	0.030759	0.001545	0.002544	0.004993	0.909323	0.007037	0.004668	0.015589	0.010493	0.001389	0.007093
a	0.006893	0.063571	0.012646	0.012680	0.118954	0.002595	0.019187	0.049912	0.526888	0.045281	0.011460	0.006322	0.038588	0.085023
broken	0.000487	0.000323	0.005676	0.002476	0.001217	0.003030	0.005810	0.004135	0.005917	0.933092	0.007429	0.015823	0.000575	0.014011
down	0.002435	0.000761	0.005681	0.010503	0.004961	0.008315	0.004601	0.081536	0.012213	0.045991	0.739097	0.034608	0.001141	0.048157
airplane	0.001875	0.000637	0.008445	0.001382	0.001353	0.099542	0.002950	0.013907	0.007850	0.036127	0.014964	0.632564	0.002573	0.175832
.	0.011473	0.058851	0.024217	0.012899	0.010824	0.004135	0.101143	0.020455	0.025149	0.009575	0.002450	0.006430	0.405884	0.306515
[SEP]	0.032123	0.054782	0.093649	0.050670	0.038420	0.101770	0.081271	0.054763	0.053305	0.058697	0.051475	0.084038	0.065710	0.179328
