TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.048804	0.296850	0.033801	0.003715	0.011318	0.002975	0.177872	0.002250	0.026411	0.001497	0.000729	0.000503	0.381783	0.011492
A	0.162701	0.431726	0.055865	0.007571	0.037346	0.002602	0.018121	0.001398	0.023913	0.009643	0.001356	0.000634	0.044888	0.202236
person	0.064516	0.091642	0.064509	0.011901	0.016098	0.005552	0.007717	0.001963	0.009155	0.003254	0.001277	0.001904	0.027219	0.693293
on	0.006519	0.019076	0.043722	0.046130	0.023432	0.021570	0.010972	0.009880	0.012852	0.015007	0.002458	0.002678	0.003243	0.782460
a	0.048140	0.209615	0.107334	0.020559	0.041077	0.007715	0.014933	0.002267	0.022561	0.024721	0.002282	0.001572	0.011883	0.485342
horse	0.001141	0.003170	0.001645	0.000529	0.000614	0.000454	0.001160	0.000464	0.001103	0.001267	0.000403	0.000140	0.000832	0.987080
jumps	0.033275	0.029757	0.023382	0.006968	0.005868	0.008322	0.010373	0.013668	0.018541	0.060067	0.012095	0.009423	0.007437	0.760824
over	0.000487	0.000966	0.001100	0.000228	0.000153	0.000299	0.001004	0.002704	0.002288	0.021382	0.002509	0.003308	0.000421	0.963150
a	0.032674	0.122511	0.051443	0.007250	0.016787	0.003702	0.022539	0.006966	0.071767	0.208687	0.019153	0.013599	0.008745	0.414177
broken	0.003845	0.002939	0.001858	0.000766	0.000831	0.000743	0.000714	0.002128	0.003528	0.011525	0.007941	0.003457	0.001495	0.958230
down	0.001387	0.001534	0.001052	0.000179	0.000295	0.000129	0.000301	0.000531	0.001342	0.002672	0.001951	0.000811	0.000443	0.987372
airplane	0.000614	0.001938	0.001654	0.000170	0.000194	0.000257	0.000580	0.000838	0.001662	0.001750	0.001466	0.001460	0.000513	0.986905
.	0.179593	0.230049	0.024750	0.000496	0.004045	0.000614	0.011578	0.000786	0.017607	0.021943	0.003522	0.001502	0.041984	0.461531
[SEP]	0.001178	0.001334	0.001897	0.000289	0.000567	0.000414	0.000965	0.000412	0.001393	0.001653	0.001516	0.000630	0.001041	0.986712
