TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.209668	0.015577	0.026578	0.030494	0.012759	0.022604	0.022442	0.027892	0.017102	0.004615	0.016686	0.021047	0.468295	0.104241
A	0.873010	0.000512	0.000099	0.000197	0.000023	0.000005	0.000000	0.000007	0.000003	0.000001	0.000000	0.000001	0.001922	0.124219
person	0.002282	0.974721	0.000172	0.000179	0.001763	0.000051	0.000003	0.000000	0.000000	0.000000	0.000001	0.000000	0.000038	0.020789
on	0.000042	0.000026	0.994564	0.000186	0.000002	0.000118	0.000622	0.000001	0.000000	0.000002	0.000000	0.000003	0.000001	0.004432
a	0.000263	0.000065	0.000548	0.989818	0.000425	0.000086	0.000163	0.004447	0.000004	0.000000	0.000000	0.000002	0.000038	0.004141
horse	0.000847	0.000231	0.000005	0.000118	0.998251	0.000090	0.000001	0.000017	0.000023	0.000001	0.000000	0.000000	0.000009	0.000406
jumps	0.000055	0.000003	0.000133	0.000004	0.000101	0.998222	0.000337	0.000060	0.000115	0.000331	0.000001	0.000000	0.000006	0.000632
over	0.000204	0.000000	0.003459	0.000007	0.000001	0.000847	0.950530	0.000741	0.000383	0.042216	0.000384	0.000181	0.000002	0.001045
a	0.000078	0.000000	0.000002	0.000135	0.000001	0.000007	0.000236	0.997973	0.000915	0.000119	0.000105	0.000137	0.000058	0.000235
broken	0.001255	0.000002	0.000000	0.000000	0.000014	0.000322	0.000043	0.000066	0.997996	0.000058	0.000038	0.000006	0.000096	0.000104
down	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000006	0.000000	0.000015	0.999925	0.000041	0.000007	0.000002	0.000001
airplane	0.000017	0.000005	0.000000	0.000000	0.000000	0.000000	0.000005	0.000002	0.000020	0.000002	0.999909	0.000030	0.000007	0.000004
.	0.001443	0.000025	0.000352	0.000058	0.000040	0.000062	0.000276	0.000727	0.000536	0.000922	0.004735	0.957637	0.028010	0.005178
[SEP]	0.731170	0.006532	0.007145	0.013082	0.023407	0.015836	0.021759	0.014234	0.033052	0.025479	0.010712	0.011584	0.041189	0.044821
