TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.123572	0.089534	0.034870	0.032532	0.046101	0.034241	0.120413	0.030567	0.068713	0.011436	0.011844	0.056053	0.140425	0.199697
A	0.015983	0.045769	0.031564	0.020032	0.025097	0.023340	0.033777	0.007224	0.018181	0.006509	0.007673	0.014753	0.042178	0.707919
person	0.009460	0.024589	0.060638	0.011625	0.016264	0.050592	0.031011	0.015187	0.011866	0.005107	0.005537	0.027533	0.024797	0.705796
on	0.001384	0.004401	0.001956	0.002654	0.005686	0.002557	0.005162	0.003333	0.005636	0.002549	0.001205	0.000473	0.004402	0.958601
a	0.008421	0.021217	0.012873	0.007558	0.017836	0.013182	0.015744	0.004486	0.014394	0.005447	0.004016	0.005924	0.013510	0.855394
horse	0.006428	0.015175	0.014094	0.003224	0.014529	0.010699	0.011892	0.005976	0.016280	0.004606	0.003420	0.012066	0.010356	0.871255
jumps	0.006115	0.023204	0.008528	0.004057	0.016529	0.010168	0.020086	0.005142	0.017516	0.004113	0.003316	0.008083	0.012205	0.860939
over	0.000785	0.002626	0.001175	0.000388	0.001357	0.000588	0.001329	0.003208	0.003184	0.001840	0.002746	0.002396	0.002048	0.976330
a	0.003631	0.009161	0.006236	0.003026	0.006216	0.003232	0.005766	0.004135	0.011199	0.014940	0.015577	0.008235	0.007640	0.901004
broken	0.005628	0.011447	0.006092	0.001295	0.006749	0.003623	0.007696	0.006085	0.012855	0.011939	0.010629	0.007788	0.013318	0.894855
down	0.002785	0.004902	0.003928	0.000594	0.003472	0.004330	0.004571	0.002749	0.007012	0.019573	0.020854	0.005269	0.005571	0.914389
airplane	0.004757	0.013141	0.010668	0.001485	0.006841	0.007372	0.009339	0.005987	0.012968	0.004758	0.007935	0.038006	0.011740	0.865003
.	0.017999	0.027926	0.011018	0.004945	0.008985	0.010366	0.019535	0.005276	0.007174	0.002807	0.003794	0.010329	0.033561	0.836286
[SEP]	0.077215	0.053427	0.081397	0.074123	0.062918	0.072082	0.075764	0.077238	0.062098	0.074352	0.086286	0.083714	0.071305	0.048081
