TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.498568	0.051011	0.020515	0.034090	0.063142	0.012339	0.032814	0.032454	0.055431	0.018446	0.019895	0.008134	0.049920	0.103241
A	0.075480	0.021683	0.005016	0.030605	0.133764	0.003921	0.063546	0.101561	0.247730	0.018537	0.039172	0.004067	0.139380	0.115537
person	0.234911	0.024117	0.001220	0.017159	0.137554	0.004726	0.041508	0.064000	0.219517	0.016594	0.027141	0.003612	0.135754	0.072187
on	0.177584	0.028061	0.007360	0.014242	0.060602	0.006635	0.094228	0.131708	0.152876	0.045742	0.059294	0.006437	0.115260	0.099970
a	0.080469	0.020945	0.004025	0.012849	0.047301	0.004559	0.083323	0.137692	0.218923	0.068606	0.100744	0.007697	0.102629	0.110238
horse	0.415408	0.021289	0.012694	0.008101	0.094920	0.001227	0.038532	0.030628	0.168719	0.012689	0.018249	0.063202	0.042731	0.071610
jumps	0.327657	0.017300	0.011073	0.012618	0.039378	0.010349	0.006795	0.069908	0.123223	0.051307	0.037516	0.011423	0.157276	0.124176
over	0.255167	0.015772	0.005132	0.006035	0.014335	0.003650	0.031354	0.066699	0.072445	0.058219	0.174320	0.019135	0.107574	0.170165
a	0.161953	0.019575	0.002893	0.007929	0.021029	0.001787	0.035627	0.058451	0.112195	0.050320	0.121430	0.010866	0.163328	0.232617
broken	0.418297	0.028135	0.006260	0.016789	0.021757	0.007895	0.062376	0.024043	0.052005	0.008231	0.028634	0.003780	0.129961	0.191837
down	0.482867	0.031373	0.013938	0.011339	0.024593	0.003425	0.021363	0.034304	0.041013	0.026147	0.014949	0.008652	0.118552	0.167485
airplane	0.623145	0.014923	0.005074	0.026075	0.070321	0.002201	0.011506	0.010351	0.050621	0.001317	0.007775	0.001394	0.086730	0.088568
.	0.382385	0.042437	0.016906	0.027413	0.034376	0.010626	0.054906	0.023444	0.041371	0.021308	0.040248	0.010344	0.142631	0.151605
[SEP]	0.763774	0.014141	0.004813	0.016200	0.031375	0.004372	0.018967	0.009579	0.024367	0.005478	0.008589	0.004031	0.045043	0.049271
