TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.116264	0.023465	0.012682	0.004003	0.006812	0.002623	0.094876	0.002247	0.009403	0.007846	0.000850	0.000472	0.020621	0.697836
A	0.001477	0.007342	0.042712	0.045025	0.013233	0.007969	0.748171	0.003753	0.001474	0.001108	0.000470	0.000192	0.009664	0.117409
person	0.003860	0.011911	0.051883	0.053497	0.045636	0.096868	0.140844	0.012072	0.005591	0.001990	0.001580	0.001831	0.008079	0.564356
on	0.000282	0.000964	0.005348	0.041510	0.019261	0.817471	0.007792	0.003306	0.000846	0.005147	0.000209	0.007797	0.000570	0.089497
a	0.001024	0.002222	0.008313	0.055834	0.032049	0.165599	0.113950	0.012507	0.002927	0.008508	0.000838	0.000855	0.001996	0.593378
horse	0.002615	0.000414	0.000944	0.000523	0.002483	0.022292	0.001973	0.001122	0.000961	0.000929	0.000364	0.000900	0.002324	0.962156
jumps	0.007440	0.006568	0.002300	0.000965	0.001212	0.001437	0.015675	0.018691	0.017798	0.013275	0.003925	0.006977	0.017585	0.886152
over	0.000899	0.000534	0.000482	0.000214	0.000162	0.000872	0.004700	0.012342	0.024014	0.125065	0.241365	0.210867	0.008785	0.369699
a	0.000845	0.000409	0.000173	0.000316	0.000076	0.000090	0.005533	0.014040	0.021107	0.364293	0.078003	0.020624	0.017083	0.477409
broken	0.000661	0.001452	0.000079	0.000061	0.000099	0.000069	0.000051	0.000355	0.005151	0.001472	0.044884	0.003779	0.001319	0.940567
down	0.000941	0.000228	0.000279	0.000060	0.000050	0.000133	0.000134	0.000155	0.000867	0.001681	0.012496	0.187978	0.011762	0.783237
airplane	0.001124	0.000151	0.000104	0.000012	0.000044	0.000052	0.000057	0.000046	0.000346	0.000236	0.001387	0.008063	0.004643	0.983735
.	0.013308	0.007495	0.008937	0.001742	0.001638	0.000511	0.009832	0.000904	0.003019	0.004524	0.001126	0.006120	0.025963	0.914882
[SEP]	0.021200	0.001557	0.001675	0.001497	0.000877	0.000768	0.002716	0.000797	0.001657	0.001814	0.001765	0.001871	0.009791	0.952013
