TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.001612	0.037783	0.024047	0.089309	0.009763	0.004247	0.188964	0.019795	0.007421	0.001498	0.000514	0.004645	0.291448	0.318952
A	0.001260	0.050333	0.146331	0.162809	0.007311	0.005813	0.012126	0.002302	0.003616	0.000805	0.000197	0.000807	0.006258	0.600033
person	0.000997	0.002473	0.005748	0.013922	0.005039	0.000272	0.001406	0.000224	0.000399	0.000066	0.000024	0.000029	0.006559	0.962842
on	0.003900	0.011984	0.038063	0.121280	0.093720	0.183615	0.015000	0.014423	0.009057	0.001789	0.001131	0.003340	0.033802	0.468897
a	0.004956	0.003876	0.042150	0.031124	0.017898	0.197290	0.005372	0.001056	0.001220	0.001362	0.000253	0.001646	0.015554	0.676241
horse	0.003897	0.001396	0.002500	0.001214	0.001658	0.000773	0.002419	0.000630	0.000743	0.000043	0.000107	0.000308	0.009169	0.975144
jumps	0.012268	0.015244	0.017015	0.003146	0.002192	0.001274	0.006195	0.192624	0.023650	0.001816	0.003248	0.002912	0.025751	0.692663
over	0.001992	0.002904	0.002505	0.000264	0.000704	0.000908	0.002487	0.021411	0.089665	0.009929	0.002823	0.070897	0.010372	0.783139
a	0.004827	0.002010	0.007538	0.002461	0.001245	0.006100	0.004726	0.006089	0.033961	0.068245	0.010990	0.120056	0.024640	0.707110
broken	0.001462	0.000055	0.000477	0.000022	0.000360	0.001752	0.000059	0.001130	0.006799	0.003601	0.460958	0.053233	0.004264	0.465828
down	0.001475	0.000176	0.000487	0.000071	0.000400	0.000454	0.000292	0.001164	0.016694	0.003000	0.005956	0.057994	0.001602	0.910235
airplane	0.005388	0.000663	0.000729	0.000070	0.000342	0.000080	0.001473	0.000449	0.004622	0.000400	0.000242	0.003814	0.014346	0.967382
.	0.049428	0.197336	0.026509	0.005066	0.002574	0.001719	0.040831	0.002319	0.016333	0.004753	0.000384	0.006818	0.082486	0.563445
[SEP]	0.046098	0.027686	0.019610	0.012869	0.019403	0.017299	0.014613	0.024276	0.034751	0.034561	0.014880	0.027737	0.052254	0.653964
