TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.013860	0.006090	0.002560	0.000799	0.000860	0.000602	0.002563	0.001151	0.001521	0.001748	0.000453	0.002320	0.012191	0.953279
A	0.005958	0.016218	0.007679	0.003463	0.002643	0.002956	0.019893	0.010541	0.006282	0.002038	0.001161	0.003458	0.027977	0.889734
person	0.004021	0.018034	0.011106	0.006145	0.002190	0.002795	0.008061	0.002781	0.001384	0.000846	0.000169	0.000871	0.014934	0.926664
on	0.006126	0.246823	0.112219	0.055359	0.042926	0.009347	0.014754	0.004718	0.002382	0.000665	0.000228	0.001653	0.021905	0.480895
a	0.013702	0.219902	0.224644	0.046819	0.026359	0.024870	0.017626	0.001780	0.000657	0.000195	0.000123	0.001841	0.037077	0.384404
horse	0.006690	0.049942	0.209752	0.168414	0.058835	0.024519	0.011572	0.001961	0.000351	0.000298	0.000071	0.001698	0.015277	0.450620
jumps	0.008107	0.137390	0.018413	0.020547	0.053158	0.020864	0.047368	0.012103	0.018229	0.002435	0.000894	0.002942	0.027448	0.630103
over	0.009320	0.091425	0.037608	0.004646	0.011197	0.014109	0.123052	0.018798	0.022924	0.001965	0.000295	0.006474	0.019916	0.638269
a	0.017337	0.184759	0.073511	0.007581	0.011109	0.011673	0.204184	0.058358	0.030967	0.003089	0.001336	0.012670	0.062904	0.320520
broken	0.010780	0.014948	0.007061	0.001261	0.000954	0.003688	0.050555	0.058998	0.027683	0.011620	0.004724	0.020897	0.026046	0.760784
down	0.001614	0.003665	0.006901	0.003396	0.000553	0.002295	0.022859	0.055114	0.015497	0.082276	0.003107	0.014785	0.012774	0.775163
airplane	0.006053	0.006684	0.009495	0.009383	0.003150	0.004953	0.059349	0.138284	0.066833	0.037544	0.019495	0.036934	0.027026	0.574819
.	0.009629	0.080393	0.024573	0.003523	0.006610	0.003393	0.148153	0.035822	0.099967	0.024672	0.006418	0.017828	0.047094	0.491924
[SEP]	0.007083	0.005707	0.002548	0.000822	0.001568	0.000830	0.003117	0.001552	0.003536	0.001037	0.000428	0.001707	0.006996	0.963069
