TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.037648	0.030892	0.024803	0.001453	0.001107	0.000552	0.002344	0.001082	0.003219	0.001709	0.001778	0.005110	0.037112	0.851191
A	0.000096	0.004599	0.993821	0.000082	0.000034	0.000997	0.000064	0.000000	0.000002	0.000074	0.000000	0.000004	0.000017	0.000211
person	0.000281	0.000520	0.000223	0.993455	0.000027	0.000051	0.001907	0.000013	0.000000	0.000002	0.000000	0.000001	0.000143	0.003378
on	0.000000	0.000055	0.000012	0.000044	0.999453	0.000102	0.000014	0.000002	0.000314	0.000000	0.000000	0.000000	0.000000	0.000004
a	0.000003	0.000012	0.008193	0.000014	0.000432	0.991180	0.000079	0.000000	0.000001	0.000003	0.000000	0.000000	0.000000	0.000084
horse	0.003125	0.000029	0.000152	0.000853	0.000152	0.002902	0.003827	0.000027	0.000005	0.000001	0.000000	0.000002	0.000526	0.988398
jumps	0.001058	0.002071	0.010593	0.004800	0.000111	0.000013	0.024268	0.883957	0.002017	0.000637	0.000234	0.000031	0.017336	0.052873
over	0.000010	0.000025	0.000000	0.000000	0.000084	0.000000	0.000014	0.000602	0.998936	0.000117	0.000002	0.000006	0.000029	0.000176
a	0.000069	0.000031	0.000102	0.000000	0.000001	0.000021	0.000039	0.000178	0.020663	0.976646	0.000064	0.000026	0.000055	0.002106
broken	0.000001	0.000001	0.000003	0.000000	0.000000	0.000000	0.000003	0.000368	0.000180	0.000854	0.998536	0.000024	0.000017	0.000013
down	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000034	0.000011	0.000144	0.999676	0.000031	0.000103
airplane	0.002989	0.000019	0.000008	0.000000	0.000000	0.000000	0.000001	0.000002	0.000010	0.000003	0.000003	0.000370	0.362308	0.634286
.	0.000691	0.005846	0.000057	0.000001	0.000001	0.000000	0.000002	0.000000	0.000009	0.000014	0.000001	0.000001	0.004609	0.988768
[SEP]	0.068236	0.011553	0.003930	0.005186	0.006620	0.006113	0.005727	0.001774	0.007679	0.004477	0.002606	0.009103	0.037656	0.829341
