TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.018560	0.019035	0.007683	0.006026	0.002456	0.002942	0.006198	0.004133	0.003788	0.003792	0.002840	0.004188	0.054915	0.863446
A	0.180297	0.040738	0.021511	0.013615	0.001662	0.001895	0.002574	0.001483	0.000757	0.000749	0.000374	0.004285	0.071015	0.659045
person	0.077075	0.344756	0.018642	0.134280	0.013589	0.002742	0.003759	0.001741	0.000264	0.000164	0.000134	0.000477	0.026772	0.375604
on	0.027795	0.474740	0.215041	0.116744	0.029899	0.009440	0.009026	0.000450	0.000070	0.000120	0.000063	0.000280	0.004278	0.112054
a	0.022989	0.076801	0.479108	0.208006	0.017492	0.031682	0.031567	0.000784	0.000060	0.000085	0.000042	0.000937	0.003622	0.126826
horse	0.011117	0.065218	0.059736	0.517972	0.121315	0.027145	0.012518	0.004368	0.000143	0.000033	0.000021	0.000092	0.001526	0.178797
jumps	0.051422	0.039964	0.071287	0.108471	0.055047	0.176598	0.033213	0.021958	0.002841	0.001355	0.000160	0.000768	0.009968	0.426948
over	0.005200	0.012050	0.029154	0.056010	0.041167	0.195447	0.261154	0.063469	0.020228	0.015120	0.000993	0.001203	0.001679	0.297125
a	0.001652	0.003174	0.026598	0.012987	0.007995	0.095631	0.384585	0.249966	0.027890	0.010497	0.001235	0.003350	0.002325	0.172115
broken	0.004167	0.001514	0.000662	0.001593	0.001452	0.004268	0.035503	0.143944	0.119822	0.005311	0.007292	0.002323	0.007808	0.664340
down	0.001930	0.000551	0.000522	0.000339	0.000545	0.014689	0.011186	0.044286	0.269067	0.316607	0.050821	0.028648	0.008960	0.251848
airplane	0.002336	0.002616	0.000455	0.000734	0.001409	0.001675	0.010194	0.099419	0.349981	0.054781	0.079667	0.009834	0.020365	0.366535
.	0.015644	0.012755	0.008406	0.002173	0.001785	0.004110	0.061515	0.066803	0.089681	0.082548	0.127671	0.199972	0.073224	0.253714
[SEP]	0.026714	0.013011	0.005677	0.012313	0.015537	0.003962	0.005753	0.010911	0.017964	0.003771	0.003810	0.002822	0.055233	0.822524
