TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.044269	0.009776	0.003309	0.000828	0.005659	0.005806	0.004002	0.000623	0.001516	0.000524	0.000514	0.004502	0.007855	0.910818
A	0.010803	0.034075	0.189814	0.056372	0.006445	0.006607	0.001372	0.000450	0.000849	0.001600	0.001203	0.012797	0.025175	0.652438
person	0.025705	0.109322	0.002761	0.034034	0.036648	0.001022	0.001381	0.000506	0.000512	0.000564	0.000603	0.000122	0.017015	0.769806
on	0.103707	0.005376	0.018353	0.003694	0.018101	0.005819	0.188089	0.000112	0.000059	0.000017	0.000133	0.000081	0.016561	0.639900
a	0.023087	0.006289	0.198638	0.298051	0.028369	0.040236	0.004591	0.000567	0.000294	0.000771	0.000169	0.003124	0.012494	0.383321
horse	0.011395	0.000762	0.001023	0.387906	0.014291	0.001966	0.012221	0.001750	0.000218	0.002417	0.000522	0.000012	0.001367	0.564149
jumps	0.011115	0.000388	0.000909	0.033292	0.001750	0.004312	0.047889	0.132466	0.001971	0.002985	0.001450	0.000521	0.002541	0.758412
over	0.026347	0.000211	0.001845	0.000283	0.001152	0.012121	0.514789	0.023595	0.017220	0.053954	0.000129	0.000544	0.002770	0.345040
a	0.025946	0.001321	0.009638	0.005092	0.001678	0.004231	0.009963	0.053328	0.030861	0.077112	0.034399	0.073323	0.051109	0.621998
broken	0.007197	0.000191	0.000374	0.000078	0.000114	0.000345	0.007977	0.020607	0.010088	0.021567	0.203493	0.004248	0.006150	0.717572
down	0.003972	0.000005	0.000002	0.000002	0.000004	0.000003	0.000019	0.000055	0.001527	0.991748	0.000009	0.000049	0.000134	0.002471
airplane	0.008217	0.002593	0.000227	0.000383	0.000778	0.000073	0.001303	0.000956	0.006740	0.012075	0.128581	0.004593	0.024729	0.808751
.	0.050630	0.028799	0.002373	0.002028	0.003925	0.003021	0.007815	0.004456	0.016897	0.002406	0.005754	0.155608	0.084194	0.632095
[SEP]	0.019341	0.004264	0.009586	0.007957	0.005171	0.003921	0.010967	0.001579	0.003707	0.003777	0.003791	0.004569	0.008371	0.912999
