TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.005338	0.066692	0.133015	0.017762	0.031273	0.169780	0.202894	0.026478	0.017494	0.097594	0.018775	0.170450	0.038213	0.004242
A	0.142755	0.109133	0.025906	0.046062	0.061602	0.011327	0.030499	0.022501	0.047494	0.006479	0.012009	0.024860	0.269806	0.189567
person	0.070339	0.032948	0.002282	0.012219	0.021626	0.002132	0.004405	0.003547	0.009673	0.001242	0.003292	0.003537	0.152424	0.680335
on	0.064238	0.018305	0.001085	0.083107	0.011103	0.001079	0.002574	0.013340	0.006637	0.001539	0.003718	0.003560	0.068188	0.721526
a	0.177283	0.165227	0.045780	0.066238	0.050849	0.010315	0.015275	0.015374	0.022361	0.001706	0.009242	0.017376	0.198641	0.204332
horse	0.076934	0.042682	0.010525	0.024404	0.015471	0.001638	0.006607	0.002392	0.003616	0.001037	0.001326	0.001850	0.087046	0.724472
jumps	0.033569	0.345222	0.092975	0.062839	0.073685	0.012924	0.001477	0.006224	0.020796	0.017423	0.001730	0.002548	0.220941	0.107646
over	0.042617	0.173779	0.034017	0.054456	0.099627	0.004338	0.008553	0.022312	0.032811	0.004010	0.004410	0.004651	0.185981	0.328437
a	0.058608	0.325989	0.084555	0.044041	0.169989	0.011596	0.032599	0.020480	0.055844	0.004990	0.004983	0.006755	0.107798	0.071772
broken	0.029941	0.124303	0.039045	0.017467	0.076890	0.012435	0.162763	0.011686	0.058592	0.001492	0.001646	0.002431	0.070435	0.390874
down	0.038155	0.059199	0.006158	0.016969	0.078578	0.002797	0.004648	0.017499	0.042737	0.002894	0.003841	0.005384	0.080405	0.640734
airplane	0.040234	0.030534	0.005746	0.002500	0.025849	0.002358	0.005173	0.009026	0.022548	0.001035	0.001395	0.001781	0.063788	0.788033
.	0.079388	0.296927	0.060809	0.019165	0.047267	0.045203	0.092735	0.045125	0.029307	0.009570	0.008371	0.016447	0.158823	0.090864
[SEP]	0.013939	0.001886	0.000557	0.001904	0.005144	0.001035	0.001283	0.002563	0.004931	0.002576	0.002314	0.001635	0.002822	0.957411
