TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.020772	0.049018	0.006394	0.004754	0.015479	0.009605	0.066767	0.011174	0.043325	0.003101	0.003479	0.004923	0.067975	0.693233
A	0.053606	0.066143	0.006039	0.002820	0.006444	0.001977	0.050930	0.007033	0.015955	0.000805	0.000720	0.001284	0.191650	0.594593
person	0.029215	0.192222	0.016383	0.004407	0.064836	0.006660	0.016975	0.003823	0.124274	0.005201	0.002017	0.001980	0.034820	0.497186
on	0.006943	0.011772	0.017422	0.006073	0.004707	0.006453	0.004022	0.000955	0.003583	0.000269	0.000221	0.000469	0.004334	0.932779
a	0.007268	0.014287	0.006326	0.158235	0.009697	0.027111	0.026970	0.026922	0.008273	0.002186	0.002968	0.001930	0.019918	0.687910
horse	0.002130	0.004528	0.000721	0.012383	0.018994	0.009775	0.003734	0.001210	0.013231	0.003972	0.003534	0.000256	0.002581	0.922951
jumps	0.060974	0.026244	0.007005	0.007324	0.014190	0.013311	0.069051	0.013618	0.017123	0.004589	0.003378	0.004895	0.129170	0.629130
over	0.006471	0.005228	0.000686	0.015458	0.006250	0.009173	0.300260	0.258870	0.020139	0.006507	0.012343	0.004745	0.013537	0.340335
a	0.014592	0.018350	0.002061	0.013620	0.005488	0.005210	0.085999	0.155888	0.042740	0.009113	0.011709	0.005431	0.044653	0.585146
broken	0.010030	0.009583	0.001395	0.001697	0.007056	0.001006	0.009102	0.007776	0.048014	0.012906	0.003556	0.004281	0.009027	0.874571
down	0.004116	0.000735	0.000874	0.003651	0.003474	0.007476	0.012922	0.010576	0.013268	0.662121	0.041983	0.000866	0.001074	0.236863
airplane	0.004420	0.002781	0.000521	0.000791	0.004515	0.002913	0.006975	0.013290	0.047330	0.023818	0.076389	0.012036	0.005538	0.798682
.	0.059481	0.011008	0.009815	0.002983	0.004525	0.041344	0.021439	0.016124	0.012069	0.004805	0.006735	0.067075	0.080742	0.661854
[SEP]	0.064028	0.022258	0.011582	0.009285	0.013586	0.035452	0.009881	0.005456	0.015393	0.007444	0.007722	0.008883	0.076081	0.712950
