TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.032876	0.289831	0.086343	0.003754	0.034377	0.003715	0.018955	0.004775	0.075688	0.001401	0.000607	0.005118	0.384898	0.057662
A	0.116153	0.175168	0.017047	0.002399	0.013260	0.004493	0.005961	0.004102	0.031879	0.000415	0.000222	0.002774	0.174385	0.451741
person	0.042721	0.138996	0.014565	0.002034	0.008773	0.002201	0.006219	0.002014	0.008007	0.000204	0.000134	0.000570	0.050971	0.722592
on	0.017844	0.218455	0.044383	0.006863	0.031523	0.008269	0.009278	0.002545	0.011425	0.000607	0.000365	0.002185	0.018139	0.628120
a	0.028996	0.643193	0.056973	0.005613	0.019593	0.004927	0.006709	0.000670	0.005897	0.000099	0.000043	0.000380	0.060816	0.166091
horse	0.038953	0.481788	0.059705	0.028770	0.033401	0.006983	0.010837	0.004988	0.010715	0.000185	0.000187	0.001025	0.030543	0.291918
jumps	0.305459	0.128494	0.027302	0.002942	0.024937	0.008103	0.004202	0.003806	0.018851	0.000254	0.000129	0.002715	0.227085	0.245721
over	0.043531	0.283700	0.073206	0.003895	0.020721	0.005093	0.030886	0.014882	0.032403	0.001501	0.000479	0.007066	0.087191	0.395445
a	0.044880	0.660875	0.061151	0.006450	0.018275	0.006259	0.021549	0.003805	0.018252	0.000486	0.000122	0.001630	0.081335	0.074931
broken	0.100563	0.214636	0.050680	0.004731	0.011227	0.008820	0.017722	0.052489	0.121037	0.012239	0.005435	0.028406	0.055944	0.316072
down	0.045554	0.142434	0.017826	0.001718	0.005719	0.002850	0.003628	0.007570	0.047446	0.006772	0.001331	0.011896	0.012332	0.692924
airplane	0.027778	0.380598	0.025874	0.008069	0.014956	0.002537	0.023851	0.030767	0.091552	0.002429	0.001115	0.007414	0.048661	0.334398
.	0.380033	0.181725	0.028258	0.004404	0.011672	0.002656	0.010457	0.002946	0.017723	0.000684	0.000451	0.001252	0.166309	0.191431
[SEP]	0.033007	0.010968	0.005176	0.002434	0.004268	0.003145	0.002069	0.003569	0.008570	0.004699	0.005199	0.005111	0.005857	0.905927
