TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.062599	0.032906	0.016295	0.002723	0.020983	0.003525	0.031522	0.001251	0.012730	0.011188	0.001541	0.001116	0.040739	0.760883
A	0.010661	0.115968	0.025559	0.004426	0.024818	0.007599	0.030749	0.002003	0.008966	0.003519	0.001278	0.003047	0.023443	0.737964
person	0.017687	0.042408	0.388780	0.014021	0.012382	0.076212	0.048060	0.002840	0.004930	0.004785	0.003993	0.032027	0.010588	0.341287
on	0.023607	0.012319	0.012441	0.591199	0.023999	0.021755	0.113213	0.059308	0.007539	0.013028	0.025962	0.005262	0.009329	0.081038
a	0.036849	0.064099	0.053990	0.032756	0.110526	0.065536	0.066211	0.010659	0.025022	0.021240	0.046471	0.016711	0.018763	0.431167
horse	0.006682	0.012128	0.020604	0.011350	0.021692	0.367304	0.027914	0.005599	0.007563	0.034450	0.013218	0.024649	0.006076	0.440771
jumps	0.035988	0.015404	0.017699	0.013908	0.007664	0.009652	0.655958	0.003515	0.008637	0.041350	0.004675	0.004270	0.019591	0.161689
over	0.010412	0.001717	0.002321	0.031203	0.000935	0.002673	0.007887	0.802642	0.006173	0.012217	0.049430	0.008788	0.003833	0.059769
a	0.053700	0.036461	0.020540	0.013563	0.018764	0.008499	0.039012	0.042107	0.073799	0.072886	0.063249	0.024848	0.028626	0.503947
broken	0.004193	0.000875	0.001466	0.002025	0.001222	0.004074	0.014018	0.001469	0.003741	0.912740	0.011687	0.007403	0.002802	0.032286
down	0.003532	0.000513	0.001408	0.001872	0.001501	0.005674	0.001709	0.008989	0.003155	0.027337	0.907974	0.007710	0.000657	0.027968
airplane	0.013362	0.006523	0.023260	0.002949	0.005972	0.023175	0.011792	0.008911	0.011765	0.049162	0.019614	0.217506	0.006933	0.599077
.	0.038665	0.040010	0.019785	0.008864	0.007841	0.004798	0.045264	0.008880	0.015202	0.016553	0.006192	0.005636	0.086964	0.695347
[SEP]	0.054900	0.054269	0.054707	0.067676	0.053460	0.067719	0.078780	0.049894	0.054751	0.064534	0.038864	0.049282	0.076925	0.234236
