TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.055478	0.055178	0.008513	0.026922	0.030088	0.106340	0.211099	0.004396	0.055591	0.013220	0.011041	0.017413	0.338078	0.066642
A	0.000418	0.172321	0.004396	0.002145	0.007836	0.000143	0.002263	0.000570	0.008216	0.000082	0.000074	0.000056	0.015213	0.786266
person	0.000109	0.003541	0.055401	0.005366	0.001038	0.000562	0.000901	0.000309	0.000905	0.000567	0.000334	0.000290	0.001023	0.929653
on	0.000052	0.000368	0.001493	0.738607	0.002633	0.033058	0.015883	0.002736	0.000614	0.000543	0.000171	0.001789	0.000175	0.201875
a	0.000411	0.007022	0.001096	0.009512	0.028705	0.006134	0.001036	0.000877	0.013574	0.000878	0.000885	0.001785	0.005029	0.923057
horse	0.000005	0.000003	0.000003	0.000944	0.000057	0.301532	0.000095	0.000105	0.000015	0.000003	0.000005	0.000010	0.000047	0.697174
jumps	0.000049	0.000261	0.000149	0.004166	0.000117	0.000526	0.339649	0.007019	0.000317	0.000371	0.000206	0.000274	0.000792	0.646101
over	0.000014	0.000027	0.000030	0.003965	0.000043	0.000291	0.003303	0.946798	0.000355	0.001244	0.002733	0.000214	0.000071	0.040914
a	0.001018	0.009070	0.000992	0.002666	0.007532	0.000472	0.003421	0.011692	0.098362	0.053247	0.025237	0.014187	0.009470	0.762633
broken	0.000014	0.000003	0.000012	0.000012	0.000002	0.000003	0.000010	0.000168	0.000118	0.702975	0.016800	0.000449	0.000042	0.279393
down	0.000042	0.000005	0.000012	0.000037	0.000024	0.000006	0.000063	0.000810	0.000406	0.121914	0.690686	0.003622	0.000062	0.182310
airplane	0.000016	0.000002	0.000003	0.000020	0.000007	0.000010	0.000051	0.000031	0.000116	0.001576	0.002256	0.946009	0.000007	0.049897
.	0.000093	0.000632	0.000086	0.000063	0.000089	0.000002	0.000078	0.000052	0.000399	0.000007	0.000003	0.000002	0.099197	0.899296
[SEP]	0.004960	0.001739	0.000773	0.002629	0.000645	0.001115	0.002544	0.003603	0.001842	0.001516	0.001224	0.001997	0.010208	0.965205
