TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.051607	0.029740	0.157403	0.019278	0.008953	0.002840	0.011337	0.038956	0.016082	0.009958	0.001126	0.008959	0.002973	0.015330	0.625457
I	0.044175	0.018198	0.502382	0.182181	0.023291	0.002903	0.011637	0.015585	0.033876	0.007228	0.000382	0.000637	0.001237	0.021333	0.134956
heard	0.025474	0.009221	0.048635	0.250979	0.010256	0.002288	0.019700	0.014249	0.031401	0.005068	0.000351	0.000462	0.000086	0.026974	0.554856
from	0.025350	0.005908	0.812286	0.002056	0.009300	0.000668	0.004902	0.015044	0.000331	0.002235	0.000292	0.000692	0.000355	0.012941	0.107640
none	0.041358	0.003137	0.009224	0.134351	0.002607	0.014340	0.184755	0.111051	0.187208	0.063669	0.002853	0.000293	0.003003	0.058044	0.184108
of	0.029208	0.013963	0.012159	0.071007	0.026612	0.004952	0.107354	0.226161	0.220533	0.062126	0.001680	0.006277	0.010583	0.048904	0.158481
the	0.023533	0.006996	0.015177	0.021189	0.012670	0.004343	0.011084	0.207924	0.103292	0.012337	0.010927	0.012161	0.104001	0.036536	0.417832
representatives	0.007152	0.001362	0.002622	0.001840	0.002984	0.000568	0.003140	0.015116	0.023714	0.006538	0.004862	0.004260	0.015476	0.010934	0.899430
from	0.091374	0.007718	0.368634	0.000494	0.015777	0.001292	0.007639	0.050277	0.001687	0.015890	0.009951	0.010719	0.013620	0.056831	0.348097
the	0.023599	0.005926	0.006797	0.002389	0.004656	0.001098	0.002374	0.025424	0.019844	0.011567	0.014615	0.027099	0.642988	0.049935	0.161687
power	0.047919	0.008866	0.000488	0.000249	0.000661	0.001217	0.005422	0.001104	0.002191	0.030330	0.011051	0.060380	0.013470	0.066821	0.749831
generation	0.020813	0.003159	0.000137	0.000531	0.000383	0.001246	0.007490	0.003901	0.003778	0.027889	0.142703	0.005896	0.004192	0.045328	0.732555
sector	0.005330	0.003341	0.000273	0.000868	0.002490	0.000397	0.009076	0.029778	0.020604	0.030743	0.045817	0.030427	0.013047	0.011755	0.796054
.	0.009327	0.038423	0.122033	0.069537	0.019295	0.002615	0.012929	0.046530	0.041382	0.015618	0.001535	0.008532	0.008422	0.017680	0.586142
[SEP]	0.003348	0.000877	0.000614	0.000123	0.000186	0.000131	0.000367	0.001097	0.000538	0.000516	0.001387	0.001758	0.001597	0.001287	0.986175
