TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.039522	0.045762	0.070647	0.087292	0.035976	0.015405	0.064800	0.158351	0.057773	0.078995	0.049588	0.041333	0.065435	0.042404	0.146716
I	0.019746	0.021365	0.106026	0.018507	0.046549	0.002509	0.009057	0.013306	0.009081	0.014776	0.013809	0.015486	0.009150	0.034804	0.665830
heard	0.042981	0.052381	0.100058	0.083106	0.040037	0.001776	0.012346	0.013298	0.012136	0.015663	0.011467	0.010721	0.004844	0.061554	0.537632
from	0.020167	0.017872	0.033881	0.014691	0.015543	0.001824	0.008137	0.008777	0.005585	0.010719	0.002195	0.001676	0.001966	0.032210	0.824757
none	0.039452	0.023656	0.075765	0.016152	0.040996	0.015816	0.034274	0.032416	0.018305	0.026899	0.010965	0.005594	0.012946	0.042477	0.604291
of	0.008980	0.002862	0.011156	0.001758	0.002751	0.000959	0.004015	0.008396	0.002954	0.009747	0.008729	0.005496	0.005631	0.008960	0.917607
the	0.008174	0.003894	0.014732	0.002249	0.007460	0.001773	0.005165	0.015653	0.005591	0.010449	0.015394	0.011750	0.009198	0.012610	0.875907
representatives	0.016287	0.007539	0.042179	0.010914	0.009261	0.001257	0.008271	0.051284	0.027333	0.043234	0.034439	0.026966	0.037227	0.015127	0.668680
from	0.010937	0.003870	0.006655	0.003010	0.004235	0.001438	0.006901	0.030279	0.011985	0.039010	0.040757	0.038588	0.054774	0.010154	0.737408
the	0.006094	0.003736	0.009537	0.001308	0.010483	0.001169	0.003661	0.012727	0.007021	0.024977	0.056297	0.062626	0.033166	0.011353	0.755845
power	0.006028	0.004948	0.016330	0.003382	0.011346	0.002503	0.005547	0.020989	0.009774	0.022616	0.104058	0.182692	0.051600	0.011361	0.546827
generation	0.005515	0.003817	0.014720	0.002587	0.010192	0.001041	0.002712	0.010470	0.005104	0.011206	0.071743	0.083367	0.025185	0.011081	0.741259
sector	0.007833	0.004438	0.013644	0.003190	0.007997	0.001662	0.005518	0.020711	0.012505	0.028048	0.022689	0.026763	0.023549	0.014166	0.807286
.	0.032212	0.046727	0.069845	0.013560	0.056073	0.005119	0.016292	0.014953	0.009899	0.028351	0.018817	0.014164	0.015769	0.054295	0.603924
[SEP]	0.041812	0.050606	0.061808	0.043926	0.063172	0.046260	0.052125	0.082908	0.074090	0.071742	0.101975	0.099011	0.099802	0.052196	0.058568
