TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.748724	0.013931	0.010672	0.019677	0.017466	0.025134	0.029435	0.004543	0.014269	0.028193	0.002827	0.003526	0.005607	0.041394	0.034602
I	0.985985	0.003566	0.000898	0.003829	0.002477	0.001620	0.000222	0.000008	0.000046	0.000146	0.000016	0.000010	0.000045	0.000594	0.000539
heard	0.388939	0.577231	0.006756	0.016120	0.005260	0.003159	0.000230	0.000001	0.000330	0.000103	0.000015	0.000030	0.000029	0.001422	0.000376
from	0.247627	0.002554	0.738141	0.002167	0.004205	0.002687	0.001420	0.000069	0.000003	0.000049	0.000002	0.000019	0.000007	0.000044	0.001006
none	0.721115	0.002150	0.021295	0.191797	0.017977	0.017896	0.025134	0.000041	0.000296	0.000182	0.000027	0.000014	0.000003	0.000126	0.001946
of	0.387015	0.001688	0.007030	0.048486	0.464008	0.031065	0.048562	0.008491	0.001438	0.001752	0.000013	0.000070	0.000023	0.000075	0.000284
the	0.633263	0.001928	0.000484	0.004305	0.099944	0.193601	0.047905	0.007130	0.006433	0.004278	0.000092	0.000008	0.000063	0.000322	0.000242
representatives	0.697645	0.000150	0.001355	0.001873	0.000795	0.100813	0.176799	0.001708	0.006096	0.010871	0.001081	0.000133	0.000100	0.000180	0.000402
from	0.677818	0.000013	0.006595	0.001153	0.003807	0.011809	0.103500	0.149735	0.011761	0.024320	0.000384	0.007600	0.000084	0.000082	0.001340
the	0.684776	0.000047	0.000017	0.000465	0.020999	0.006220	0.029005	0.053885	0.110812	0.084250	0.002031	0.002475	0.000690	0.002919	0.001409
power	0.580894	0.000384	0.000108	0.000207	0.000319	0.009193	0.010741	0.001341	0.088492	0.239243	0.005099	0.031038	0.014278	0.014397	0.004267
generation	0.574632	0.000098	0.000064	0.000115	0.000081	0.001543	0.009648	0.000982	0.027465	0.164903	0.118106	0.007778	0.005480	0.058965	0.030141
sector	0.821464	0.000011	0.000017	0.000253	0.000030	0.000320	0.002126	0.000238	0.003995	0.033807	0.024950	0.005916	0.003093	0.020620	0.083161
.	0.795984	0.000109	0.000016	0.000222	0.000242	0.000196	0.000141	0.000064	0.004055	0.008003	0.000459	0.002952	0.006958	0.097469	0.083128
[SEP]	0.856485	0.000241	0.000033	0.000020	0.000051	0.000058	0.000041	0.000002	0.000188	0.002317	0.000074	0.000553	0.001925	0.077306	0.060706
