TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.018873	0.076756	0.256168	0.043979	0.021491	0.003961	0.019700	0.110699	0.026254	0.019329	0.020747	0.031645	0.072919	0.112438	0.165040
I	0.210107	0.115625	0.000153	0.000457	0.000197	0.000096	0.000180	0.000071	0.001310	0.000513	0.000453	0.000273	0.000056	0.081483	0.589025
heard	0.252183	0.000054	0.111281	0.000097	0.000114	0.000048	0.000251	0.000221	0.000109	0.000073	0.000002	0.000015	0.000005	0.044400	0.591146
from	0.236580	0.000340	0.000172	0.079807	0.000072	0.000463	0.000111	0.000107	0.031868	0.000222	0.000014	0.000016	0.000006	0.080576	0.569644
none	0.101421	0.000137	0.000067	0.000045	0.296794	0.000100	0.000194	0.000082	0.000270	0.000297	0.000056	0.000052	0.000022	0.022612	0.577850
of	0.288132	0.000090	0.000088	0.000469	0.000153	0.161126	0.002502	0.000259	0.000773	0.000817	0.000019	0.000001	0.000007	0.037239	0.508324
the	0.078153	0.000079	0.000289	0.000109	0.000189	0.002331	0.296308	0.000548	0.000865	0.084946	0.000223	0.000145	0.000031	0.039030	0.496753
representatives	0.108673	0.000021	0.000521	0.000141	0.000082	0.000294	0.000980	0.248601	0.001529	0.000732	0.000073	0.000151	0.000412	0.043925	0.593866
from	0.149622	0.000136	0.000065	0.010051	0.000071	0.000284	0.000469	0.001028	0.417742	0.000912	0.000221	0.000039	0.000021	0.031310	0.388030
the	0.090346	0.000224	0.000053	0.000176	0.000235	0.000701	0.145531	0.000373	0.001791	0.396781	0.001809	0.000206	0.000066	0.024720	0.336989
power	0.070771	0.000090	0.000003	0.000007	0.000074	0.000015	0.000343	0.000043	0.000155	0.003974	0.708410	0.002257	0.000083	0.015620	0.198156
generation	0.138700	0.000035	0.000011	0.000007	0.000099	0.000003	0.000401	0.000069	0.000043	0.000373	0.001100	0.173672	0.000496	0.021218	0.663774
sector	0.080307	0.000018	0.000025	0.000014	0.000100	0.000015	0.000121	0.000416	0.000058	0.000141	0.000059	0.000808	0.177860	0.028296	0.711762
.	0.113600	0.010345	0.009405	0.007165	0.002748	0.000825	0.001941	0.005318	0.003791	0.001387	0.000388	0.000287	0.001106	0.112006	0.729688
[SEP]	0.044641	0.004052	0.014542	0.003177	0.006249	0.001261	0.002491	0.005768	0.003294	0.003624	0.001584	0.002208	0.004629	0.044812	0.857667
