TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.043544	0.040567	0.022895	0.008699	0.012273	0.013186	0.034166	0.038483	0.023895	0.045241	0.008169	0.007485	0.015671	0.086145	0.599580
I	0.015199	0.140489	0.000977	0.001672	0.000802	0.001888	0.001598	0.001795	0.001539	0.003466	0.000891	0.001173	0.000580	0.024554	0.803377
heard	0.027749	0.002279	0.232192	0.002094	0.002804	0.000676	0.001101	0.009857	0.003003	0.002367	0.000444	0.000777	0.000783	0.024530	0.689344
from	0.026754	0.000987	0.000851	0.138777	0.001906	0.005219	0.004659	0.000753	0.152212	0.005430	0.000485	0.000076	0.000080	0.020551	0.641261
none	0.010048	0.001431	0.001119	0.002973	0.570708	0.002636	0.005372	0.001600	0.006191	0.003724	0.000049	0.000051	0.000196	0.008354	0.385547
of	0.019283	0.009026	0.002057	0.012634	0.002375	0.471673	0.034713	0.001307	0.018246	0.016890	0.000986	0.000843	0.000696	0.035428	0.373842
the	0.084122	0.004198	0.002717	0.006542	0.002440	0.021412	0.205286	0.005982	0.025421	0.234814	0.000381	0.003083	0.004469	0.053892	0.345242
representatives	0.079287	0.007781	0.001993	0.001140	0.001111	0.000271	0.001889	0.460644	0.006057	0.003591	0.000155	0.000548	0.002852	0.033658	0.399023
from	0.161922	0.002170	0.001612	0.215825	0.002583	0.006306	0.010094	0.004035	0.341658	0.009185	0.000445	0.000287	0.000452	0.027986	0.215442
the	0.090511	0.004313	0.002229	0.007518	0.002248	0.016315	0.272788	0.006790	0.021649	0.213195	0.000264	0.001930	0.003641	0.037451	0.319158
power	0.187622	0.002629	0.001843	0.000954	0.000114	0.000867	0.000625	0.000652	0.000676	0.001602	0.321005	0.003120	0.001430	0.074287	0.402574
generation	0.231357	0.011516	0.001493	0.000252	0.000355	0.000703	0.004381	0.001166	0.000518	0.014497	0.002178	0.282199	0.024381	0.061414	0.363592
sector	0.052060	0.001816	0.000445	0.000155	0.000408	0.000663	0.005100	0.001263	0.000360	0.009903	0.000261	0.002081	0.519156	0.027287	0.379041
.	0.030004	0.013186	0.008193	0.010418	0.003745	0.015060	0.014860	0.010786	0.015706	0.020227	0.001151	0.001190	0.003711	0.052053	0.799710
[SEP]	0.015679	0.011874	0.014037	0.009999	0.004236	0.005829	0.006465	0.005715	0.012347	0.008697	0.003264	0.003206	0.003697	0.021445	0.873512
